No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11333-x40-08.tif;800;517.750000;375.337500;27.875394;37.104266;1.035839;1.331076;0.751272;0.739865;27.000000;0.659993;102.046000;0.385139;2.236511e-01;1.058092e+00
2;F-11333-x40-08.tif;877;533.597491;399.852908;28.648866;39.285136;1.059528;1.371263;0.729255;0.723524;32.000000;0.684242;108.059000;0.418563;1.897594e-01;1.382219e+00
3;F-11333-x40-08.tif;788;536.228426;187.186548;25.961970;39.122382;1.101976;1.506911;0.663609;0.655520;35.000000;0.748079;104.461000;0.420941;1.968512e-01;1.096991e+00
4;F-11333-x40-08.tif;777;563.989704;366.503218;26.790843;38.300569;1.103457;1.429614;0.699489;0.674405;43.000000;0.714643;103.799000;0.406493;9.833246e-02;1.616748e+00
5;F-11333-x40-08.tif;1422;579.985935;167.217300;32.557789;57.137948;1.277182;1.754970;0.569810;0.554575;116.000000;0.821776;151.071000;0.408454;1.698335e-01;1.185155e+00
6;F-11333-x40-08.tif;803;578.148194;771.161893;29.871923;40.532508;1.558590;1.356876;0.736987;0.622327;151.000000;0.675907;125.409000;0.424644;2.240601e-01;1.636396e+00
7;F-11333-x40-08.tif;1582;598.194690;323.554362;28.851061;75.164520;1.845239;2.605260;0.383839;0.356526;273.000000;0.923400;191.529000;0.377834;1.548074e-01;9.853889e-01
8;F-11333-x40-08.tif;1504;603.124335;563.576463;35.106409;57.073710;1.652488;1.625735;0.615106;0.587876;171.000000;0.788444;176.725000;0.390587;4.479371e-02;7.937627e-01
9;F-11333-x40-08.tif;1135;617.909251;792.681938;32.214372;45.843248;1.162239;1.423068;0.702707;0.687631;66.000000;0.711479;128.751000;0.354340;7.065809e-02;1.427052e+00
10;F-11333-x40-08.tif;4007;667.702271;758.452957;70.631150;95.274819;2.462461;1.348907;0.741341;0.562048;1120.000000;0.671128;352.127000;0.377781;1.751121e-01;6.786466e-01
11;F-11333-x40-08.tif;811;682.467324;69.483354;30.184118;35.264205;1.160688;1.168303;0.855942;0.830353;49.000000;0.517072;108.761000;0.359632;1.856477e-01;1.109882e+00
12;F-11333-x40-08.tif;868;708.366359;785.716590;31.653030;35.274982;0.995648;1.114427;0.897322;0.888170;17.000000;0.441376;104.212000;0.333750;1.821689e-01;9.769439e-01
13;F-11333-x40-08.tif;1618;728.293572;687.654512;43.607315;50.227862;1.303640;1.151822;0.868190;0.816581;165.000000;0.496232;162.807000;0.378520;1.865685e-01;9.787727e-01
14;F-11333-x40-08.tif;873;738.640321;736.131730;30.882220;39.730484;1.469946;1.286516;0.777293;0.704169;143.000000;0.629139;126.988000;0.430751;2.181842e-01;6.801980e-01
15;F-11333-x40-08.tif;671;769.321908;392.175857;25.315760;34.090551;1.062316;1.346614;0.742603;0.735131;29.000000;0.669731;94.644000;0.387472;1.899027e-01;9.675172e-01
16;F-11333-x40-08.tif;1091;790.932172;782.231897;35.938572;39.108952;1.063858;1.088217;0.918935;0.908202;45.000000;0.394410;120.770000;0.406828;2.197919e-01;8.154972e-01
