No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11333-x40-08.tif;1121;40.487065;490.172168;32.117104;45.175066;1.017869;1.406573;0.710948;0.699388;22.000000;0.703245;119.744000;149.754683;66;191
2;F-11333-x40-08.tif;1016;49.916339;441.465551;27.499868;47.179437;1.054041;1.715624;0.582878;0.581163;20.000000;0.812559;116.006000;159.583661;97;195
3;F-11333-x40-08.tif;1004;86.673307;598.938247;32.386776;39.944517;0.993426;1.233359;0.810794;0.801179;16.000000;0.585332;111.954000;146.743028;67;193
4;F-11333-x40-08.tif;1177;307.542056;331.124894;28.290357;53.054679;1.098127;1.875363;0.533230;0.532401;19.000000;0.845970;127.444000;159.506372;38;196
5;F-11333-x40-08.tif;1232;312.928571;259.375812;35.563319;44.327635;1.019759;1.246443;0.802283;0.798310;33.000000;0.596944;125.649000;160.108766;78;208
6;F-11333-x40-08.tif;964;323.094398;297.243776;26.830524;46.092132;1.066683;1.717899;0.582106;0.577741;21.000000;0.813113;113.674000;167.941909;83;216
7;F-11333-x40-08.tif;946;347.932347;230.701903;32.179078;37.518310;0.959960;1.165922;0.857690;0.855687;19.000000;0.514167;106.826000;170.734672;90;215
8;F-11333-x40-08.tif;1314;389.831811;295.441400;31.077190;54.105503;1.115155;1.741004;0.574381;0.571508;36.000000;0.818588;135.697000;152.187976;60;213
9;F-11333-x40-08.tif;1277;389.942052;246.942052;31.743341;51.826832;1.124664;1.632684;0.612489;0.605329;41.000000;0.790479;134.342000;160.878622;80;225
10;F-11333-x40-08.tif;1349;424.762046;260.733877;32.264370;53.579643;1.083854;1.660644;0.602176;0.598305;33.000000;0.798363;135.549000;157.939214;47;230
11;F-11333-x40-08.tif;1020;434.569608;698.457843;29.611806;44.841766;1.199804;1.514321;0.660362;0.645870;55.000000;0.750947;124.011000;166.072549;76;219
12;F-11333-x40-08.tif;1222;445.319149;729.951718;37.717337;41.945248;1.110058;1.112095;0.899204;0.884333;70.000000;0.437530;130.561000;155.004910;109;208
13;F-11333-x40-08.tif;1223;445.153720;620.239575;35.984377;43.688738;1.044916;1.214103;0.823653;0.815826;55.000000;0.567094;126.724000;162.121014;94;213
14;F-11333-x40-08.tif;1040;448.522115;778.787500;33.123662;40.669466;1.091838;1.227807;0.814460;0.800583;48.000000;0.580219;119.454000;152.975962;46;204
15;F-11333-x40-08.tif;2213;485.652960;647.272933;46.681837;62.219918;1.226791;1.332851;0.750272;0.727835;130.000000;0.661130;184.706000;175.020334;79;235
16;F-11333-x40-08.tif;1095;481.583562;601.248402;34.121790;41.004286;1.003126;1.201704;0.832152;0.829212;32.000000;0.554548;117.487000;166.401826;77;204
17;F-11333-x40-08.tif;1139;487.286216;692.619842;32.808278;45.735261;1.126515;1.394016;0.717352;0.693316;61.000000;0.696711;126.980000;160.637401;94;236
18;F-11333-x40-08.tif;1299;507.505004;718.638183;35.321943;49.211853;1.229923;1.393237;0.717753;0.682936;105.000000;0.696298;141.693000;157.618938;83;227
19;F-11333-x40-08.tif;914;517.379650;375.566740;28.985136;41.288892;1.128324;1.424485;0.702008;0.682637;34.000000;0.712169;113.840000;168.631291;104;205
20;F-11333-x40-08.tif;1015;530.333990;624.323153;30.611624;43.341326;1.280158;1.415845;0.706292;0.687974;75.000000;0.707921;127.782000;153.678818;72;231
21;F-11333-x40-08.tif;1185;532.254008;748.141772;36.119692;42.363890;1.118480;1.172875;0.852606;0.840692;77.000000;0.522555;129.056000;159.315612;95;226
22;F-11333-x40-08.tif;1004;533.106574;399.733068;31.327421;41.095377;1.002997;1.311802;0.762310;0.756934;29.000000;0.647212;112.492000;162.332669;73;199
23;F-11333-x40-08.tif;939;537.667732;185.535676;26.346404;45.976788;1.161729;1.745088;0.573037;0.565586;52.000000;0.819529;117.082000;183.493078;99;219
24;F-11333-x40-08.tif;1116;540.077061;243.409498;31.223851;45.957740;1.039457;1.471879;0.679404;0.672755;27.000000;0.733765;120.737000;185.467742;80;243
25;F-11333-x40-08.tif;1143;540.257218;673.209974;37.363828;40.085606;1.280421;1.072845;0.932101;0.905690;99.000000;0.362199;135.614000;158.681540;49;236
26;F-11333-x40-08.tif;1078;540.914657;335.985158;33.878454;40.924374;1.031455;1.207976;0.827831;0.819530;48.000000;0.560978;118.206000;164.072356;96;212
27;F-11333-x40-08.tif;1018;546.046169;210.454813;28.098304;46.905338;1.120407;1.669330;0.599043;0.589133;62.000000;0.800717;119.720000;178.845776;93;233
28;F-11333-x40-08.tif;867;547.777393;307.370242;27.632841;41.048435;1.143611;1.485495;0.673176;0.655143;81.000000;0.739482;111.623000;182.808535;92;232
29;F-11333-x40-08.tif;2020;563.501980;273.055446;48.280185;56.551576;1.318398;1.171321;0.853737;0.804215;185.000000;0.520704;182.938000;191.101980;89;247
30;F-11333-x40-08.tif;987;565.647416;365.629179;30.593061;41.314680;1.027924;1.350459;0.740489;0.736238;36.000000;0.672069;112.913000;161.287741;65;219
31;F-11333-x40-08.tif;1117;572.546106;613.604297;30.474962;47.180356;1.106898;1.548168;0.645925;0.638912;51.000000;0.763401;124.648000;163.982990;74;223
32;F-11333-x40-08.tif;1157;570.203111;715.461538;36.398770;40.737021;1.057190;1.119187;0.893506;0.887697;53.000000;0.449051;123.979000;169.680207;68;231
33;F-11333-x40-08.tif;757;574.544254;774.474240;25.306616;38.607350;1.081075;1.525583;0.655487;0.646645;41.000000;0.755206;101.410000;183.097754;19;233
34;F-11333-x40-08.tif;1610;580.186335;166.760870;34.914030;59.374006;1.127313;1.700577;0.588036;0.581491;65.000000;0.808835;151.022000;187.460870;86;226
35;F-11333-x40-08.tif;1217;580.266228;657.100247;37.250957;42.321685;1.086709;1.136123;0.880186;0.865117;59.000000;0.474629;128.916000;167.952342;57;232
36;F-11333-x40-08.tif;1030;583.538835;210.503883;32.115997;41.037482;1.005618;1.277789;0.782602;0.778728;21.000000;0.622523;114.088000;167.523301;92;229
37;F-11333-x40-08.tif;1147;583.913688;327.998256;32.990888;44.868038;1.085831;1.360013;0.735287;0.725436;49.000000;0.677756;125.103000;178.718396;85;225
38;F-11333-x40-08.tif;1010;588.985149;749.839604;31.247615;42.154835;1.228095;1.349058;0.741258;0.723664;77.000000;0.671220;124.848000;159.245545;86;228
39;F-11333-x40-08.tif;1901;604.821673;565.247764;38.763525;63.719053;1.197598;1.643789;0.608351;0.596147;133.000000;0.793668;169.142000;191.238296;64;235
40;F-11333-x40-08.tif;981;598.615698;690.934760;30.730520;41.199957;1.100850;1.340685;0.745887;0.735844;46.000000;0.666072;116.494000;177.299694;50;243
41;F-11333-x40-08.tif;981;616.008155;176.354740;31.587595;40.119259;1.039530;1.270095;0.787342;0.776021;52.000000;0.616516;113.203000;183.081549;101;226
42;F-11333-x40-08.tif;1906;622.551941;280.037251;45.320639;55.227877;1.210867;1.218603;0.820612;0.795639;131.000000;0.571486;170.300000;188.233998;85;248
43;F-11333-x40-08.tif;1253;618.203512;792.380686;34.185266;47.468839;1.065137;1.388576;0.720162;0.708017;46.000000;0.693806;129.504000;196.976856;51;245
44;F-11333-x40-08.tif;1052;620.399240;319.021863;32.914088;42.784229;1.224446;1.299876;0.769304;0.731743;101.000000;0.638883;127.228000;179.195817;79;224
45;F-11333-x40-08.tif;1033;622.160697;595.935140;29.512327;45.997544;1.118665;1.558587;0.641607;0.621643;62.000000;0.767034;120.505000;171.918683;60;230
46;F-11333-x40-08.tif;1096;626.114051;242.172445;29.932916;46.939194;1.091145;1.568146;0.637696;0.633358;50.000000;0.770289;122.589000;175.124088;59;242
47;F-11333-x40-08.tif;1148;623.032230;207.627178;32.181063;45.927041;1.090355;1.427145;0.700700;0.692971;55.000000;0.713456;125.418000;156.091463;72;219
48;F-11333-x40-08.tif;971;622.523172;629.744593;30.308358;42.693918;1.216528;1.408652;0.709899;0.678262;79.000000;0.704304;121.836000;159.224511;72;236
49;F-11333-x40-08.tif;1070;629.946729;680.045794;32.625017;42.192944;1.055512;1.293270;0.773234;0.765269;32.000000;0.634121;119.132000;173.200935;62;243
50;F-11333-x40-08.tif;1200;634.122500;140.950000;32.704107;46.921935;1.034591;1.434741;0.696990;0.693968;35.000000;0.717081;124.905000;174.195833;58;228
51;F-11333-x40-08.tif;1000;644.879000;87.235000;24.686590;51.777303;1.175497;2.097386;0.476784;0.474932;35.000000;0.879020;121.539000;167.174000;73;211
52;F-11333-x40-08.tif;1078;654.181818;545.451763;27.947062;50.217570;1.197414;1.796882;0.556520;0.544274;44.000000;0.830834;127.361000;161.525974;91;208
53;F-11333-x40-08.tif;1009;668.106046;245.425173;33.153473;39.049783;1.017175;1.177849;0.849005;0.842489;25.000000;0.528384;113.566000;179.943508;64;249
54;F-11333-x40-08.tif;1062;670.505650;278.707156;31.144026;43.946198;1.126979;1.411063;0.708685;0.700151;49.000000;0.705525;122.638000;165.994350;66;239
55;F-11333-x40-08.tif;1258;676.468203;111.742448;35.178076;46.399008;1.093941;1.318975;0.758164;0.744001;77.000000;0.652063;131.505000;165.112083;68;238
56;F-11333-x40-08.tif;833;669.667467;579.130852;28.249711;39.388892;1.281747;1.394311;0.717200;0.683609;87.000000;0.696867;115.832000;162.540216;94;228
57;F-11333-x40-08.tif;1108;683.993682;140.527978;29.187279;49.892573;1.227705;1.709394;0.585002;0.566732;126.000000;0.811032;130.744000;159.675993;89;228
58;F-11333-x40-08.tif;1746;691.663803;67.857388;41.111814;54.382221;1.016519;1.322788;0.755979;0.751693;29.000000;0.654596;149.343000;174.279496;83;234
59;F-11333-x40-08.tif;1204;689.331395;171.568937;35.829908;43.472541;1.203729;1.213303;0.824196;0.811160;84.000000;0.566304;134.953000;162.431894;65;236
