No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11879-x40-08.tif;3938;59.887252;323.809040;53.536998;108.265961;2.308978;2.022264;0.494495;0.427762;954.000000;0.869180;338.028000;117.433469;51;189
2;F-11879-x40-08.tif;3962;45.873296;734.493942;56.663969;93.226497;1.685612;1.645252;0.607810;0.580425;546.000000;0.794083;289.695000;131.336951;107;165
3;F-11879-x40-08.tif;981;40.968400;268.908257;32.577130;45.154926;1.475543;1.386093;0.721452;0.612589;171.000000;0.692464;134.870000;123.173293;74;162
4;F-11879-x40-08.tif;2628;108.204338;84.695205;46.574624;79.502094;1.937374;1.706983;0.585829;0.529393;524.000000;0.810435;252.944000;127.971842;76;183
5;F-11879-x40-08.tif;1252;128.498403;550.902556;31.610408;59.440735;1.553215;1.880417;0.531797;0.451176;302.000000;0.846872;156.323000;127.564696;93;173
6;F-11879-x40-08.tif;606;131.366337;581.828383;24.677547;31.928409;0.999284;1.293824;0.772902;0.756882;15.000000;0.634525;87.234000;130.037954;108;161
7;F-11879-x40-08.tif;3496;184.428490;385.779748;56.369182;112.131681;3.093378;1.989237;0.502705;0.354018;1648.000000;0.864458;368.644000;113.054348;38;190
8;F-11879-x40-08.tif;446;167.553812;550.923767;15.743555;36.496263;1.272400;2.318172;0.431374;0.426332;23.000000;0.902173;84.447000;134.860987;119;167
9;F-11879-x40-08.tif;1954;177.918628;271.402252;41.720313;67.485116;1.406892;1.617560;0.618215;0.546284;266.000000;0.786009;185.865000;98.796827;46;181
10;F-11879-x40-08.tif;866;189.255196;490.017321;30.354668;37.780595;1.160080;1.244639;0.803446;0.772486;50.000000;0.595378;112.359000;123.267898;98;168
11;F-11879-x40-08.tif;1013;209.626851;125.919052;32.386710;43.384318;1.424739;1.339572;0.746507;0.685258;130.000000;0.665377;134.672000;104.941757;46;167
12;F-11879-x40-08.tif;2566;237.067420;309.973110;44.169931;81.325775;1.445381;1.841202;0.543123;0.493981;277.000000;0.839653;215.886000;101.065472;49;196
13;F-11879-x40-08.tif;1611;232.678461;267.041589;41.806256;49.890981;1.098061;1.193386;0.837952;0.824065;73.000000;0.545744;149.096000;95.356300;28;164
14;F-11879-x40-08.tif;1147;250.034874;122.253705;29.009611;51.828137;1.218436;1.786585;0.559727;0.543679;94.000000;0.828677;132.522000;113.606800;66;175
15;F-11879-x40-08.tif;622;239.135048;606.980707;25.796209;31.445739;1.049188;1.219006;0.820340;0.800897;27.000000;0.571876;90.558000;134.702572;113;148
16;F-11879-x40-08.tif;746;262.123324;67.982574;25.630663;37.549141;1.062396;1.465009;0.682590;0.673673;23.000000;0.730802;99.797000;132.965147;114;161
17;F-11879-x40-08.tif;1428;271.453081;386.114846;42.208345;43.858722;1.197209;1.039101;0.962371;0.945206;125.000000;0.271740;146.573000;122.114146;92;175
18;F-11879-x40-08.tif;1137;271.241865;579.430959;32.580066;50.804437;1.595248;1.559372;0.641284;0.560877;209.000000;0.767304;150.973000;114.655233;61;182
19;F-11879-x40-08.tif;780;267.530769;350.869231;28.095820;36.052067;1.039618;1.283183;0.779312;0.764090;22.000000;0.626636;100.946000;127.896154;106;171
20;F-11879-x40-08.tif;1035;285.566184;96.337198;32.534585;41.265089;1.053380;1.268345;0.788429;0.773900;37.000000;0.615126;117.049000;114.218357;83;170
21;F-11879-x40-08.tif;3058;298.505559;295.714846;60.134822;67.365322;1.271125;1.120238;0.892667;0.857975;330.000000;0.450716;221.013000;91.145520;56;201
22;F-11879-x40-08.tif;1657;295.097767;480.449608;34.775022;69.838404;1.756278;2.008292;0.497936;0.432558;342.000000;0.867214;191.233000;120.115872;69;168
23;F-11879-x40-08.tif;1036;309.234556;393.371622;34.286569;40.242223;1.140539;1.173702;0.852005;0.814528;68.000000;0.523534;121.854000;114.347490;65;153
24;F-11879-x40-08.tif;1042;336.547025;250.057582;27.045407;50.803972;1.253631;1.878469;0.532348;0.514023;96.000000;0.846525;128.122000;113.914587;74;180
25;F-11879-x40-08.tif;693;336.997114;448.766234;23.725532;37.473756;1.050640;1.579470;0.633124;0.628332;22.000000;0.774050;95.653000;109.548341;53;191
26;F-11879-x40-08.tif;1080;367.384259;281.223148;25.045474;58.965858;1.502403;2.354352;0.424745;0.395487;122.000000;0.905313;142.794000;97.223148;45;187
27;F-11879-x40-08.tif;919;366.927095;409.661589;32.225053;40.374920;1.719058;1.252905;0.798145;0.717798;178.000000;0.602465;140.899000;125.363439;93;171
28;F-11879-x40-08.tif;991;386.230071;321.950555;27.774308;48.740660;1.254269;1.754883;0.569839;0.531130;59.000000;0.821757;124.979000;125.053481;99;171
29;F-11879-x40-08.tif;1096;422.535584;352.925182;34.018420;42.176432;1.257356;1.239812;0.806574;0.784478;126.000000;0.591133;131.595000;128.323905;104;171
30;F-11879-x40-08.tif;714;431.728291;316.436975;24.617094;38.142632;1.144284;1.549437;0.645396;0.624866;32.000000;0.763848;101.326000;131.543417;113;171
31;F-11879-x40-08.tif;2892;474.305671;74.666667;43.325992;91.057993;1.571239;2.101694;0.475807;0.444091;375.000000;0.879550;238.960000;127.553942;104;159
32;F-11879-x40-08.tif;520;450.592308;237.994231;21.034554;33.188280;1.176731;1.577798;0.633795;0.601096;41.000000;0.773501;87.689000;129.951923;111;165
33;F-11879-x40-08.tif;1163;472.317283;221.402408;26.493263;57.331737;1.273965;2.164012;0.462105;0.450505;64.000000;0.886825;136.450000;91.191745;48;192
34;F-11879-x40-08.tif;2015;480.949380;264.546898;42.763359;64.809120;1.339255;1.515529;0.659836;0.610820;224.000000;0.751410;184.151000;107.476427;42;164
35;F-11879-x40-08.tif;377;473.413793;127.453581;13.679300;37.536120;1.544137;2.744009;0.364430;0.340685;59.000000;0.931231;85.530000;126.896552;85;194
36;F-11879-x40-08.tif;545;512.803670;139.592661;28.112270;30.879850;1.605174;1.098447;0.910376;0.727707;167.000000;0.413782;104.849000;124.414679;61;179
