No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11879-x40-08.tif;881;176.547106;277.875142;30.635695;40.093583;1.437710;1.308721;0.764105;0.697809;111.000000;0.645092;126.162000;221.254257;179;255
2;F-11879-x40-08.tif;872;222.573394;310.688073;26.100771;43.620055;1.237372;1.671217;0.598366;0.583518;66.000000;0.801223;116.443000;235.308486;193;255
3;F-11879-x40-08.tif;515;236.089320;257.697087;23.540301;28.255645;0.981521;1.200309;0.833119;0.821310;17.000000;0.553094;79.700000;215.130097;147;255
4;F-11879-x40-08.tif;1963;297.895059;295.796230;51.495367;53.662947;1.641293;1.042093;0.959608;0.867923;347.000000;0.281342;201.214000;233.760061;198;255
5;F-11879-x40-08.tif;741;470.174089;220.707152;22.855852;43.060842;1.213222;1.884018;0.530780;0.508819;29.000000;0.847509;106.288000;224.358974;183;255
6;F-11879-x40-08.tif;1097;500.092981;254.491340;27.867214;50.548155;1.193531;1.813893;0.551300;0.546646;43.000000;0.834307;128.270000;223.754786;179;255
7;F-11879-x40-08.tif;865;629.811561;300.833526;23.642065;47.048448;1.171864;1.990031;0.502505;0.497549;26.000000;0.864574;112.863000;215.477457;155;255
8;F-11879-x40-08.tif;1518;637.510540;398.489460;32.640378;61.287063;1.335266;1.877646;0.532582;0.514570;139.000000;0.846378;159.597000;225.364954;186;255
9;F-11879-x40-08.tif;667;657.505247;113.112444;24.301417;36.071408;1.138326;1.484334;0.673703;0.652694;36.000000;0.739002;97.679000;209.065967;149;255
10;F-11879-x40-08.tif;3037;679.020415;354.227856;53.403632;75.396766;1.375606;1.411828;0.708301;0.680220;320.000000;0.705910;229.126000;220.599934;172;255
11;F-11879-x40-08.tif;1726;703.293743;407.944380;40.229064;56.268510;1.124173;1.398703;0.714948;0.694097;73.000000;0.699178;156.150000;213.465817;173;255
12;F-11879-x40-08.tif;1086;713.977901;483.726519;30.111164;46.575105;1.111475;1.546772;0.646508;0.637430;52.000000;0.762907;123.160000;218.802947;150;255
13;F-11879-x40-08.tif;2163;726.353675;360.228387;42.098722;66.489992;1.210167;1.579383;0.633159;0.622951;131.000000;0.774022;181.366000;217.968562;156;255
14;F-11879-x40-08.tif;1593;739.366604;458.766478;43.673777;48.470920;1.133482;1.109840;0.901030;0.863303;86.000000;0.433756;150.633000;211.488387;170;255
15;F-11879-x40-08.tif;1729;742.635049;416.703875;39.917934;57.464934;1.286271;1.439577;0.694649;0.666652;165.000000;0.719349;167.174000;215.977444;161;255
16;F-11879-x40-08.tif;1426;766.995091;499.676718;38.227236;48.781657;1.062298;1.276097;0.783640;0.762986;42.000000;0.621216;137.971000;225.928471;155;255
17;F-11879-x40-08.tif;1508;773.685013;307.885942;42.049500;45.834667;0.991456;1.090017;0.917417;0.913952;40.000000;0.397927;137.070000;227.705570;196;255
18;F-11879-x40-08.tif;2109;783.064486;460.340446;51.713230;53.529863;1.117390;1.035129;0.966063;0.937118;156.000000;0.258306;172.086000;220.174016;188;255
19;F-11879-x40-08.tif;1833;780.330060;353.101473;47.294035;49.628938;1.019557;1.049370;0.952953;0.947551;64.000000;0.303119;153.247000;227.765957;170;255
20;F-11879-x40-08.tif;1789;795.088317;412.606484;44.511725;51.743858;1.085614;1.162477;0.860232;0.850752;77.000000;0.509903;156.224000;226.406372;184;255
21;F-11879-x40-08.tif;1471;801.565602;269.507138;40.167631;46.754839;0.991413;1.163993;0.859112;0.856781;33.000000;0.511788;135.375000;233.068661;185;255
22;F-11879-x40-08.tif;1603;826.746725;361.435434;38.635570;54.576855;1.273527;1.412606;0.707911;0.685215;125.000000;0.706301;160.168000;228.698066;180;255
23;F-11879-x40-08.tif;569;822.365554;139.316344;24.474784;29.796443;0.996757;1.217434;0.821400;0.816006;20.000000;0.570353;84.422000;225.189807;184;255
24;F-11879-x40-08.tif;1682;831.703924;299.326397;40.532032;54.105068;1.273864;1.334872;0.749136;0.731577;101.000000;0.662417;164.089000;235.505945;195;255
25;F-11879-x40-08.tif;1591;841.333124;497.148963;35.166702;59.673889;1.516987;1.696886;0.589315;0.568868;167.000000;0.807904;174.153000;235.696417;175;255
26;F-11879-x40-08.tif;1448;835.145718;403.649171;39.230265;47.723956;1.114996;1.216509;0.822025;0.809479;75.000000;0.569452;142.438000;228.223757;186;255
27;F-11879-x40-08.tif;1367;862.543526;449.904170;36.669200;52.163672;2.018516;1.422547;0.702964;0.639650;271.000000;0.711225;186.211000;236.806145;186;255
28;F-11879-x40-08.tif;1437;860.558803;531.951287;40.653510;45.477997;1.038303;1.118673;0.893916;0.884635;50.000000;0.448234;136.929000;226.437717;187;255
29;F-11879-x40-08.tif;897;874.860647;349.064660;29.642251;39.306652;1.206153;1.326035;0.754128;0.739214;64.000000;0.656727;116.601000;231.837235;200;255
30;F-11879-x40-08.tif;2889;900.325026;285.867428;51.899219;77.483694;1.689239;1.492965;0.669808;0.612685;367.000000;0.742534;247.642000;225.023191;165;255
31;F-11879-x40-08.tif;1520;903.321711;534.403947;42.035024;46.310779;1.045586;1.101719;0.907673;0.902380;41.000000;0.419679;141.321000;227.539474;136;255
32;F-11879-x40-08.tif;1016;931.745079;460.310039;29.443857;45.458108;1.186626;1.543891;0.647714;0.626010;71.000000;0.761883;123.086000;233.091535;203;255
33;F-11879-x40-08.tif;662;935.294562;254.345921;22.738521;39.556799;1.389253;1.739638;0.574832;0.538674;75.000000;0.818271;107.504000;236.273414;212;255
34;F-11879-x40-08.tif;552;942.775362;150.199275;25.772037;28.218299;1.025240;1.094919;0.913309;0.882648;24.000000;0.407267;84.331000;218.340580;172;255
