No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11879-x40-08.tif;1123;19.602850;167.317898;32.432236;44.960904;1.124926;1.386303;0.721343;0.707326;62.000000;0.692578;125.996000;0.652311;5.254902e-01;8.039216e-01
2;F-11879-x40-08.tif;1064;40.483083;343.915414;32.456483;45.152834;1.571784;1.391181;0.718814;0.664480;115.000000;0.695203;144.968000;0.664330;5.254902e-01;8.000000e-01
3;F-11879-x40-08.tif;1123;175.791630;278.693678;35.058383;42.990651;1.237330;1.226259;0.815489;0.773645;89.000000;0.578773;132.141000;0.621176;5.137255e-01;8.078431e-01
4;F-11879-x40-08.tif;1221;192.053235;379.383292;26.002279;62.813674;1.429096;2.415699;0.413959;0.394019;120.000000;0.910296;148.079000;0.620546;5.019608e-01;8.588235e-01
5;F-11879-x40-08.tif;1340;222.963433;311.364179;31.764860;53.840510;1.086325;1.694971;0.589981;0.588568;30.000000;0.807417;135.250000;0.648434;5.568627e-01;8.078431e-01
6;F-11879-x40-08.tif;976;230.863730;263.252049;27.795244;47.558493;1.254905;1.711030;0.584443;0.549419;99.000000;0.811435;124.061000;0.607281;4.627451e-01;7.764706e-01
7;F-11879-x40-08.tif;2617;297.638517;296.467711;56.542278;61.598010;1.225162;1.089415;0.917924;0.878174;215.000000;0.396757;200.726000;0.640371;5.568627e-01;8.627451e-01
8;F-11879-x40-08.tif;880;368.076136;280.532955;23.052713;52.768636;1.456944;2.289042;0.436864;0.402384;103.000000;0.899528;126.931000;0.575459;3.882353e-01;7.921569e-01
9;F-11879-x40-08.tif;924;470.746753;220.317100;25.830864;47.668424;1.233852;1.845406;0.541886;0.517750;40.000000;0.840452;119.694000;0.611901;5.254902e-01;7.764706e-01
10;F-11879-x40-08.tif;1175;498.857872;254.202553;29.559361;50.878304;1.080644;1.721225;0.580982;0.577940;26.000000;0.813917;126.318000;0.610453;5.372549e-01;7.882353e-01
11;F-11879-x40-08.tif;940;630.187234;301.078723;26.238375;46.018925;1.107315;1.753879;0.570165;0.565152;30.000000;0.821530;114.368000;0.591982;4.274510e-01;8.274510e-01
12;F-11879-x40-08.tif;1736;635.093894;398.527074;36.365724;61.883062;1.218599;1.701687;0.587652;0.577187;110.000000;0.809114;163.046000;0.623159;5.215686e-01;7.450980e-01
13;F-11879-x40-08.tif;783;821.234994;138.974457;27.976554;35.785077;0.998809;1.279110;0.781794;0.778517;23.000000;0.623537;99.135000;0.617464;5.294118e-01;8.274510e-01
14;F-11879-x40-08.tif;5130;866.279922;517.616179;60.191891;133.913911;2.149154;2.224783;0.449482;0.364230;1350.000000;0.893289;372.218000;0.640795;4.941176e-01;8.039216e-01
15;F-11879-x40-08.tif;837;853.998805;612.405018;21.994817;49.700826;1.329007;2.259661;0.442544;0.431428;53.000000;0.896747;118.231000;0.610659;5.137255e-01;7.568627e-01
16;F-11879-x40-08.tif;1565;855.359744;667.917572;38.567513;51.969041;1.077284;1.347482;0.742125;0.737794;67.000000;0.670262;145.555000;0.651451;5.686275e-01;8.274510e-01
17;F-11879-x40-08.tif;3399;872.683436;433.491615;49.812583;94.522204;1.590698;1.897557;0.526993;0.484388;436.000000;0.849869;260.660000;0.657472;5.529412e-01;8.470588e-01
18;F-11879-x40-08.tif;1297;875.760987;353.998458;32.252279;51.674575;1.167548;1.602199;0.624142;0.618438;65.000000;0.781311;137.947000;0.652782;5.725490e-01;8.000000e-01
19;F-11879-x40-08.tif;4287;908.962678;279.125029;59.297088;101.270281;1.462138;1.707846;0.585533;0.532230;488.000000;0.810649;280.657000;0.637848;5.176471e-01;8.274510e-01
20;F-11879-x40-08.tif;1548;928.871447;461.726098;34.011188;58.215732;1.146539;1.711664;0.584227;0.581568;53.000000;0.811590;149.343000;0.652440;5.725490e-01;8.274510e-01
21;F-11879-x40-08.tif;630;941.819048;151.185714;27.395305;29.964041;0.994871;1.093766;0.914273;0.893408;9.000000;0.405099;88.748000;0.598120;4.941176e-01;8.313725e-01
22;F-11879-x40-08.tif;654;1079.220183;226.490826;22.946789;37.430563;1.199008;1.631190;0.613050;0.594340;35.000000;0.790044;99.267000;0.637147;5.411765e-01;7.450980e-01
