No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11879-x40-08.tif;1626;24.091021;167.683887;37.466004;55.925085;1.121474;1.492689;0.669932;0.661938;74.000000;0.742422;151.377000;76.997540;19;100
2;F-11879-x40-08.tif;1695;43.812389;349.830088;33.715142;69.413904;2.044653;2.058835;0.485712;0.447906;321.000000;0.874119;208.689000;84.148083;47;100
3;F-11879-x40-08.tif;1136;220.941901;315.427817;31.058650;47.926904;1.319121;1.543110;0.648042;0.629694;89.000000;0.761605;137.226000;81.453345;53;100
4;F-11879-x40-08.tif;974;281.036961;568.743326;30.036506;45.561956;1.491795;1.516886;0.659245;0.597399;196.000000;0.751928;135.126000;83.187885;38;100
5;F-11879-x40-08.tif;2619;302.845743;297.889653;54.041116;66.025758;1.739425;1.221769;0.818485;0.764925;318.000000;0.574527;239.263000;83.282551;16;100
6;F-11879-x40-08.tif;1198;475.568447;221.923205;26.278061;61.903751;1.583618;2.355720;0.424499;0.398046;143.000000;0.905429;154.404000;73.785476;34;100
7;F-11879-x40-08.tif;936;513.444444;117.619658;24.982242;51.290547;1.567214;2.053080;0.487073;0.453014;149.000000;0.873361;135.771000;79.170940;38;100
8;F-11879-x40-08.tif;1407;637.164179;305.631841;38.072573;50.751020;1.668923;1.333007;0.750183;0.695528;235.000000;0.661230;171.779000;73.746979;16;100
9;F-11879-x40-08.tif;1056;631.299242;389.994318;27.253188;51.029821;1.315337;1.872435;0.534064;0.516328;91.000000;0.845444;132.116000;87.398674;66;100
10;F-11879-x40-08.tif;1058;664.550095;45.678639;31.929257;44.448984;1.616400;1.392108;0.718335;0.681824;151.000000;0.695697;146.596000;64.973535;0;100
11;F-11879-x40-08.tif;1681;672.305770;341.595479;42.382896;56.691165;1.680343;1.337595;0.747610;0.665958;248.000000;0.664138;188.403000;89.303391;69;100
12;F-11879-x40-08.tif;1451;712.505858;489.251551;37.706714;49.336613;1.187542;1.308430;0.764274;0.758995;86.000000;0.644891;147.151000;84.829083;56;100
13;F-11879-x40-08.tif;1580;770.397468;500.634810;39.456426;54.686685;1.506291;1.386002;0.721500;0.672673;197.000000;0.692415;172.937000;90.258228;69;100
14;F-11879-x40-08.tif;1228;769.811075;308.284202;38.008991;45.488474;1.570187;1.196782;0.835574;0.755624;176.000000;0.549378;155.661000;95.300489;78;100
15;F-11879-x40-08.tif;1520;799.534211;270.292105;40.968605;47.425213;1.029123;1.157599;0.863857;0.860469;43.000000;0.503737;140.204000;88.792105;59;100
16;F-11879-x40-08.tif;1751;816.782981;139.318675;43.870644;53.168050;1.816294;1.211928;0.825132;0.788669;258.000000;0.564940;199.913000;74.705882;19;100
17;F-11879-x40-08.tif;1459;840.081563;497.557231;33.686329;57.791922;1.632307;1.715590;0.582890;0.556200;173.000000;0.812551;172.995000;96.936943;84;100
18;F-11879-x40-08.tif;1806;853.402547;615.154485;33.774976;71.695629;1.615664;2.122744;0.471088;0.447345;203.000000;0.882086;191.487000;79.017719;44;100
19;F-11879-x40-08.tif;1883;857.745619;539.889007;44.899726;56.738062;1.698361;1.263662;0.791351;0.744752;286.000000;0.611362;200.468000;89.385024;50;100
20;F-11879-x40-08.tif;1795;854.010028;667.388858;43.865055;52.424389;1.088866;1.195129;0.836730;0.831587;59.000000;0.547616;156.720000;84.934262;66;100
21;F-11879-x40-08.tif;1510;876.497351;362.106623;33.496339;59.536736;1.452035;1.777410;0.562616;0.542397;130.000000;0.826718;165.990000;85.311921;59;100
22;F-11879-x40-08.tif;1805;888.582271;414.364543;42.252766;55.071066;1.225635;1.303372;0.767241;0.757775;105.000000;0.641359;166.734000;79.857064;50;100
23;F-11879-x40-08.tif;2610;897.195785;300.212644;47.733851;71.994860;1.514035;1.508256;0.663017;0.641132;282.000000;0.748604;222.840000;86.672797;41;100
24;F-11879-x40-08.tif;1576;903.802665;536.185279;43.852565;46.275496;1.106290;1.055252;0.947641;0.937053;75.000000;0.319337;148.019000;89.633249;72;100
25;F-11879-x40-08.tif;1688;925.420024;462.222749;40.065740;54.124263;1.117304;1.350886;0.740255;0.733666;80.000000;0.672327;153.949000;85.045616;63;100
26;F-11879-x40-08.tif;1407;928.741294;264.746979;41.599135;44.321685;1.306533;1.065447;0.938573;0.911951;135.000000;0.345081;151.989000;92.707178;75;100
27;F-11879-x40-08.tif;396;933.305556;386.267677;22.023529;27.598139;1.832206;1.253121;0.798008;0.661981;86.000000;0.602647;95.486000;97.977273;97;100
28;F-11879-x40-08.tif;1180;938.266102;161.969492;35.310500;45.827413;1.579639;1.297841;0.770510;0.715388;176.000000;0.637427;153.047000;75.354237;34;100
29;F-11879-x40-08.tif;468;1014.903846;814.391026;20.940360;31.327347;1.508209;1.496027;0.668437;0.607168;57.000000;0.743769;94.180000;98.608974;94;100
30;F-11879-x40-08.tif;2562;1079.873146;718.687744;45.353909;78.484773;1.769647;1.730496;0.577869;0.529564;457.000000;0.816130;238.692000;79.790008;28;100
31;F-11879-x40-08.tif;1674;1095.970131;68.931900;39.168218;60.133931;1.599363;1.535274;0.651350;0.589422;260.000000;0.758778;183.424000;79.839307;41;100
32;F-11879-x40-08.tif;508;1100.338583;412.799213;26.314839;34.366255;1.938178;1.305965;0.765717;0.547658;173.000000;0.643177;111.233000;97.655512;91;100
33;F-11879-x40-08.tif;461;1128.223427;400.223427;22.290458;28.303223;1.299416;1.269746;0.787559;0.732722;51.000000;0.616239;86.762000;96.720174;94;100
34;F-11879-x40-08.tif;4061;1188.226299;318.714602;69.522914;79.124481;1.818479;1.138107;0.878652;0.825888;568.000000;0.477462;304.632000;93.082738;75;100
35;F-11879-x40-08.tif;368;1216.141304;376.000000;14.144973;47.995534;2.687858;3.393116;0.294714;0.203402;165.000000;0.955585;111.489000;98.638587;97;100
36;F-11879-x40-08.tif;3502;1261.394061;298.570246;67.733455;84.591774;2.849766;1.248892;0.800710;0.623118;1195.000000;0.599053;354.134000;94.667904;78;100
