No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11879-x40-08.tif;2470;49.648583;339.438866;49.232408;70.487402;1.535453;1.431728;0.698457;0.632971;424.000000;0.715652;218.309000;90.158704;31;197
2;F-11879-x40-08.tif;5064;45.444510;737.101106;63.001936;107.763109;1.984442;1.710473;0.584634;0.555218;708.000000;0.811297;355.362000;100.501185;68;180
3;F-11879-x40-08.tif;1067;41.270853;268.417994;33.764231;46.380494;1.471422;1.373658;0.727983;0.631544;162.000000;0.685595;140.461000;100.209934;51;152
4;F-11879-x40-08.tif;1462;75.372093;298.733242;37.439899;62.157002;1.668003;1.660181;0.602344;0.481812;401.000000;0.798237;175.056000;103.611491;62;167
5;F-11879-x40-08.tif;868;64.421659;165.467742;29.713856;38.277761;1.196903;1.288213;0.776269;0.754287;78.000000;0.630401;114.260000;97.932028;38;157
6;F-11879-x40-08.tif;3333;107.501350;84.881788;53.697621;81.916870;1.371182;1.525521;0.655514;0.632410;359.000000;0.755183;239.646000;102.791179;60;180
7;F-11879-x40-08.tif;603;87.343284;656.303483;26.349646;29.977251;1.149492;1.137672;0.878988;0.854366;37.000000;0.476844;93.329000;114.885572;82;155
8;F-11879-x40-08.tif;664;93.301205;747.561747;27.977155;31.838812;1.186477;1.138029;0.878712;0.833997;55.000000;0.477352;99.499000;115.192771;98;146
9;F-11879-x40-08.tif;786;130.951654;581.510178;28.959247;35.640698;1.106177;1.230719;0.812533;0.787844;44.000000;0.582915;104.527000;109.344784;82;165
10;F-11879-x40-08.tif;3550;181.474648;390.033803;50.459420;113.439623;2.313947;2.248136;0.444813;0.351244;1330.000000;0.895623;321.289000;87.415493;24;219
11;F-11879-x40-08.tif;2124;178.026365;272.000000;44.774845;67.897513;1.406738;1.516421;0.659447;0.586620;312.000000;0.751751;193.771000;76.583804;25;199
