No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11904a-x40-06.bmp;1660;419.219277;331.068675;39.052704;54.975173;1.060894;1.407717;0.710370;0.699335;38.000000;0.703829;148.763000;114.480723;11;255
2;F-11904a-x40-06.bmp;1805;525.577839;288.428255;38.914655;59.661646;1.089713;1.533141;0.652256;0.645650;45.000000;0.757999;157.217000;117.950693;14;255
3;F-11904a-x40-06.bmp;2122;577.734213;439.265787;47.569567;56.937326;0.988365;1.196928;0.835472;0.833415;35.000000;0.549532;162.344000;109.300660;61;255
4;F-11904a-x40-06.bmp;1856;585.723060;345.490841;39.168259;61.964474;1.108817;1.582007;0.632108;0.615464;62.000000;0.774880;160.814000;117.605065;35;255
5;F-11904a-x40-06.bmp;2036;613.911591;398.921906;41.017655;63.718221;1.074775;1.553434;0.643735;0.638500;54.000000;0.765248;165.826000;113.462181;46;255
6;F-11904a-x40-06.bmp;1211;620.909166;461.036334;38.651230;40.087329;0.992592;1.037155;0.964176;0.959489;33.000000;0.265264;122.903000;114.469034;31;255
7;F-11904a-x40-06.bmp;1179;662.973707;321.184054;38.015994;40.028727;1.001365;1.052944;0.949718;0.936872;30.000000;0.313107;121.803000;106.758270;41;255
8;F-11904a-x40-06.bmp;2032;681.770669;361.082677;45.400185;57.550146;1.015399;1.267619;0.788880;0.781162;23.000000;0.614547;161.022000;106.155020;46;255
9;F-11904a-x40-06.bmp;2014;688.084906;417.928997;41.963101;61.679859;1.038724;1.469859;0.680337;0.674036;37.000000;0.732899;162.138000;111.699106;48;255
10;F-11904a-x40-06.bmp;1404;700.640313;462.471510;37.996773;47.519166;1.057452;1.250611;0.799609;0.791662;47.000000;0.600520;136.590000;110.727208;34;255
11;F-11904a-x40-06.bmp;1668;721.787170;338.655875;36.301997;61.001523;1.192031;1.680390;0.595100;0.570722;96.000000;0.803652;158.069000;110.173261;45;255
12;F-11904a-x40-06.bmp;1911;724.195709;389.580324;42.785843;57.526409;1.046664;1.344520;0.743760;0.735252;49.000000;0.668447;158.540000;107.442700;47;255
13;F-11904a-x40-06.bmp;1838;729.557671;305.168662;40.235186;59.205014;1.086985;1.471474;0.679591;0.667634;95.000000;0.733591;158.449000;107.355822;44;255
14;F-11904a-x40-06.bmp;1568;743.007653;493.732781;41.978258;48.294928;1.026559;1.150475;0.869206;0.855959;44.000000;0.494450;142.223000;113.014031;23;255
15;F-11904a-x40-06.bmp;1848;751.503788;424.055736;43.704044;54.096852;1.021669;1.237800;0.807885;0.804022;52.000000;0.589340;154.032000;110.904221;39;255
16;F-11904a-x40-06.bmp;1416;765.177260;749.055085;36.864677;49.325200;1.051410;1.338007;0.747380;0.741030;45.000000;0.664397;136.780000;113.930085;15;255
17;F-11904a-x40-06.bmp;2208;789.764040;314.416214;45.140294;62.611141;1.027259;1.387034;0.720963;0.717143;51.000000;0.692974;168.828000;109.826540;48;255
18;F-11904a-x40-06.bmp;2216;789.092960;476.693592;45.432070;62.433388;1.022338;1.374214;0.727689;0.723846;37.000000;0.685908;168.728000;108.681408;43;255
19;F-11904a-x40-06.bmp;1792;804.247768;260.647321;43.371842;52.864103;1.000652;1.218858;0.820440;0.816444;26.000000;0.571732;150.112000;108.449219;17;255
20;F-11904a-x40-06.bmp;2317;829.368580;350.810962;46.779014;63.225398;1.006846;1.351576;0.739877;0.737994;25.000000;0.672742;171.218000;104.160552;45;255
21;F-11904a-x40-06.bmp;1328;819.564759;626.278614;38.582618;44.264450;1.008820;1.147264;0.871639;0.862975;30.000000;0.490149;129.751000;116.747741;32;255
22;F-11904a-x40-06.bmp;2061;828.481320;397.192140;48.416601;54.749601;1.034676;1.130802;0.884328;0.875440;50.000000;0.466866;163.699000;103.258612;36;255
23;F-11904a-x40-06.bmp;1826;845.526835;465.674699;41.822642;55.957302;1.013114;1.337967;0.747403;0.742502;21.000000;0.664371;152.470000;118.233297;33;255
24;F-11904a-x40-06.bmp;923;846.681473;207.016251;25.024418;48.346491;1.199090;1.931973;0.517606;0.502785;41.000000;0.855619;117.932000;110.858072;14;255
25;F-11904a-x40-06.bmp;2061;858.928675;293.213003;44.751104;59.215095;1.074054;1.323210;0.755738;0.748382;61.000000;0.654874;166.785000;120.690442;43;255
26;F-11904a-x40-06.bmp;1812;900.294702;382.903974;43.249601;53.582857;1.014083;1.238921;0.807154;0.803557;37.000000;0.590341;151.957000;115.013797;35;255
27;F-11904a-x40-06.bmp;2172;900.252762;333.911142;51.746381;53.718449;1.024524;1.038110;0.963289;0.958347;53.000000;0.268467;167.223000;101.478821;29;255
28;F-11904a-x40-06.bmp;2232;1179.506272;454.739695;48.452145;58.942171;0.997282;1.216503;0.822029;0.817998;41.000000;0.569446;167.248000;134.719534;49;255
29;F-11904a-x40-06.bmp;1087;1180.499540;373.383625;30.142583;46.927235;1.104186;1.556842;0.642326;0.628478;46.000000;0.766432;122.812000;114.424103;17;255
30;F-11904a-x40-06.bmp;1281;1192.497268;598.348946;36.049330;45.746913;1.066993;1.269009;0.788017;0.779356;50.000000;0.615654;131.057000;118.835285;25;255
31;F-11904a-x40-06.bmp;1367;1249.749086;688.324799;32.953506;53.130925;1.080436;1.612300;0.620232;0.616572;40.000000;0.784418;136.235000;122.455011;17;255
