No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11904a-x40-06.tif;1520;419.343421;329.772368;37.157660;53.286672;1.104381;1.434070;0.697316;0.681579;66.000000;0.716764;145.240000;60.868421;1;100
2;F-11904a-x40-06.tif;1577;525.325301;288.678503;35.246163;57.721659;1.087898;1.637672;0.610623;0.602649;37.000000;0.791922;146.830000;61.766011;4;100
3;F-11904a-x40-06.tif;5212;540.489256;389.516117;73.735529;100.262914;1.847214;1.359764;0.735422;0.660137;681.000000;0.677610;347.829000;59.368764;3;100
4;F-11904a-x40-06.tif;2202;578.075386;439.100817;49.284813;57.239174;1.054521;1.161396;0.861033;0.855738;72.000000;0.508549;170.821000;64.859673;46;100
5;F-11904a-x40-06.tif;1730;583.531792;344.652023;39.929104;56.679145;1.093949;1.419495;0.704476;0.685661;30.000000;0.709728;154.215000;64.189595;31;100
6;F-11904a-x40-06.tif;2102;612.278782;399.795909;41.967842;64.119397;1.071036;1.527822;0.654526;0.650974;41.000000;0.756039;168.199000;65.229305;39;100
7;F-11904a-x40-06.tif;1213;618.319044;461.258038;39.291963;39.565016;0.988700;1.006949;0.993099;0.986616;30.000000;0.117282;122.763000;57.640561;26;100
8;F-11904a-x40-06.tif;2204;627.232305;349.461887;45.268866;62.428135;1.080864;1.379052;0.725136;0.720047;74.000000;0.688606;173.020000;67.174229;41;100
9;F-11904a-x40-06.tif;1611;663.594041;320.286778;43.614152;47.648133;1.055227;1.092492;0.915338;0.903470;80.000000;0.402686;146.159000;57.164494;34;96
10;F-11904a-x40-06.tif;1784;673.523543;363.968610;44.941411;52.596155;1.295163;1.170327;0.854462;0.821102;167.000000;0.519514;170.398000;66.011211;42;100
11;F-11904a-x40-06.tif;1995;688.155890;417.174436;42.932235;59.532765;1.070434;1.386668;0.721153;0.716706;52.000000;0.692776;163.816000;65.794987;44;100
12;F-11904a-x40-06.tif;1588;694.977330;497.239295;35.604163;60.528655;1.359881;1.700044;0.588220;0.551872;171.000000;0.808701;164.733000;54.413728;26;100
13;F-11904a-x40-06.tif;1302;700.129800;461.482335;35.698862;46.671337;1.025162;1.307362;0.764899;0.761063;38.000000;0.644150;129.511000;56.057604;26;100
14;F-11904a-x40-06.tif;1817;748.397909;428.246560;42.511256;55.375618;1.032418;1.302611;0.767689;0.754446;25.000000;0.640823;153.536000;65.183819;32;100
15;F-11904a-x40-06.tif;1343;743.183917;493.991065;38.681098;44.613701;1.048151;1.153372;0.867023;0.859112;48.000000;0.498268;133.001000;57.751303;15;100
16;F-11904a-x40-06.tif;1359;766.554820;746.361295;35.007007;50.361070;1.114945;1.438600;0.695120;0.682244;46.000000;0.718893;137.988000;59.609272;8;100
17;F-11904a-x40-06.tif;2128;789.472274;476.886748;43.867259;62.293750;1.098909;1.420051;0.704200;0.698221;60.000000;0.710002;171.424000;64.643797;44;100
18;F-11904a-x40-06.tif;1626;803.994465;260.755228;40.712650;50.964143;0.986144;1.251801;0.798849;0.797079;26.000000;0.601532;141.950000;59.307503;9;100
19;F-11904a-x40-06.tif;1121;819.768064;626.244425;35.069458;41.198461;1.004145;1.174768;0.851232;0.840918;37.000000;0.524789;118.934000;58.340767;24;100
20;F-11904a-x40-06.tif;2020;857.867822;295.897030;41.521261;62.182105;1.067563;1.497597;0.667737;0.665167;46.000000;0.744398;164.618000;65.370792;38;100
21;F-11904a-x40-06.tif;1486;846.954913;464.917227;36.518718;51.993871;1.071266;1.423759;0.702366;0.699882;35.000000;0.711816;141.437000;62.990579;34;100
22;F-11904a-x40-06.tif;1468;898.234332;382.985014;40.049102;47.027049;1.044192;1.174235;0.851618;0.845163;45.000000;0.524162;138.790000;60.152589;27;100
23;F-11904a-x40-06.tif;1967;899.230300;334.103203;46.760858;53.811560;0.984026;1.150782;0.868974;0.864895;26.000000;0.494857;155.959000;54.216573;24;100
