No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11904a-x40-06.tif;1602;419.903246;329.962547;38.424194;54.822682;1.246313;1.426775;0.700881;0.678660;91.000000;0.713278;158.398000;102.641074;8;215
2;F-11904a-x40-06.tif;1303;428.923254;796.741366;33.092901;52.316277;1.231032;1.580891;0.632555;0.606151;86.000000;0.774516;141.975000;160.975441;133;221
3;F-11904a-x40-06.tif;1645;525.181155;289.086322;36.178300;58.627030;1.093327;1.620503;0.617092;0.609369;37.000000;0.786891;150.336000;102.721581;15;217
4;F-11904a-x40-06.tif;1183;540.556213;228.770921;33.997621;44.644372;1.032004;1.313162;0.761521;0.755721;27.000000;0.648140;123.862000;156.002536;109;222
5;F-11904a-x40-06.tif;2379;576.192098;439.135351;49.145686;62.532107;1.139966;1.272382;0.785927;0.774637;109.000000;0.618319;184.607000;98.681379;68;186
6;F-11904a-x40-06.tif;2130;612.403756;400.154460;42.260755;64.580845;1.081098;1.528152;0.654385;0.650253;45.000000;0.756161;170.109000;98.088263;57;176
7;F-11904a-x40-06.tif;1237;618.410671;461.691188;39.550694;40.090590;1.011099;1.013651;0.986533;0.979930;40.000000;0.163562;125.368000;93.194826;39;235
8;F-11904a-x40-06.tif;1216;650.972862;575.919408;29.991289;54.389264;1.246205;1.813502;0.551419;0.523380;92.000000;0.834228;137.996000;153.138980;122;214
9;F-11904a-x40-06.tif;1859;661.606240;323.445401;44.863317;55.354944;1.322815;1.233858;0.810466;0.772461;174.000000;0.585785;175.790000;88.701452;48;159
10;F-11904a-x40-06.tif;1299;667.513472;806.600462;29.248718;57.177090;1.174148;1.954858;0.511546;0.505912;39.000000;0.859256;138.443000;167.409546;143;218
11;F-11904a-x40-06.tif;2459;774.638878;139.594957;26.544273;124.731285;2.189403;4.698990;0.212812;0.201242;228.000000;0.977093;260.104000;157.679545;118;224
12;F-11904a-x40-06.tif;1090;749.909174;82.700000;26.992903;52.013767;1.199979;1.926942;0.518957;0.512979;57.000000;0.854800;128.205000;159.033945;119;219
13;F-11904a-x40-06.tif;1385;766.720578;746.132852;35.008360;51.257630;1.125716;1.464154;0.682988;0.671186;47.000000;0.730429;139.973000;100.574729;13;222
14;F-11904a-x40-06.tif;1145;770.186900;708.442795;28.716006;51.212752;1.130997;1.783422;0.560720;0.555852;41.000000;0.828006;127.567000;159.175546;129;210
15;F-11904a-x40-06.tif;1692;803.665485;260.755910;40.812316;52.950119;1.026203;1.297405;0.770769;0.768381;40.000000;0.637115;147.714000;95.203901;25;195
16;F-11904a-x40-06.tif;990;799.922222;433.014141;28.544675;44.678363;1.123596;1.565208;0.638893;0.631467;40.000000;0.769296;118.230000;82.454545;25;190
17;F-11904a-x40-06.tif;766;810.872063;579.574413;28.270352;34.930464;1.008593;1.235586;0.809332;0.799337;21.000000;0.587351;98.532000;137.270235;96;214
18;F-11904a-x40-06.tif;1163;819.797936;626.705073;35.807342;41.862366;1.044724;1.169100;0.855359;0.844972;44.000000;0.518036;123.565000;95.009458;40;207
19;F-11904a-x40-06.tif;725;823.375172;550.735172;24.840663;37.454885;1.067232;1.507805;0.663216;0.658008;23.000000;0.748428;98.606000;139.762759;91;220
20;F-11904a-x40-06.tif;1581;846.636939;465.745731;37.189692;54.263113;1.044806;1.459090;0.685359;0.683648;38.000000;0.728206;144.075000;102.867173;42;224
21;F-11904a-x40-06.tif;2573;877.076564;123.348620;43.801039;84.874257;1.732794;1.937722;0.516070;0.454776;404.000000;0.856547;236.700000;168.726001;136;220
22;F-11904a-x40-06.tif;1695;899.589971;382.709735;41.396353;52.984559;1.238845;1.279933;0.781291;0.768743;118.000000;0.624167;162.442000;104.316814;43;225
23;F-11904a-x40-06.tif;1019;922.328754;437.449460;26.257125;51.953683;1.318931;1.978651;0.505395;0.480675;59.000000;0.862888;129.958000;154.374877;119;217
24;F-11904a-x40-06.tif;1141;958.346188;290.588957;38.372508;38.753695;1.082607;1.009934;0.990164;0.967319;53.000000;0.139913;124.590000;157.784400;119;212
25;F-11904a-x40-06.tif;1457;997.991764;136.567605;29.350466;64.517515;1.337787;2.198177;0.454922;0.445671;50.000000;0.890531;156.505000;169.302677;137;219
