No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11904a-x40-06.tif;3071;435.745685;335.789319;43.920104;95.726033;1.547577;2.179549;0.458810;0.426707;308.000000;0.888534;244.383000;99.278085;60;133
2;F-11904a-x40-06.tif;1784;525.832960;289.343610;39.173900;60.895606;1.439818;1.554494;0.643296;0.612538;244.000000;0.765618;179.662000;89.863229;65;124
3;F-11904a-x40-06.tif;2468;576.515802;438.008509;51.296535;62.068358;1.186689;1.209991;0.826452;0.815671;140.000000;0.563007;191.843000;87.853728;74;114
4;F-11904a-x40-06.tif;2164;612.765712;399.304991;42.379866;65.763561;1.151720;1.551764;0.644428;0.637084;54.000000;0.764665;176.973000;86.362292;69;110
5;F-11904a-x40-06.tif;2009;661.036834;324.565455;44.602889;61.268846;1.273375;1.373652;0.727986;0.681413;183.000000;0.685592;179.297000;86.951220;72;107
6;F-11904a-x40-06.tif;441;711.757370;503.995465;17.898798;32.204795;1.222344;1.799271;0.555781;0.541387;27.000000;0.831329;82.304000;102.317460;86;128
7;F-11904a-x40-06.tif;3585;796.849930;274.239888;57.402461;96.515792;2.168347;1.681388;0.594747;0.490007;1291.000000;0.803913;312.546000;96.428731;63;126
8;F-11904a-x40-06.tif;1476;766.848238;745.728997;36.506502;52.475392;1.193820;1.437426;0.695688;0.682472;77.000000;0.718344;148.805000;89.710705;60;128
9;F-11904a-x40-06.tif;469;775.569296;617.121535;12.037931;63.448990;2.730095;5.270755;0.189726;0.148332;163.000000;0.981837;126.847000;109.550107;78;122
10;F-11904a-x40-06.tif;986;799.485801;431.797160;27.966408;45.581378;1.204697;1.629862;0.613549;0.604244;54.000000;0.789657;122.175000;86.491886;60;112
11;F-11904a-x40-06.tif;1947;844.619414;466.906009;38.283691;70.253022;1.813899;1.835064;0.544940;0.502280;336.000000;0.838475;210.666000;93.103749;70;132
12;F-11904a-x40-06.tif;891;846.196409;205.861953;24.600530;47.368432;1.206020;1.925505;0.519344;0.505603;40.000000;0.854565;116.204000;94.203143;60;135
13;F-11904a-x40-06.tif;2178;898.049128;334.640037;49.257756;60.012783;1.414093;1.218342;0.820788;0.769982;241.000000;0.571233;196.731000;88.153352;69;129
14;F-11904a-x40-06.tif;1703;900.292425;382.014093;41.356758;52.753397;1.086386;1.275569;0.783964;0.779155;67.000000;0.620806;152.477000;91.220200;67;130
15;F-11904a-x40-06.tif;2219;1067.261830;649.742677;36.097912;79.707657;1.319630;2.208096;0.452879;0.444700;144.000000;0.891572;191.827000;97.380802;62;137
16;F-11904a-x40-06.tif;762;1140.692913;606.704724;29.267530;33.570606;1.007908;1.147026;0.871820;0.860888;15.000000;0.489826;98.241000;92.161417;56;141
17;F-11904a-x40-06.tif;2206;1181.399365;452.117860;48.938837;58.528601;1.264305;1.195954;0.836153;0.819935;189.000000;0.548497;187.212000;93.892566;65;126
18;F-11904a-x40-06.tif;1722;1184.863531;598.360046;34.443343;67.151393;1.378645;1.949619;0.512921;0.486220;137.000000;0.858436;172.722000;92.876307;57;145
19;F-11904a-x40-06.tif;1047;1183.031519;374.059217;26.832112;50.566874;1.181054;1.884566;0.530626;0.521344;47.000000;0.847606;124.656000;92.895893;58;134
20;F-11904a-x40-06.tif;1062;1248.220339;688.120527;28.324748;47.920827;1.079322;1.691836;0.591074;0.588825;29.000000;0.806617;120.017000;89.807910;55;143
21;F-11904a-x40-06.tif;1335;1395.709363;569.662172;35.308784;48.259721;1.020352;1.366791;0.731641;0.729830;34.000000;0.681690;130.834000;87.877154;59;136
22;F-11904a-x40-06.tif;938;1403.867804;634.341151;32.430347;37.986251;1.132771;1.171318;0.853739;0.827675;47.000000;0.520701;115.552000;91.832623;64;139
23;F-11904a-x40-06.tif;1435;1422.404181;609.876655;36.667781;56.046443;1.665676;1.528493;0.654239;0.581656;357.000000;0.756288;173.311000;94.968641;62;133
24;F-11904a-x40-06.tif;311;1452.540193;806.437299;16.175123;29.696935;2.485751;1.835964;0.544673;0.449001;70.000000;0.838648;98.563000;109.736334;78;124
25;F-11904a-x40-06.tif;1006;1467.552684;485.426441;28.199033;46.151474;1.136406;1.636633;0.611010;0.601363;39.000000;0.791623;119.859000;92.377734;68;135
26;F-11904a-x40-06.tif;748;1471.241979;448.540107;26.444154;36.572309;1.079459;1.383002;0.723065;0.712044;30.000000;0.690780;100.730000;92.935829;73;126
27;F-11904a-x40-06.tif;913;1511.971522;666.313253;31.794674;37.257408;1.145171;1.171813;0.853379;0.837444;64.000000;0.521292;114.624000;100.433735;78;136
28;F-11904a-x40-06.tif;1286;1544.516330;745.637636;38.085267;43.992604;1.239744;1.155108;0.865720;0.846042;106.000000;0.500529;141.544000;95.150078;63;129
