No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11904a-x40-06.tif;1654;419.949214;326.301693;39.586814;54.961282;1.359113;1.388373;0.720267;0.697159;144.000000;0.693697;168.074000;87.676542;30;100
2;F-11904a-x40-06.tif;1606;525.624533;286.007472;34.727066;60.314247;1.278380;1.736808;0.575769;0.562103;100.000000;0.817612;160.623000;86.765878;49;100
3;F-11904a-x40-06.tif;1904;532.558824;380.222689;32.055536;85.454740;2.369539;2.665834;0.375117;0.331975;507.000000;0.926977;238.106000;91.961660;58;100
4;F-11904a-x40-06.tif;344;525.511628;346.520349;18.606656;24.336478;1.093650;1.307945;0.764558;0.739525;23.000000;0.644555;68.758000;88.191860;64;100
5;F-11904a-x40-06.tif;598;538.255853;421.946488;24.258083;36.412471;1.881530;1.501045;0.666203;0.574263;113.000000;0.745771;118.908000;96.468227;83;100
6;F-11904a-x40-06.tif;1690;585.029586;343.402959;38.672543;57.112505;1.270772;1.476823;0.677129;0.659682;97.000000;0.735864;164.279000;92.553846;60;100
7;F-11904a-x40-06.tif;1118;620.205725;459.480322;36.677464;39.019411;1.043846;1.063852;0.939980;0.934955;46.000000;0.341230;121.100000;88.899821;49;100
8;F-11904a-x40-06.tif;1227;662.361858;317.189894;37.596889;43.719310;1.526863;1.162844;0.859961;0.817350;146.000000;0.510360;153.436000;95.952730;77;100
9;F-11904a-x40-06.tif;1213;692.203627;492.858203;33.839042;48.260771;1.490192;1.426186;0.701171;0.663105;154.000000;0.712993;150.715000;87.962077;30;100
10;F-11904a-x40-06.tif;1118;700.228980;459.387299;32.292241;44.800355;1.164657;1.387341;0.720803;0.709233;61.000000;0.693140;127.916000;94.036673;74;100
11;F-11904a-x40-06.tif;1235;738.245344;494.381377;37.066765;43.826153;1.312149;1.182357;0.845768;0.818673;123.000000;0.533551;142.702000;87.993522;38;100
12;F-11904a-x40-06.tif;1677;766.430531;746.073345;39.287406;55.664770;1.274565;1.416860;0.705786;0.689100;113.000000;0.708425;163.890000;85.832439;17;100
13;F-11904a-x40-06.tif;1462;800.701778;256.950752;41.048061;47.367978;1.471007;1.153964;0.866578;0.829636;109.000000;0.499041;164.394000;89.538304;32;100
14;F-11904a-x40-06.tif;827;803.221282;429.437727;25.025821;42.557747;1.143597;1.700553;0.588044;0.581378;43.000000;0.808829;109.017000;89.458283;28;100
15;F-11904a-x40-06.tif;1124;819.943950;623.254448;34.789952;41.523923;1.167423;1.193561;0.837829;0.830003;61.000000;0.545933;128.411000;84.179715;32;100
16;F-11904a-x40-06.tif;1363;845.926632;463.388114;34.644326;50.817410;1.298412;1.466832;0.681741;0.672018;83.000000;0.731593;149.128000;93.275862;75;100
17;F-11904a-x40-06.tif;1283;899.519875;380.661730;36.485386;45.899345;1.385485;1.258020;0.794900;0.775396;134.000000;0.606741;149.458000;93.219018;60;100
18;F-11904a-x40-06.tif;1921;899.591879;331.922436;46.975362;52.718424;1.129916;1.122257;0.891062;0.880061;74.000000;0.453882;165.155000;92.866216;68;100
19;F-11904a-x40-06.tif;1644;1069.284672;649.418491;28.863089;81.200248;1.883675;2.813290;0.355456;0.317466;433.000000;0.934693;197.269000;88.964720;42;100
20;F-11904a-x40-06.tif;1254;1155.597289;603.572568;31.943905;53.859840;1.545485;1.686076;0.593093;0.550399;179.000000;0.805134;156.058000;81.983254;0;100
21;F-11904a-x40-06.tif;1972;1179.249493;450.422414;44.940660;56.724636;1.124427;1.262212;0.792260;0.780322;78.000000;0.610184;166.926000;88.963996;57;100
22;F-11904a-x40-06.tif;957;1180.064786;371.531870;27.577194;45.051232;1.271971;1.633641;0.612130;0.600356;61.000000;0.790757;123.680000;81.931034;11;100
23;F-11904a-x40-06.tif;966;1193.081781;593.458592;29.784143;43.392954;1.405483;1.456915;0.686382;0.653204;100.000000;0.727241;130.619000;81.751553;28;100
24;F-11904a-x40-06.tif;1163;1247.026655;685.954428;31.152620;47.913136;1.126676;1.538013;0.650190;0.645031;51.000000;0.759772;128.320000;82.102322;9;100
25;F-11904a-x40-06.tif;1317;1393.820805;567.703872;33.737415;50.425500;1.195608;1.494646;0.669055;0.659471;73.000000;0.743213;140.667000;78.651481;8;100
26;F-11904a-x40-06.tif;1017;1403.863324;630.099312;29.605022;44.397888;1.210087;1.499674;0.666811;0.656911;63.000000;0.745226;124.358000;83.695182;45;100
27;F-11904a-x40-06.tif;698;1431.623209;613.287966;23.487283;38.724512;1.237167;1.648744;0.606522;0.592644;67.000000;0.795066;104.171000;86.633238;30;100
28;F-11904a-x40-06.tif;868;1464.005760;487.384793;28.940652;39.064030;1.136876;1.349798;0.740852;0.724229;64.000000;0.671669;111.358000;82.805300;38;100
29;F-11904a-x40-06.tif;948;1468.900844;449.457806;27.953501;44.089695;1.241649;1.577251;0.634014;0.620932;84.000000;0.773321;121.621000;84.875527;51;100
