No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11904a-x40-06.tif;1617;419.920841;329.963513;38.764294;54.851423;1.257288;1.414999;0.706714;0.684297;102.000000;0.707499;159.837000;151.671614;40;247
2;F-11904a-x40-06.tif;1306;428.955590;796.703675;33.060632;52.417087;1.224919;1.585483;0.630722;0.605212;83.000000;0.776009;141.785000;93.956355;34;122
3;F-11904a-x40-06.tif;1255;459.395219;771.616733;31.990846;51.074664;1.166445;1.596540;0.626354;0.612552;81.000000;0.779538;135.631000;94.556175;42;127
4;F-11904a-x40-06.tif;1656;525.243961;289.102053;36.293193;58.859156;1.093968;1.621768;0.616611;0.608615;34.000000;0.787268;150.882000;151.647947;38;240
5;F-11904a-x40-06.tif;1290;542.060465;230.257364;33.081854;51.693325;1.193949;1.562589;0.639964;0.614654;56.000000;0.768405;139.121000;96.091473;32;146
6;F-11904a-x40-06.tif;2137;612.394478;400.179691;42.358389;64.632657;1.076404;1.525853;0.655371;0.651344;43.000000;0.755307;170.018000;156.780533;79;198
7;F-11904a-x40-06.tif;1275;617.937255;461.489412;39.640506;41.121466;1.010034;1.037360;0.963986;0.960026;39.000000;0.265954;127.212000;160.740392;20;216
8;F-11904a-x40-06.tif;1233;651.148418;576.016221;30.269061;54.592807;1.240539;1.803584;0.554451;0.526747;95.000000;0.832216;138.641000;101.341444;41;133
9;F-11904a-x40-06.tif;1864;661.836910;323.451180;44.973624;55.337018;1.299603;1.230433;0.812722;0.775041;155.000000;0.582651;174.475000;166.180794;96;207
10;F-11904a-x40-06.tif;1315;667.523954;806.546008;29.554097;57.219625;1.150598;1.936098;0.516503;0.511383;33.000000;0.856285;137.889000;87.162738;37;112
11;F-11904a-x40-06.tif;1374;704.136099;730.333333;34.885721;50.412776;1.074143;1.445083;0.692002;0.688360;36.000000;0.721896;136.185000;90.836245;31;110
