No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;F-11904a-x40-06.tif;948;519.592827;371.229958;23.413985;53.320301;1.332248;2.277284;0.439120;0.424554;78.000000;0.898429;125.980000;0.344674;9.482883e-02;8.182652e-01
2;F-11904a-x40-06.tif;936;544.131410;393.759615;25.830105;46.664630;1.242907;1.806599;0.553526;0.547281;69.000000;0.832832;120.910000;0.426261;2.918690e-01;6.239365e-01
3;F-11904a-x40-06.tif;785;615.517197;462.909554;29.555959;34.365633;1.091328;1.162731;0.860044;0.846313;39.000000;0.510220;103.757000;0.444701;2.388827e-01;7.769819e-01
4;F-11904a-x40-06.tif;980;667.866327;326.347959;28.534314;45.683380;1.243123;1.600998;0.624610;0.597888;74.000000;0.780937;123.730000;0.462171;2.608779e-01;8.724316e-01
5;F-11904a-x40-06.tif;1185;698.766245;500.363713;28.285895;60.314247;1.578261;2.132308;0.468975;0.414752;234.000000;0.883211;153.304000;0.389348;8.638000e-02;9.270139e-01
6;F-11904a-x40-06.tif;1595;727.529781;318.717241;35.580293;67.080752;2.339709;1.885334;0.530410;0.451310;436.000000;0.847741;216.554000;0.471931;3.072775e-01;6.903562e-01
7;F-11904a-x40-06.tif;810;744.251852;500.664198;31.883506;33.357928;1.181089;1.046244;0.955800;0.926823;70.000000;0.294018;109.645000;0.496986;1.092658e-01;1.446500e+00
8;F-11904a-x40-06.tif;1419;818.078929;392.755462;36.354879;52.493624;1.491141;1.443922;0.692558;0.655661;196.000000;0.721362;163.063000;0.429612;2.999038e-01;6.327030e-01
9;F-11904a-x40-06.tif;604;820.591060;627.193709;24.952563;33.678927;1.735018;1.349718;0.740895;0.678001;105.000000;0.671620;114.756000;0.481894;2.795476e-01;9.147365e-01
10;F-11904a-x40-06.tif;3555;880.841913;624.018003;52.350744;100.484102;2.597555;1.919440;0.520985;0.448286;847.000000;0.853566;340.649000;0.432328;1.801605e-01;1.080819e+00
11;F-11904a-x40-06.tif;341;845.410557;414.020528;19.021246;23.563163;1.154263;1.238781;0.807245;0.781983;33.000000;0.590217;70.329000;0.480860;3.039247e-01;6.674157e-01
12;F-11904a-x40-06.tif;884;896.078054;382.471719;30.149238;38.708631;1.213667;1.283901;0.778876;0.751185;69.000000;0.627178;116.113000;0.461493;3.235628e-01;7.284111e-01
13;F-11904a-x40-06.tif;1561;900.068546;335.615631;41.076840;50.016099;1.445180;1.217623;0.821272;0.794499;152.000000;0.570536;168.371000;0.442730;1.946436e-01;1.207828e+00
14;F-11904a-x40-06.tif;2364;954.561760;627.752961;41.253408;82.461797;1.630392;1.998909;0.500273;0.442641;393.000000;0.865868;220.077000;0.405314;2.263254e-01;1.119914e+00
15;F-11904a-x40-06.tif;1308;1026.276758;639.104740;29.364018;62.722133;1.590870;2.136020;0.468160;0.423327;294.000000;0.883644;161.706000;0.385115;2.044749e-01;8.675091e-01
16;F-11904a-x40-06.tif;713;1140.956522;608.495091;28.049565;32.914670;1.044964;1.173447;0.852190;0.837955;23.000000;0.523232;96.761000;0.397519;1.100271e-01;1.264948e+00
17;F-11904a-x40-06.tif;1163;1181.950129;605.159931;27.595150;60.214603;1.519333;2.182072;0.458280;0.408400;204.000000;0.888808;149.012000;0.392456;7.031541e-02;1.350777e+00
18;F-11904a-x40-06.tif;1337;1540.710546;737.755423;32.898508;54.267038;1.274510;1.649529;0.606234;0.578055;129.000000;0.795287;146.333000;0.435132;2.396524e-01;1.258104e+00
