No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11779-x40-07.bmp;1615;401.572136;293.084830;34.594972;59.882127;1.093755;1.730949;0.577718;0.573440;38.000000;0.816237;148.988000;128.549845;62;255
2;M-11779-x40-07.bmp;1628;476.467445;693.071867;39.125797;53.732201;1.087047;1.373319;0.728163;0.717952;38.000000;0.685404;149.127000;150.952703;77;255
3;M-11779-x40-07.bmp;1860;493.412366;379.037097;43.275874;54.957893;1.005833;1.269943;0.787437;0.784085;38.000000;0.616395;153.329000;121.973118;71;255
4;M-11779-x40-07.bmp;3587;507.927795;475.112629;65.854804;69.980472;1.044841;1.062648;0.941045;0.932584;114.000000;0.338280;217.018000;127.434904;74;255
5;M-11779-x40-07.bmp;2090;554.893780;263.580861;45.795121;58.534167;1.053076;1.278175;0.782366;0.776672;62.000000;0.622819;166.306000;131.987081;70;255
6;M-11779-x40-07.bmp;1605;577.347040;549.021184;44.049375;47.301394;1.100688;1.073827;0.931249;0.913350;79.000000;0.364383;148.996000;107.261059;28;255
7;M-11779-x40-07.bmp;4542;594.817261;412.770586;74.514975;79.164630;1.123527;1.062399;0.941266;0.922773;229.000000;0.337666;253.233000;110.283796;39;255
8;M-11779-x40-07.bmp;3228;612.979864;707.081165;54.748806;76.059475;1.056692;1.389244;0.719816;0.710456;80.000000;0.694165;207.036000;119.943928;68;255
9;M-11779-x40-07.bmp;2436;609.808292;343.566913;51.722616;60.327837;1.004189;1.166373;0.857359;0.852220;43.000000;0.514719;175.328000;111.413383;62;255
10;M-11779-x40-07.bmp;1553;609.280103;287.399227;37.336246;53.449972;1.062905;1.431584;0.698527;0.692128;47.000000;0.715584;144.025000;120.723117;43;255
11;M-11779-x40-07.bmp;3627;663.695065;489.748553;64.758693;71.803648;1.088038;1.108788;0.901886;0.895704;148.000000;0.431974;222.690000;116.986490;62;255
12;M-11779-x40-07.bmp;2009;726.950224;591.563962;47.017247;55.411738;1.020376;1.178541;0.848507;0.833080;35.000000;0.529184;160.500000;115.087108;52;255
13;M-11779-x40-07.bmp;4749;746.976416;428.956622;70.777537;85.876162;1.047778;1.213325;0.824181;0.819912;107.000000;0.566326;250.058000;120.082333;65;255
14;M-11779-x40-07.bmp;2977;781.986900;297.161236;47.823201;79.711587;1.079842;1.666797;0.599953;0.596549;36.000000;0.800035;200.990000;99.931139;39;255
15;M-11779-x40-07.bmp;1653;782.256503;668.854809;41.515713;51.114257;1.038091;1.231203;0.812214;0.805562;54.000000;0.583360;146.845000;132.278887;55;255
16;M-11779-x40-07.bmp;2785;805.846320;399.613645;52.837669;67.888075;1.106561;1.284842;0.778306;0.769393;98.000000;0.627886;196.791000;115.898384;57;255
17;M-11779-x40-07.bmp;3027;830.399075;579.045590;45.777731;85.556386;1.168005;1.868952;0.535059;0.526523;83.000000;0.844815;210.782000;146.670961;87;255
18;M-11779-x40-07.bmp;1640;853.301220;379.275610;44.213009;47.433236;1.021615;1.072834;0.932110;0.928087;54.000000;0.362174;145.101000;130.310976;74;255
19;M-11779-x40-07.bmp;1812;932.678808;381.458609;41.167619;56.519971;1.040520;1.372923;0.728373;0.722212;37.000000;0.685181;153.925000;112.328366;52;255
20;M-11779-x40-07.bmp;1551;993.223082;406.481625;38.043944;53.220014;1.152197;1.398909;0.714843;0.697223;90.000000;0.699285;149.856000;120.581560;54;255
21;M-11779-x40-07.bmp;1693;1006.920851;505.565269;41.569299;52.321050;1.018374;1.258646;0.794504;0.787434;42.000000;0.607259;147.193000;116.166568;59;255
22;M-11779-x40-07.bmp;1579;1015.468651;445.424953;33.670100;60.776534;1.197259;1.805059;0.553998;0.544278;91.000000;0.832518;154.131000;127.201393;48;255
23;M-11779-x40-07.bmp;866;1045.378753;416.954965;25.840992;43.016728;1.095264;1.664670;0.600720;0.595872;33.000000;0.799460;109.175000;108.921478;13;255
24;M-11779-x40-07.bmp;2028;1102.165680;671.976824;45.970614;56.624846;1.007884;1.231762;0.811845;0.805312;34.000000;0.583873;160.267000;116.652367;56;254
25;M-11779-x40-07.bmp;1570;1161.308917;272.840764;41.407728;49.350421;1.114994;1.191817;0.839055;0.820782;99.000000;0.544046;148.317000;114.463057;39;255
26;M-11779-x40-07.bmp;2720;1167.253309;700.146691;56.981238;61.390449;1.020673;1.077380;0.928178;0.918919;59.000000;0.372138;186.781000;126.187868;42;255
27;M-11779-x40-07.bmp;1083;1178.263158;90.674977;31.815465;43.738363;1.055045;1.374752;0.727404;0.720798;39.000000;0.686209;119.827000;125.357341;36;255
28;M-11779-x40-07.bmp;961;1201.617066;268.854318;28.938578;43.111459;1.048473;1.489757;0.671250;0.658337;20.000000;0.741231;112.524000;114.095734;52;255
29;M-11779-x40-07.bmp;1179;1202.857506;318.279050;35.635878;42.653120;1.020911;1.196915;0.835481;0.825130;30.000000;0.549519;122.986000;112.543681;58;255
30;M-11779-x40-07.bmp;1724;1221.901972;148.944316;41.277656;54.323012;1.042533;1.316039;0.759856;0.743840;27.000000;0.650092;150.286000;101.862529;47;255
31;M-11779-x40-07.bmp;1609;1251.787446;183.443754;37.289458;55.210821;1.036423;1.480601;0.675401;0.672075;45.000000;0.737450;144.761000;102.104413;56;255
32;M-11779-x40-07.bmp;1032;1256.716085;84.494186;31.201293;42.439505;1.005834;1.360184;0.735195;0.729540;23.000000;0.677856;114.211000;114.626938;48;255
33;M-11779-x40-07.bmp;1625;1281.737231;293.643077;37.670387;56.143424;1.129902;1.490386;0.670967;0.656396;79.000000;0.741487;151.898000;125.033846;42;255
34;M-11779-x40-07.bmp;1199;1282.913261;261.452877;30.749185;51.568178;1.161357;1.677058;0.596282;0.574071;60.000000;0.802775;132.281000;129.544621;73;255
35;M-11779-x40-07.bmp;2589;1291.126690;51.059869;48.911050;67.836948;1.057466;1.386945;0.721009;0.716324;73.000000;0.692926;185.483000;112.216300;43;255
36;M-11779-x40-07.bmp;3669;1304.731807;210.282093;51.668344;90.826480;1.117541;1.757875;0.568869;0.566282;59.000000;0.822428;226.992000;99.491960;53;255
37;M-11779-x40-07.bmp;2005;1329.327182;425.502743;43.050006;59.943430;1.093355;1.392414;0.718177;0.710463;70.000000;0.695860;165.975000;129.222943;50;255
38;M-11779-x40-07.bmp;1832;1350.332424;290.891921;36.105444;65.222357;1.132484;1.806441;0.553575;0.548331;61.000000;0.832800;161.467000;108.903930;55;255
