No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11779-x40-07.tif;1071;404.779645;292.146592;26.259918;54.441635;1.349724;2.073184;0.482350;0.460084;104.000000;0.875979;134.779000;188.770308;122;255
2;M-11779-x40-07.tif;1352;495.470414;382.361686;38.822240;46.929222;1.318139;1.208823;0.827251;0.781628;139.000000;0.561833;149.649000;185.475592;139;255
3;M-11779-x40-07.tif;4813;542.274673;661.568253;67.382566;102.344732;2.719914;1.518861;0.658388;0.585053;1039.000000;0.752679;405.593000;191.036152;107;255
4;M-11779-x40-07.tif;1995;516.611529;476.353383;45.656162;62.416312;1.853066;1.367095;0.731478;0.652014;360.000000;0.681865;215.537000;198.924812;143;255
5;M-11779-x40-07.tif;1851;526.928687;425.076175;44.817967;53.241111;1.097561;1.187941;0.841792;0.831424;89.000000;0.539801;159.780000;178.223663;127;254
6;M-11779-x40-07.tif;1101;553.411444;259.247956;30.677998;47.187378;1.333798;1.538151;0.650131;0.629572;103.000000;0.759822;135.845000;187.456857;138;255
7;M-11779-x40-07.tif;1545;573.388997;551.761165;39.146110;57.619978;1.495673;1.471921;0.679384;0.592506;218.000000;0.733783;170.407000;159.166343;50;255
8;M-11779-x40-07.tif;3762;595.493620;412.959862;66.795838;72.608008;1.064416;1.087014;0.919951;0.908573;112.000000;0.392032;224.321000;177.524987;76;255
9;M-11779-x40-07.tif;3774;627.928988;344.875199;53.554834;91.923664;1.395694;1.716440;0.582601;0.568666;294.000000;0.812758;257.277000;177.288288;124;255
10;M-11779-x40-07.tif;1251;608.764189;287.687450;34.015576;47.624315;1.254984;1.400074;0.714248;0.702279;76.000000;0.699893;140.460000;182.464428;82;255
11;M-11779-x40-07.tif;3410;619.596481;693.804985;59.558438;78.075437;2.145443;1.310905;0.762832;0.712255;657.000000;0.646597;303.208000;190.119648;120;255
12;M-11779-x40-07.tif;421;608.163895;537.855107;23.259076;24.692589;1.185266;1.061632;0.941946;0.879142;45.000000;0.335766;79.187000;177.769596;96;255
13;M-11779-x40-07.tif;3264;653.940870;488.657782;58.049511;83.976076;1.794960;1.446628;0.691262;0.589317;615.000000;0.722604;271.336000;183.707108;71;255
14;M-11779-x40-07.tif;1661;726.895244;590.827213;42.674612;50.510576;1.144897;1.183621;0.844865;0.828925;68.000000;0.534980;154.587000;181.841662;92;255
15;M-11779-x40-07.tif;5664;766.558616;300.943856;69.076247;120.996099;1.902294;1.751631;0.570896;0.492596;1425.000000;0.821022;367.964000;166.391596;77;255
16;M-11779-x40-07.tif;3167;745.489738;424.733502;59.418482;70.826735;1.559544;1.191998;0.838927;0.803829;316.000000;0.544243;249.131000;185.137038;125;255
17;M-11779-x40-07.tif;1066;753.828330;365.308630;24.703817;56.145736;1.352395;2.272755;0.439995;0.430560;60.000000;0.898000;134.597000;184.656660;111;255
18;M-11779-x40-07.tif;956;781.790795;665.462343;30.740929;43.991841;2.101163;1.431051;0.698787;0.628961;181.000000;0.715330;158.878000;192.327406;102;255
19;M-11779-x40-07.tif;1097;790.971741;357.843209;32.399854;43.420980;1.031107;1.340160;0.746180;0.740828;31.000000;0.665745;119.223000;162.630811;113;255
20;M-11779-x40-07.tif;1924;804.884615;400.391892;44.162726;56.756284;1.323527;1.285163;0.778112;0.760479;158.000000;0.628126;178.885000;180.272869;113;255
21;M-11779-x40-07.tif;1043;854.732502;376.690316;33.965144;40.268486;1.162886;1.185583;0.843467;0.818962;68.000000;0.537181;123.457000;195.078619;142;255
22;M-11779-x40-07.tif;727;869.403026;486.426410;29.206464;33.463411;1.107005;1.145754;0.872788;0.826617;34.000000;0.488099;100.565000;161.519945;25;255
23;M-11779-x40-07.tif;612;916.441176;406.995098;25.229659;31.353926;1.026025;1.242741;0.804673;0.792643;32.000000;0.593718;88.830000;149.800654;29;255
24;M-11779-x40-07.tif;1750;933.863429;382.065143;39.513870;58.173524;1.185300;1.472230;0.679241;0.658412;100.000000;0.733915;161.450000;172.237714;101;255
25;M-11779-x40-07.tif;968;955.735537;420.877066;35.124468;37.983346;1.570363;1.081393;0.924733;0.854278;156.000000;0.380616;138.211000;184.654959;88;255
26;M-11779-x40-07.tif;1209;993.334988;406.673284;32.751063;48.574180;1.112784;1.483133;0.674248;0.652417;49.000000;0.738505;130.024000;178.550868;104;255
27;M-11779-x40-07.tif;1391;1006.225018;506.302660;37.013417;48.114435;1.058570;1.299919;0.769279;0.765044;46.000000;0.638913;136.028000;181.309849;117;255
28;M-11779-x40-07.tif;716;1045.286313;417.178771;23.335857;39.326054;1.040779;1.685220;0.593394;0.589471;19.000000;0.804912;96.770000;145.502793;13;255
29;M-11779-x40-07.tif;3096;1098.441537;676.181525;59.647668;73.457348;2.261695;1.231521;0.812004;0.730534;641.000000;0.583652;296.635000;192.794574;94;255
30;M-11779-x40-07.tif;2205;1157.723356;686.840363;46.412191;76.137497;2.253054;1.640463;0.609584;0.484308;716.000000;0.792722;249.859000;199.258050;80;255
31;M-11779-x40-07.tif;6016;1189.321975;297.323305;83.370625;103.360807;1.929896;1.239775;0.806598;0.716979;922.000000;0.591100;381.967000;163.482547;52;255
32;M-11779-x40-07.tif;810;1178.812346;91.379012;26.215220;40.276503;1.154718;1.536379;0.650881;0.635758;59.000000;0.759180;108.414000;173.508642;69;255
33;M-11779-x40-07.tif;1697;1282.199175;274.475545;42.877390;53.515204;1.641083;1.248098;0.801219;0.754462;260.000000;0.598371;187.073000;176.948144;80;255
