No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11779-x40-07.tif;1377;400.823529;292.137981;31.266732;57.737539;1.313164;1.846613;0.541532;0.525929;81.000000;0.840680;150.741000;70.937545;46;100
2;M-11779-x40-07.tif;1543;495.504861;381.461439;42.118790;49.460073;1.255359;1.174299;0.851572;0.803094;96.000000;0.524238;156.017000;68.204148;41;100
3;M-11779-x40-07.tif;2948;508.419267;475.303935;59.743814;63.221734;1.030567;1.058214;0.944989;0.939085;87.000000;0.327103;195.392000;74.471167;49;100
4;M-11779-x40-07.tif;2174;528.148114;425.377185;50.509725;55.596037;1.134560;1.100700;0.908513;0.895534;119.000000;0.417857;176.055000;67.646274;44;100
5;M-11779-x40-07.tif;1667;554.027594;261.039592;37.801477;58.725112;1.249176;1.553514;0.643702;0.615457;130.000000;0.765276;161.765000;70.633473;45;100
6;M-11779-x40-07.tif;3995;595.495369;412.986483;69.376206;74.348659;1.089041;1.071674;0.933120;0.920197;114.000000;0.359566;233.822000;65.106884;25;100
7;M-11779-x40-07.tif;2004;605.734531;343.938124;46.309031;56.395465;1.068308;1.217807;0.821148;0.802268;66.000000;0.570715;164.022000;67.934631;46;100
8;M-11779-x40-07.tif;1383;609.328995;287.529284;35.224425;50.087203;1.032829;1.421945;0.703262;0.701906;31.000000;0.710931;133.977000;67.062184;32;100
9;M-11779-x40-07.tif;2136;647.370318;347.577715;49.509674;56.764243;1.116873;1.146528;0.872198;0.844037;128.000000;0.489153;173.144000;65.088483;41;100
10;M-11779-x40-07.tif;1797;727.204229;590.599332;44.032427;53.012904;1.046616;1.203951;0.830598;0.814132;41.000000;0.556872;153.735000;64.885921;29;100
11;M-11779-x40-07.tif;3912;745.895194;426.524284;64.197600;78.159427;1.191312;1.217482;0.821367;0.815354;204.000000;0.570400;242.001000;68.967536;44;100
12;M-11779-x40-07.tif;1807;735.767571;321.512452;37.697945;64.226465;1.350034;1.703713;0.586953;0.557751;145.000000;0.809621;175.088000;58.182070;30;100
13;M-11779-x40-07.tif;1106;753.183544;364.398734;25.880367;55.357691;1.288786;2.138984;0.467512;0.459525;52.000000;0.883987;133.836000;67.546112;45;100
14;M-11779-x40-07.tif;4764;784.204030;292.067800;65.325118;99.477949;1.644779;1.522813;0.656679;0.612954;632.000000;0.754170;313.794000;70.419605;27;100
15;M-11779-x40-07.tif;1398;783.431330;667.073677;36.065477;50.605153;1.173303;1.403147;0.712684;0.695069;71.000000;0.701485;143.570000;71.835479;35;100
16;M-11779-x40-07.tif;1125;790.672000;356.736000;32.972983;44.210257;1.110873;1.340802;0.745822;0.732852;59.000000;0.666145;125.318000;61.099556;40;100
17;M-11779-x40-07.tif;2225;805.637303;400.241348;50.375526;57.173862;1.197556;1.134953;0.881094;0.866653;157.000000;0.472942;182.986000;69.197303;45;100
18;M-11779-x40-07.tif;1263;853.498812;377.374505;37.771842;43.026152;1.044175;1.139107;0.877881;0.868657;51.000000;0.478879;128.734000;72.954078;49;100
19;M-11779-x40-07.tif;741;869.678812;486.188934;28.675704;34.597675;1.122109;1.206515;0.828833;0.788196;30.000000;0.559496;102.219000;60.784076;6;100
20;M-11779-x40-07.tif;1812;933.442053;380.975717;40.179830;58.987403;1.207625;1.468085;0.681160;0.663055;115.000000;0.732135;165.825000;62.021523;37;100
21;M-11779-x40-07.tif;621;916.537842;406.671498;25.161451;32.049360;1.020785;1.273748;0.785084;0.769774;24.000000;0.619389;89.252000;54.772947;7;100
22;M-11779-x40-07.tif;1107;948.507678;477.180668;23.795170;60.862858;1.442754;2.557782;0.390964;0.380499;62.000000;0.920406;141.669000;74.804878;49;100
23;M-11779-x40-07.tif;1201;956.653622;420.213988;37.028958;42.288663;1.196403;1.142043;0.875624;0.855077;99.000000;0.482994;134.374000;69.378851;37;100
24;M-11779-x40-07.tif;1740;1004.659770;505.564368;38.399514;61.120573;1.416485;1.591702;0.628258;0.593041;189.000000;0.778005;175.989000;69.901149;39;100
25;M-11779-x40-07.tif;1254;993.669059;406.349282;33.335064;49.439770;1.120028;1.483116;0.674256;0.653213;53.000000;0.738498;132.852000;65.379585;39;100
26;M-11779-x40-07.tif;1243;1015.891392;443.473049;28.802582;56.290783;1.268426;1.954366;0.511675;0.499467;87.000000;0.859179;140.758000;68.415125;31;100
27;M-11779-x40-07.tif;736;1045.244565;416.926630;23.814786;39.606778;1.039671;1.663117;0.601281;0.597378;17.000000;0.799038;98.060000;53.402174;0;100
28;M-11779-x40-07.tif;595;1134.549580;43.820168;22.040699;41.954535;2.395626;1.903503;0.525347;0.430397;146.000000;0.850888;133.836000;75.062185;52;100
29;M-11779-x40-07.tif;4329;1158.125664;679.429891;53.692550;109.089670;1.572634;2.031747;0.492187;0.463159;503.000000;0.870489;292.491000;78.217833;31;100
30;M-11779-x40-07.tif;915;1179.135519;91.515847;27.741567;42.486854;1.077685;1.531523;0.652945;0.645390;41.000000;0.757406;111.317000;64.355191;30;100
31;M-11779-x40-07.tif;1253;1281.098962;291.737430;32.925329;49.750262;1.141110;1.511003;0.661812;0.644571;62.000000;0.749670;134.043000;70.843575;33;100
32;M-11779-x40-07.tif;2473;1292.104327;52.321876;47.542640;66.735466;1.068518;1.403697;0.712404;0.707002;73.000000;0.701769;182.225000;66.109988;28;100
33;M-11779-x40-07.tif;1090;1282.929358;262.389908;32.179625;44.053538;1.086509;1.368989;0.730466;0.715114;44.000000;0.682949;121.993000;69.817431;33;100
34;M-11779-x40-07.tif;1196;1313.600334;310.276756;33.654944;45.712158;1.036140;1.358260;0.736236;0.728749;39.000000;0.676725;124.790000;68.336120;35;100
35;M-11779-x40-07.tif;1604;1328.735661;425.483791;41.357068;50.167552;1.174060;1.213035;0.824379;0.811463;84.000000;0.566038;153.834000;70.495012;33;100
