No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11779-x40-07.tif;1148;574.051394;552.100174;37.486215;40.451547;1.134044;1.079105;0.926694;0.893268;61.000000;0.375816;127.906000;0.560230;-2.306816e-01;7.604941e-01
2;M-11779-x40-07.tif;1264;734.995253;324.939873;32.422238;52.795180;1.317031;1.628363;0.614114;0.577389;115.000000;0.789218;144.636000;0.571577;4.090796e-02;7.599251e-01
3;M-11779-x40-07.tif;2331;786.666238;291.492063;47.166828;74.736456;1.833211;1.584513;0.631109;0.531358;552.000000;0.775694;231.730000;0.632141;2.896292e-01;8.796754e-01
4;M-11779-x40-07.tif;741;789.380567;359.278003;25.657393;37.343157;1.137044;1.455454;0.687071;0.676560;33.000000;0.726590;102.897000;0.565176;4.143581e-01;6.814882e-01
5;M-11779-x40-07.tif;1087;920.816007;395.671573;26.058333;59.552216;1.883493;2.285342;0.437571;0.390251;234.000000;0.899184;160.399000;0.560475;-8.197143e-02;8.571424e-01
6;M-11779-x40-07.tif;2961;1185.303276;300.463357;56.992520;90.944897;2.356369;1.595734;0.626671;0.455818;1144.000000;0.779284;296.105000;0.570086;2.623949e-01;7.745695e-01
7;M-11779-x40-07.tif;865;1199.295954;272.415029;29.996257;37.157823;1.079960;1.238749;0.807266;0.797674;40.000000;0.590187;108.347000;0.520191;1.972125e-01;6.823787e-01
8;M-11779-x40-07.tif;3001;1234.762079;124.972009;53.319672;79.128951;1.822400;1.484048;0.673833;0.610247;564.000000;0.738884;262.156000;0.576284;3.341580e-01;7.032464e-01
9;M-11779-x40-07.tif;1754;1246.915621;180.809008;38.193237;59.437755;1.194876;1.556238;0.642575;0.632142;129.000000;0.766222;162.286000;0.572378;3.198346e-01;7.132124e-01
10;M-11779-x40-07.tif;443;1256.866817;79.510158;23.932851;26.449011;1.810117;1.105134;0.904868;0.806297;69.000000;0.425693;100.383000;0.535915;3.167001e-01;6.616540e-01
11;M-11779-x40-07.tif;1354;1302.302068;113.515510;27.987307;66.149058;1.956536;2.363538;0.423095;0.393987;210.000000;0.906086;182.456000;0.542490;3.546926e-01;6.953913e-01
12;M-11779-x40-07.tif;972;1300.925926;55.036008;30.883973;44.139296;1.401238;1.429197;0.699693;0.635222;129.000000;0.714443;130.826000;0.611961;3.083659e-01;7.719184e-01
13;M-11779-x40-07.tif;3287;1321.617280;199.803164;59.989670;72.421968;1.645303;1.207241;0.828335;0.797938;372.000000;0.560233;260.692000;0.573561;4.137077e-01;6.941486e-01
14;M-11779-x40-07.tif;1065;1349.713615;144.898592;29.501960;47.698031;1.323224;1.616775;0.618515;0.596017;87.000000;0.785773;133.075000;0.547492;3.931785e-01;6.808730e-01
15;M-11779-x40-07.tif;1820;1367.669780;251.681319;38.281715;61.313074;1.224239;1.601628;0.624365;0.616418;97.000000;0.781133;167.330000;0.575055;2.396212e-01;7.371987e-01
16;M-11779-x40-07.tif;1094;1402.078611;182.161792;28.288135;50.520507;1.240260;1.785926;0.559934;0.545748;68.000000;0.828537;130.578000;0.579488;1.612124e-01;7.154770e-01
