No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11783-x40-01.tif;1754;115.334664;198.221209;28.521678;91.316316;2.017736;3.201646;0.312339;0.267820;365.000000;0.949971;210.888000;99.446978;36;152
2;M-11783-x40-01.tif;978;162.314928;450.687117;29.981700;44.372260;1.400744;1.479978;0.675686;0.632450;104.000000;0.737190;131.206000;138.556237;35;221
3;M-11783-x40-01.tif;1578;260.792776;498.857414;36.519774;59.282024;1.728781;1.623286;0.616035;0.571704;242.000000;0.787719;185.152000;135.712928;33;186
4;M-11783-x40-01.tif;2088;339.375958;285.330460;42.466989;63.159608;1.166134;1.487264;0.672376;0.666441;98.000000;0.740210;174.922000;136.648467;54;183
5;M-11783-x40-01.tif;347;388.504323;356.247839;13.742274;36.577234;1.729579;2.661658;0.375706;0.330231;50.000000;0.926739;86.844000;102.913545;39;173
6;M-11783-x40-01.tif;789;513.264892;566.802281;31.161127;37.316059;1.315247;1.197520;0.835059;0.721432;80.000000;0.550160;114.195000;152.754119;60;228
7;M-11783-x40-01.tif;1359;541.635762;216.172185;41.253030;42.448838;1.053015;1.028987;0.971829;0.960280;43.000000;0.235685;134.101000;131.831494;52;201
8;M-11783-x40-01.tif;778;555.919023;593.213368;28.936889;35.051285;1.107843;1.211301;0.825559;0.806272;51.000000;0.564316;104.072000;146.366324;35;208
9;M-11783-x40-01.tif;564;578.879433;570.804965;19.053473;51.080626;2.230751;2.680909;0.373008;0.275218;233.000000;0.927828;125.739000;121.737589;68;172
10;M-11783-x40-01.tif;2628;593.231735;318.165525;51.327864;71.884573;1.332388;1.400498;0.714032;0.647536;298.000000;0.700113;209.765000;134.807078;43;211
11;M-11783-x40-01.tif;907;635.941566;344.622933;26.408047;45.840258;1.279827;1.735844;0.576089;0.549570;54.000000;0.817387;120.777000;140.737596;34;207
12;M-11783-x40-01.tif;402;732.529851;359.798507;17.216296;34.113507;1.513784;1.981466;0.504677;0.439829;68.000000;0.863308;87.448000;78.047264;39;123
13;M-11783-x40-01.tif;1153;855.864701;519.818734;33.418946;44.685026;1.101700;1.337117;0.747878;0.735217;45.000000;0.663836;126.343000;145.102342;43;198
14;M-11783-x40-01.tif;2731;1031.707799;652.485536;52.067975;68.560924;1.171402;1.316758;0.759441;0.739739;163.000000;0.650576;200.502000;126.536067;51;174
15;M-11783-x40-01.tif;1590;1027.789308;695.651572;39.502060;52.361815;1.226903;1.325546;0.754406;0.738376;99.000000;0.656408;156.570000;135.733962;64;179
16;M-11783-x40-01.tif;342;1129.856725;538.771930;15.483635;29.161125;1.267945;1.883351;0.530968;0.512068;34.000000;0.847392;73.819000;119.684211;78;175
17;M-11783-x40-01.tif;1114;1223.749551;525.670557;33.052655;43.053489;1.012563;1.302573;0.767711;0.765206;20.000000;0.640796;119.058000;138.196589;42;182
