No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11783-x40-05.tif;1132;431.547703;309.623675;33.348542;43.888054;1.070885;1.316041;0.759855;0.748280;38.000000;0.650093;123.424000;211.378092;42;255
2;M-11783-x40-05.tif;1414;440.440594;656.400990;40.236263;45.160534;1.058524;1.122384;0.890961;0.882757;56.000000;0.454080;137.145000;194.830976;57;255
3;M-11783-x40-05.tif;1164;450.141753;738.054124;36.022109;41.570436;1.105048;1.154026;0.866532;0.857618;51.000000;0.499122;127.137000;208.658935;42;255
4;M-11783-x40-05.tif;816;548.223039;146.393382;28.334523;38.668786;1.136100;1.364723;0.732749;0.694831;60.000000;0.680499;107.934000;202.533088;42;255
5;M-11783-x40-05.tif;1123;626.732858;356.885129;34.074752;46.903366;2.150214;1.376484;0.726488;0.649953;232.000000;0.687179;174.195000;150.406055;28;255
6;M-11783-x40-05.tif;2087;659.585050;329.486344;45.886570;60.094900;1.412664;1.309640;0.763568;0.735796;203.000000;0.645727;192.480000;162.453282;28;255
7;M-11783-x40-05.tif;1195;704.896234;313.015900;30.117720;58.772228;1.945191;1.951417;0.512448;0.440488;272.000000;0.858718;170.911000;164.369038;28;227
8;M-11783-x40-05.tif;860;711.498837;794.669767;30.256526;38.453043;1.319456;1.270901;0.786843;0.740538;121.000000;0.617153;119.413000;146.973256;71;227
9;M-11783-x40-05.tif;3363;746.260779;289.712459;54.180409;84.394464;1.665449;1.557656;0.641990;0.601186;482.000000;0.766713;265.298000;160.385370;57;255
10;M-11783-x40-05.tif;1505;769.986047;233.116944;42.187102;52.607550;1.912621;1.247006;0.801921;0.692389;310.000000;0.597430;190.190000;151.930897;0;255
11;M-11783-x40-05.tif;969;790.725490;93.168215;27.372236;46.926464;1.203381;1.714382;0.583301;0.560271;52.000000;0.812256;121.051000;205.223942;42;255
12;M-11783-x40-05.tif;1049;1240.777884;344.245949;36.038419;37.836268;1.044585;1.049887;0.952483;0.932973;34.000000;0.304590;117.345000;209.224976;42;255
13;M-11783-x40-05.tif;479;1341.367432;398.054280;23.019547;29.787774;1.637323;1.294021;0.772785;0.687337;95.000000;0.634668;99.275000;136.632568;71;255
14;M-11783-x40-05.tif;420;1547.690476;58.154762;21.557288;34.323886;2.191724;1.592217;0.628055;0.453907;179.000000;0.778169;107.553000;133.861905;42;198
