No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11783-x40-06.tif;4823;80.874559;741.389384;68.249994;95.404213;1.344131;1.397864;0.715377;0.674671;503.000000;0.698739;285.420000;94.678623;26;176
2;M-11783-x40-06.tif;2955;141.192893;720.990525;51.681686;75.804668;1.381521;1.466761;0.681774;0.654750;294.000000;0.731562;226.497000;89.692047;50;172
3;M-11783-x40-06.tif;2331;242.658087;406.758044;45.503661;65.640935;1.155651;1.442542;0.693221;0.688815;78.000000;0.720725;183.988000;110.472758;55;167
4;M-11783-x40-06.tif;2082;269.965418;553.783862;40.327119;83.308070;2.220725;2.065808;0.484072;0.381959;796.000000;0.875028;241.042000;175.131604;73;220
5;M-11783-x40-06.tif;368;280.057065;527.192935;15.006829;32.878381;1.379324;2.190895;0.456435;0.433448;34.000000;0.889757;79.866000;169.896739;79;216
6;M-11783-x40-06.tif;1864;324.533798;477.065987;38.177505;64.715563;1.351264;1.695123;0.589928;0.566681;121.000000;0.807456;177.909000;96.744635;13;189
7;M-11783-x40-06.tif;855;368.335673;562.298246;31.924338;35.865523;1.136733;1.123454;0.890112;0.846295;68.000000;0.455742;110.514000;92.309942;36;205
8;M-11783-x40-06.tif;1778;378.638358;457.476378;43.047260;52.812914;1.020796;1.226859;0.815090;0.811637;37.000000;0.579335;151.022000;98.137233;50;185
9;M-11783-x40-06.tif;867;377.004614;804.642445;31.845232;34.850301;0.974937;1.094365;0.913772;0.908900;22.000000;0.406227;103.063000;91.289504;42;193
10;M-11783-x40-06.tif;2217;445.547587;564.733424;47.184970;60.597635;1.175515;1.284257;0.778660;0.768713;117.000000;0.627446;180.968000;99.062697;54;162
11;M-11783-x40-06.tif;800;488.576250;808.142500;28.023304;38.310614;1.267819;1.367098;0.731476;0.694004;65.000000;0.681867;112.896000;90.261250;37;191
12;M-11783-x40-06.tif;2581;542.106548;734.704766;40.738498;88.870081;1.907274;2.181477;0.458405;0.416090;574.000000;0.888743;248.717000;110.917086;57;176
13;M-11783-x40-06.tif;1564;604.461637;679.071611;37.800521;53.491150;1.062108;1.415090;0.706669;0.695958;54.000000;0.707545;144.480000;102.200128;60;184
14;M-11783-x40-06.tif;737;662.943012;164.147897;29.032488;32.468722;0.960104;1.118358;0.894168;0.890117;19.000000;0.447732;94.297000;86.826323;51;203
15;M-11783-x40-06.tif;1132;693.645760;110.398410;37.598674;38.533995;0.976626;1.024876;0.975727;0.970663;28.000000;0.218989;117.867000;94.225265;38;186
16;M-11783-x40-06.tif;1448;714.916436;143.093232;34.708460;56.628220;1.264849;1.631539;0.612918;0.574927;80.000000;0.790146;151.708000;96.649171;55;176
17;M-11783-x40-06.tif;1290;714.706977;797.403101;31.066500;56.296361;1.237070;1.812124;0.551839;0.518250;88.000000;0.833951;141.611000;108.581395;40;183
18;M-11783-x40-06.tif;2248;746.200623;746.662367;33.816079;85.607577;1.443143;2.531564;0.395013;0.390555;120.000000;0.918676;201.910000;114.632562;73;181
19;M-11783-x40-06.tif;1275;753.781961;800.956863;36.885518;44.132900;0.976182;1.196483;0.835783;0.833480;21.000000;0.549060;125.062000;106.915294;47;210
20;M-11783-x40-06.tif;2224;773.468525;119.169964;46.043776;64.494166;1.249990;1.400714;0.713922;0.680776;198.000000;0.700226;186.907000;100.357464;25;163
21;M-11783-x40-06.tif;2508;811.517145;374.333333;51.680237;62.251860;1.042742;1.204558;0.830180;0.824011;61.000000;0.557496;181.283000;78.220893;28;187
22;M-11783-x40-06.tif;1415;889.274912;783.108834;32.460272;57.782363;1.339908;1.780095;0.561768;0.539605;108.000000;0.827295;154.355000;115.146996;76;177
23;M-11783-x40-06.tif;1249;896.252202;210.927142;39.347021;48.226668;1.783408;1.225675;0.815877;0.683751;282.000000;0.578226;167.306000;92.817454;27;186
24;M-11783-x40-06.tif;4248;918.895009;650.411959;73.568401;83.768627;1.779170;1.138650;0.878233;0.770782;963.000000;0.478232;308.181000;91.761299;30;214
25;M-11783-x40-06.tif;1020;919.883333;757.632353;27.174153;49.718430;1.241452;1.829622;0.546561;0.525382;62.000000;0.837419;126.145000;102.909804;55;207
26;M-11783-x40-06.tif;2510;948.905976;726.541036;35.605737;107.328182;2.286187;3.014351;0.331746;0.277432;673.000000;0.943369;268.533000;108.299602;57;200
27;M-11783-x40-06.tif;4048;988.248518;336.515069;64.102919;89.873124;1.712959;1.402013;0.713260;0.638103;839.000000;0.700899;295.188000;104.721591;38;179
28;M-11783-x40-06.tif;1220;982.059836;414.454098;33.112906;48.497284;1.202830;1.464604;0.682779;0.660443;79.000000;0.730625;135.796000;89.751639;11;205
29;M-11783-x40-06.tif;2355;1021.558386;252.369427;47.716870;65.433762;1.428330;1.371292;0.729239;0.700321;308.000000;0.684259;205.596000;94.608493;37;170
30;M-11783-x40-06.tif;1199;1017.364470;206.301918;31.358216;51.237418;1.197365;1.633939;0.612018;0.581507;84.000000;0.790844;134.316000;98.211009;36;206
31;M-11783-x40-06.tif;2559;1031.386870;302.049238;51.279486;64.572079;1.100324;1.259219;0.794143;0.781431;95.000000;0.607730;188.105000;103.666667;47;178
32;M-11783-x40-06.tif;2372;1077.086003;352.031197;50.391667;60.910753;1.119292;1.208747;0.827303;0.814023;107.000000;0.561756;182.656000;104.214165;49;173
33;M-11783-x40-06.tif;1988;1072.744467;237.626258;47.118953;54.598849;1.250526;1.158745;0.863003;0.849101;122.000000;0.505199;176.750000;89.181087;39;163
34;M-11783-x40-06.tif;2502;1087.860112;293.024780;51.650324;62.541442;1.117687;1.210863;0.825858;0.814445;113.000000;0.563879;187.460000;99.982414;58;167
35;M-11783-x40-06.tif;2033;1137.327103;218.793901;27.277932;100.427873;1.877657;3.681653;0.271617;0.256649;285.000000;0.962405;219.019000;95.506149;41;187
36;M-11783-x40-06.tif;977;1143.164790;503.539406;30.628687;40.912879;1.002254;1.335770;0.748632;0.743164;25.000000;0.662986;110.928000;87.766633;1;199
37;M-11783-x40-06.tif;926;1155.274298;465.958963;31.782130;37.591724;1.210190;1.182794;0.845456;0.834328;56.000000;0.534046;118.669000;93.589633;52;203
38;M-11783-x40-06.tif;1162;1165.754733;270.137694;29.070815;51.585059;1.253363;1.774462;0.563551;0.555992;70.000000;0.826081;135.284000;90.960413;29;187
39;M-11783-x40-06.tif;998;1198.297595;487.797595;27.945101;45.747698;1.054925;1.637056;0.610853;0.607159;20.000000;0.791744;115.022000;94.369739;23;199
40;M-11783-x40-06.tif;2148;1192.241620;343.672719;26.525020;106.470910;2.029634;4.013980;0.249129;0.241258;186.000000;0.968470;234.062000;117.439479;62;192
41;M-11783-x40-06.tif;2283;1217.273325;233.279019;40.360609;73.720824;1.308428;1.826554;0.547479;0.534855;207.000000;0.836819;193.746000;98.230399;47;175
42;M-11783-x40-06.tif;1162;1233.512909;277.393287;37.176678;40.222075;0.985632;1.081917;0.924285;0.914508;26.000000;0.381702;119.968000;95.314114;46;200
43;M-11783-x40-06.tif;2077;1269.486760;242.045739;47.308978;59.023753;1.207623;1.247623;0.801524;0.759089;185.000000;0.597962;177.537000;102.724121;48;197
