No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11783-x40-06.tif;6219;53.484322;416.768291;76.092732;109.207295;1.322042;1.435187;0.696773;0.663938;469.000000;0.717291;321.431000;125.393793;72;206
2;M-11783-x40-06.tif;2544;83.911164;759.389151;40.980029;80.770347;1.241066;1.970968;0.507365;0.496505;117.000000;0.861731;199.187000;124.913129;82;201
3;M-11783-x40-06.tif;1606;74.591532;716.179328;41.575452;49.496397;1.053969;1.190520;0.839969;0.834658;61.000000;0.542634;145.845000;128.224159;96;184
4;M-11783-x40-06.tif;2380;141.546639;723.269748;49.500159;61.543851;1.015636;1.243306;0.804307;0.800051;45.000000;0.594214;174.286000;116.795378;87;195
5;M-11783-x40-06.tif;1896;184.655063;403.278481;39.157449;63.371428;1.204649;1.618375;0.617904;0.601120;161.000000;0.786254;169.416000;129.742089;94;189
6;M-11783-x40-06.tif;2097;243.344778;405.398188;42.586695;64.316653;1.440334;1.510252;0.662141;0.645449;176.000000;0.749379;194.821000;139.081068;93;190
7;M-11783-x40-06.tif;1822;324.205818;476.665203;38.402269;63.211936;1.315258;1.646047;0.607516;0.580578;104.000000;0.794307;173.534000;127.441273;58;202
8;M-11783-x40-06.tif;2126;370.684854;690.689558;44.253977;61.721797;1.096545;1.394718;0.716991;0.710553;68.000000;0.697082;171.159000;129.253528;84;198
9;M-11783-x40-06.tif;866;368.284065;562.187067;31.473580;36.514838;1.109071;1.160174;0.861939;0.826969;52.000000;0.507011;109.861000;120.806005;54;208
10;M-11783-x40-06.tif;1803;378.238491;457.508042;43.715504;52.665957;1.000479;1.204743;0.830052;0.827648;37.000000;0.557685;150.559000;127.489739;84;201
11;M-11783-x40-06.tif;898;376.778396;804.660356;32.936810;34.835329;0.961943;1.057641;0.945500;0.942208;19.000000;0.325622;104.188000;116.227171;72;206
12;M-11783-x40-06.tif;1969;399.110208;622.746064;44.527687;57.560527;1.135076;1.292691;0.773580;0.756670;51.000000;0.633698;167.587000;131.702895;98;188
13;M-11783-x40-06.tif;3496;459.259725;639.468822;51.123244;88.553153;1.300496;1.732151;0.577317;0.567641;122.000000;0.816520;239.026000;128.044908;79;217
14;M-11783-x40-06.tif;1919;446.665451;563.836373;44.405915;55.154995;1.002131;1.242064;0.805111;0.803185;39.000000;0.593124;155.455000;129.610214;94;190
15;M-11783-x40-06.tif;797;487.007528;808.636136;30.323700;33.611655;0.979780;1.108429;0.902178;0.898232;26.000000;0.431364;99.060000;115.180678;74;209
16;M-11783-x40-06.tif;1843;502.965817;533.468258;36.453175;64.832074;1.176097;1.778503;0.562271;0.558285;74.000000;0.826953;165.040000;129.819859;78;197
17;M-11783-x40-06.tif;2682;540.040641;736.593960;40.327103;95.614563;1.826663;2.370975;0.421767;0.373526;557.000000;0.906704;248.121000;139.320283;90;199
18;M-11783-x40-06.tif;1597;603.736381;678.951785;38.065308;54.243902;1.074259;1.425022;0.701744;0.691056;62.000000;0.712430;146.829000;129.804634;85;202
19;M-11783-x40-06.tif;796;662.275126;164.672111;30.162660;33.768642;0.958875;1.119551;0.893215;0.888784;17.000000;0.449630;97.936000;113.855528;61;206
20;M-11783-x40-06.tif;1153;692.973981;110.855160;37.932650;38.865879;0.989620;1.024602;0.975988;0.971857;32.000000;0.217822;119.744000;123.663487;65;203
21;M-11783-x40-06.tif;1432;714.347067;143.703212;35.020462;55.639734;1.273406;1.588778;0.629415;0.588956;85.000000;0.777070;151.377000;128.062151;89;208
22;M-11783-x40-06.tif;1352;714.247781;797.366864;32.068344;57.015866;1.245736;1.777949;0.562446;0.529536;89.000000;0.826834;145.481000;134.002219;76;200
23;M-11783-x40-06.tif;2283;746.081910;747.837933;34.038200;86.047654;1.379535;2.527973;0.395574;0.392589;86.000000;0.918434;198.941000;142.642138;100;197
24;M-11783-x40-06.tif;1343;753.116902;800.933730;38.068798;45.083995;0.982861;1.184277;0.844397;0.841282;27.000000;0.535718;128.792000;130.110201;78;225
25;M-11783-x40-06.tif;1902;770.756572;117.797581;42.200796;59.484149;1.205418;1.409550;0.709446;0.684413;152.000000;0.704760;169.738000;129.847529;58;189
26;M-11783-x40-06.tif;2480;810.291532;375.638710;51.539465;61.709768;1.020920;1.197330;0.835191;0.829190;44.000000;0.549959;178.372000;107.054839;25;202
27;M-11783-x40-06.tif;1477;888.357481;782.802979;33.538681;58.575646;1.347849;1.746510;0.572570;0.548096;100.000000;0.819856;158.167000;141.675694;106;198
28;M-11783-x40-06.tif;1280;894.607031;211.073438;40.964206;47.014422;1.698489;1.147695;0.871311;0.737323;258.000000;0.490730;165.288000;119.945313;32;198
29;M-11783-x40-06.tif;4292;917.985555;650.677540;74.004196;83.691987;1.910757;1.130909;0.884245;0.780193;910.000000;0.467024;321.024000;121.811510;49;219
30;M-11783-x40-06.tif;1066;919.181051;757.450281;27.937645;50.899891;1.257890;1.821911;0.548874;0.523882;76.000000;0.835905;129.809000;127.351782;73;209
31;M-11783-x40-06.tif;2629;948.238494;726.617725;36.087557;108.743181;2.132182;3.013315;0.331860;0.283072;639.000000;0.943329;265.407000;133.150628;86;207
32;M-11783-x40-06.tif;2811;945.901459;251.199573;53.271898;68.723527;1.152755;1.290052;0.775162;0.757810;116.000000;0.631762;201.792000;116.575240;43;186
33;M-11783-x40-06.tif;2775;992.007207;334.662703;50.935515;86.048861;2.211539;1.689369;0.591937;0.477181;793.000000;0.805984;277.705000;137.716757;80;192
34;M-11783-x40-06.tif;1191;981.161209;416.059614;33.532724;46.643518;1.164196;1.390985;0.718915;0.697010;76.000000;0.695098;132.000000;116.215785;67;211
35;M-11783-x40-06.tif;1084;1018.756458;209.227860;27.761124;50.287956;1.131682;1.811452;0.552043;0.545772;38.000000;0.833816;124.160000;126.383764;74;212
36;M-11783-x40-06.tif;1670;1023.839521;248.491018;40.054956;54.860563;1.130917;1.369632;0.730123;0.706490;40.000000;0.683316;154.056000;125.901198;80;203
37;M-11783-x40-06.tif;2541;1030.287682;300.107044;48.397308;67.034452;1.036730;1.385086;0.721977;0.719977;46.000000;0.691917;181.945000;139.232192;94;200
38;M-11783-x40-06.tif;2147;1076.156497;352.663717;44.763556;61.661078;1.128313;1.377484;0.725961;0.718985;95.000000;0.687736;174.476000;136.837448;92;200
39;M-11783-x40-06.tif;1703;1071.174398;235.940106;43.018882;50.942415;1.011831;1.184187;0.844461;0.835537;39.000000;0.535617;147.152000;123.072225;85;190
40;M-11783-x40-06.tif;2130;1087.350235;294.800939;47.542373;57.830311;1.052074;1.216395;0.822101;0.810921;71.000000;0.569341;167.810000;133.876995;100;189
41;M-11783-x40-06.tif;1186;1117.736088;222.159359;28.635398;53.572473;1.208706;1.870848;0.534517;0.526152;52.000000;0.845158;134.217000;119.218381;75;202
42;M-11783-x40-06.tif;1030;1143.846602;503.674757;31.421251;41.957974;0.999492;1.335337;0.748874;0.744935;28.000000;0.662712;113.740000;114.833010;52;211
43;M-11783-x40-06.tif;980;1156.444898;466.007143;32.688228;38.494409;1.077385;1.177623;0.849168;0.842056;38.000000;0.528123;115.187000;120.238776;74;211
44;M-11783-x40-06.tif;849;1162.485277;216.292108;23.348557;50.020647;1.357744;2.142344;0.466778;0.432035;95.000000;0.884374;120.356000;142.418139;91;194
45;M-11783-x40-06.tif;1250;1167.159200;271.460000;33.149258;51.895609;1.536829;1.565513;0.638768;0.590961;209.000000;0.769399;155.372000;122.993600;79;201
46;M-11783-x40-06.tif;381;1169.477690;760.288714;18.478616;27.832120;1.229433;1.506180;0.663931;0.626242;53.000000;0.747794;76.722000;145.727034;115;216
47;M-11783-x40-06.tif;1043;1198.964525;487.897411;28.494479;46.830022;1.059512;1.643477;0.608466;0.605544;26.000000;0.793580;117.842000;121.137105;74;214
48;M-11783-x40-06.tif;1358;1192.639175;326.287187;27.097694;65.819773;1.433022;2.428981;0.411695;0.399114;91.000000;0.911322;156.380000;147.796024;113;204
49;M-11783-x40-06.tif;827;1193.469166;373.263603;27.184708;39.679694;1.127520;1.459633;0.685104;0.668773;37.000000;0.728445;108.248000;139.914148;96;210
50;M-11783-x40-06.tif;593;1191.311973;713.472175;19.723221;43.169659;2.230781;2.188773;0.456877;0.405142;149.000000;0.889530;128.932000;156.079258;131;193
51;M-11783-x40-06.tif;785;1198.436943;756.559236;31.411682;36.960656;1.509893;1.176653;0.849868;0.731645;153.000000;0.526995;122.043000;153.644586;120;206
52;M-11783-x40-06.tif;2205;1218.673923;233.958277;38.962766;73.144913;1.265230;1.877303;0.532679;0.524748;166.000000;0.846317;187.238000;130.615873;82;186
53;M-11783-x40-06.tif;1197;1234.351713;277.786967;37.782969;40.723666;0.981906;1.077831;0.927789;0.918989;25.000000;0.373105;121.531000;124.162072;80;209
54;M-11783-x40-06.tif;2065;1270.689104;242.802906;46.830973;58.635805;1.139674;1.252073;0.798675;0.764723;167.000000;0.601762;171.971000;131.440194;89;208
