No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11783-x40-11.tif;1459;32.266621;463.004798;24.813484;81.207100;2.564446;3.272700;0.305558;0.281694;357.000000;0.952173;216.835000;0.477987;0;5.936892e-01
2;M-11783-x40-11.tif;1267;35.022099;383.059195;37.507122;47.874261;1.898554;1.276405;0.783451;0.703854;265.000000;0.621454;173.862000;0.488378;4.577351e-01;5.147190e-01
3;M-11783-x40-11.tif;542;58.988930;184.315498;22.096666;34.117842;1.490946;1.544027;0.647657;0.592852;83.000000;0.761932;100.771000;0.477219;0;5.686508e-01
4;M-11783-x40-11.tif;4256;97.275141;743.237547;53.910155;131.103728;3.587372;2.431893;0.411202;0.315269;1669.000000;0.911544;438.020000;0.572923;8.067471e-03;6.883557e-01
5;M-11783-x40-11.tif;865;124.839306;150.354913;26.902763;52.194509;2.114747;1.940117;0.515433;0.404275;254.000000;0.856930;151.615000;0.486738;0;5.518087e-01
6;M-11783-x40-11.tif;503;213.703777;35.234592;22.160944;31.101616;1.478416;1.403443;0.712534;0.662083;84.000000;0.701638;96.669000;0.484603;2.793590e-03;5.570539e-01
7;M-11783-x40-11.tif;744;216.385753;79.576613;25.928548;39.332729;1.522828;1.516966;0.659211;0.612315;104.000000;0.751958;119.321000;0.493335;5.506981e-03;5.625682e-01
8;M-11783-x40-11.tif;6582;283.830599;82.704345;72.163365;138.786926;4.074666;1.923232;0.519958;0.435082;2897.000000;0.854192;580.537000;0.520885;2.676649e-03;7.033244e-01
9;M-11783-x40-11.tif;498;272.578313;458.694779;19.456087;36.156739;1.507349;1.858377;0.538104;0.485021;93.000000;0.842878;97.124000;0.486936;0;5.383810e-01
10;M-11783-x40-11.tif;654;306.316514;467.400612;21.341177;49.398380;2.332644;2.314698;0.432022;0.341242;255.000000;0.901863;138.458000;0.483377;2.676649e-03;5.752606e-01
11;M-11783-x40-11.tif;1739;437.975273;659.216791;39.378561;58.797650;1.272426;1.493139;0.669730;0.640457;114.000000;0.742605;166.752000;0.604055;2.627761e-03;7.584133e-01
12;M-11783-x40-11.tif;608;489.876645;305.600329;24.423559;34.810605;1.497063;1.425288;0.701613;0.638838;111.000000;0.712559;106.949000;0.484311;4.662946e-01;5.143517e-01
13;M-11783-x40-11.tif;763;524.667104;245.090433;30.346563;35.138756;1.529692;1.157916;0.863621;0.786796;121.000000;0.504142;121.107000;0.491701;4.662946e-01;5.328762e-01
14;M-11783-x40-11.tif;1900;591.976842;573.686316;43.284945;66.971057;2.499490;1.547214;0.646323;0.539373;512.000000;0.763064;244.291000;0.545670;0;7.385807e-01
15;M-11783-x40-11.tif;2025;599.219753;325.885926;49.957047;61.283877;2.868185;1.226731;0.815174;0.686503;684.000000;0.579216;270.160000;0.580531;2.639815e-03;7.937995e-01
16;M-11783-x40-11.tif;5641;664.006736;769.809963;70.912522;160.682867;5.010285;2.265931;0.441320;0.278181;4325.000000;0.897350;595.956000;0.565150;0;9.101742e-01
17;M-11783-x40-11.tif;1960;644.230612;119.934694;33.377525;117.265017;5.445433;3.513293;0.284633;0.181480;1581.000000;0.958636;366.226000;0.517281;5.480758e-03;6.164670e-01
18;M-11783-x40-11.tif;2264;642.290194;446.229682;38.120346;79.525714;1.461817;2.086175;0.479346;0.455797;245.000000;0.877626;203.934000;0.618838;2.793590e-03;7.770095e-01
19;M-11783-x40-11.tif;2626;651.871287;519.240289;48.282579;71.763092;1.381012;1.486314;0.672805;0.649236;221.000000;0.739820;213.477000;0.559367;1.864980e-02;6.079348e-01
20;M-11783-x40-11.tif;5054;693.724377;627.031262;62.884376;146.985068;6.251648;2.337386;0.427828;0.297851;3191.000000;0.903860;630.115000;0.529834;2.676649e-03;6.955867e-01
21;M-11783-x40-11.tif;432;705.307870;752.625000;16.583969;39.806731;1.935326;2.400314;0.416612;0.347121;114.000000;0.909084;102.500000;0.495647;2.627761e-03;5.757047e-01
22;M-11783-x40-11.tif;3886;773.406073;267.621204;69.472908;97.015235;3.262879;1.396447;0.716103;0.525694;2089.000000;0.697995;399.169000;0.582053;3.330322e-02;7.604298e-01
23;M-11783-x40-11.tif;3300;777.287879;154.676364;46.589736;140.714814;5.504312;3.020296;0.331093;0.212200;2544.000000;0.943598;477.764000;0.551855;1.598554e-02;7.667898e-01
24;M-11783-x40-11.tif;1402;817.963623;247.382311;39.303088;47.403412;1.415055;1.206099;0.829119;0.794399;152.000000;0.559072;157.894000;0.631212;1.847870e-02;1
25;M-11783-x40-11.tif;3544;864.269470;220.979684;56.867678;84.727867;1.476629;1.489913;0.671180;0.628567;432.000000;0.741294;256.441000;0.640970;7.883282e-03;9.719280e-01
26;M-11783-x40-11.tif;2959;904.745860;740.778641;60.118753;70.581308;2.590876;1.174031;0.851766;0.756268;743.000000;0.523923;310.385000;0.544241;2.603980e-03;7.598480e-01
27;M-11783-x40-11.tif;406;886.923645;651.386700;22.646713;29.765864;2.367032;1.314357;0.760828;0.583444;148.000000;0.648953;109.893000;0.506697;3.410747e-01;5.701827e-01
28;M-11783-x40-11.tif;574;963.991289;24.677700;21.825518;36.252627;1.532957;1.661020;0.602040;0.556087;95.000000;0.798466;105.154000;0.501264;0;5.382295e-01
29;M-11783-x40-11.tif;5719;1032.650463;762.404092;77.237673;122.823718;5.231482;1.590205;0.628850;0.482687;3090.000000;0.777527;613.165000;0.503961;2.651980e-03;6.209539e-01
30;M-11783-x40-11.tif;344;1108.220930;647.409884;19.792736;22.973263;1.049878;1.160692;0.861555;0.829895;10.000000;0.507664;67.368000;0.507760;4.368893e-01;5.383301e-01
31;M-11783-x40-11.tif;930;1150.892473;647.546237;23.572730;62.409846;2.292022;2.647544;0.377709;0.304009;281.000000;0.925925;163.665000;0.491444;5.303959e-03;5.621583e-01
32;M-11783-x40-11.tif;773;1144.618370;515.605433;26.584562;38.399436;1.174978;1.444426;0.692316;0.667483;46.000000;0.721594;106.834000;0.612425;2.627761e-03;7.893583e-01
33;M-11783-x40-11.tif;2064;1206.660853;147.497093;32.964052;97.384536;2.196976;2.954265;0.338494;0.277102;477.000000;0.940969;238.711000;0.627060;4.850136e-01;9.303945e-01
34;M-11783-x40-11.tif;503;1236.421471;802.111332;25.382411;29.174520;1.422551;1.149399;0.870020;0.752438;82.000000;0.493017;94.825000;0.517792;8.221137e-03;6.539639e-01
35;M-11783-x40-11.tif;342;1321.833333;747.502924;18.402467;32.289144;2.106509;1.754609;0.569927;0.417660;124.000000;0.821695;95.148000;0.510811;8.143579e-03;5.812303e-01
36;M-11783-x40-11.tif;388;1385.917526;739.172680;19.011976;30.283995;1.988121;1.592890;0.627790;0.538661;83.000000;0.778383;98.456000;0.513716;4.705875e-01;5.674429e-01
37;M-11783-x40-11.tif;2071;1522.942540;436.290681;45.823094;69.115859;2.612995;1.508319;0.662990;0.551995;615.000000;0.748629;260.774000;0.517215;5.328515e-03;6.394273e-01
38;M-11783-x40-11.tif;347;1523.020173;379.590778;17.164079;27.397657;1.271608;1.596221;0.626480;0.588590;35.000000;0.779438;74.464000;0.486420;1.106691e-02;5.624108e-01
39;M-11783-x40-11.tif;410;1572.324390;718.075610;17.436478;31.451430;1.356854;1.803772;0.554394;0.527732;47.000000;0.832254;83.611000;0.489297;2.639815e-03;5.797004e-01
