No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11804-x40-10.tif;2656;186.148720;383.675075;50.104762;68.969289;1.214243;1.376502;0.726479;0.710930;189.000000;0.687188;201.313000;55.074925;5;100
2;M-11804-x40-10.tif;3282;234.970750;452.120658;61.476063;68.553655;1.085735;1.115128;0.896758;0.889175;101.000000;0.442521;211.610000;58.702316;28;100
3;M-11804-x40-10.tif;2323;270.849333;116.357727;44.214574;74.254880;1.843972;1.679421;0.595443;0.536425;357.000000;0.803397;232.010000;72.194576;26;100
4;M-11804-x40-10.tif;1257;255.063644;378.489260;31.038013;60.716138;2.034240;1.956186;0.511199;0.434147;375.000000;0.859463;179.256000;78.214797;45;100
5;M-11804-x40-10.tif;919;261.884657;487.413493;33.126292;38.044176;1.184174;1.148459;0.870732;0.808443;71.000000;0.491757;116.942000;59.968444;21;100
6;M-11804-x40-10.tif;2519;299.570861;463.885272;52.244067;63.103495;1.356177;1.207860;0.827911;0.805437;291.000000;0.560860;207.194000;62.182612;24;100
7;M-11804-x40-10.tif;351;282.162393;256.441595;14.490853;38.104522;1.818044;2.629557;0.380292;0.307797;106.000000;0.924866;89.549000;75.492877;50;100
8;M-11804-x40-10.tif;1730;342.278035;437.691329;45.177079;49.429490;1.076878;1.094128;0.913970;0.901538;99.000000;0.405781;153.007000;63.317341;32;100
9;M-11804-x40-10.tif;850;359.201176;145.142353;15.704916;77.454935;2.859696;4.931891;0.202762;0.180398;212.000000;0.979228;174.773000;65.078824;2;100
10;M-11804-x40-10.tif;2902;454.811509;68.022743;49.696254;75.590285;1.350898;1.521046;0.657442;0.646659;189.000000;0.753505;221.955000;52.864576;16;100
11;M-11804-x40-10.tif;4284;555.461951;354.320962;62.662630;87.764261;1.115796;1.400584;0.713988;0.708148;105.000000;0.700158;245.088000;57.158030;24;100
12;M-11804-x40-10.tif;5029;593.490555;88.918871;71.044451;90.309047;1.070687;1.271163;0.786681;0.785108;118.000000;0.617359;260.122000;63.926824;27;100
13;M-11804-x40-10.tif;3674;603.547088;397.782798;66.035818;71.196536;1.027974;1.078150;0.927514;0.922851;86.000000;0.373787;217.854000;50.716113;24;100
14;M-11804-x40-10.tif;328;687.469512;812.246951;15.911132;39.080589;2.547325;2.456179;0.407136;0.273440;136.000000;0.913367;102.467000;72.878049;33;100
15;M-11804-x40-10.tif;2888;717.787742;355.731302;50.038735;74.334062;1.088710;1.485530;0.673160;0.665475;99.000000;0.739497;198.774000;54.934211;23;100
16;M-11804-x40-10.tif;2926;781.566302;383.515038;50.093135;76.346401;1.325682;1.524089;0.656130;0.639157;167.000000;0.754648;220.781000;59.839713;9;100
17;M-11804-x40-10.tif;2334;806.131534;619.131534;47.448254;63.750611;1.130625;1.343582;0.744279;0.731210;119.000000;0.667869;182.102000;56.042845;16;100
18;M-11804-x40-10.tif;3276;823.388278;440.975885;53.318943;78.858877;1.136284;1.479003;0.676131;0.670738;95.000000;0.736781;216.282000;60.512210;19;100
19;M-11804-x40-10.tif;3277;817.174550;565.170888;60.119275;70.100995;1.207211;1.166032;0.857609;0.849060;165.000000;0.514302;222.964000;58.916692;19;100
20;M-11804-x40-10.tif;3243;861.490595;392.774283;50.457658;83.286557;1.243695;1.650623;0.605832;0.595261;137.000000;0.795593;225.131000;60.041936;15;100
21;M-11804-x40-10.tif;3481;886.870152;612.793737;64.405544;69.433660;1.067331;1.078070;0.927584;0.919335;110.000000;0.373615;216.076000;59.627980;23;100
22;M-11804-x40-10.tif;754;911.835544;526.281167;23.432647;43.202282;1.224444;1.843679;0.542394;0.514361;37.000000;0.840124;107.711000;53.156499;13;100
23;M-11804-x40-10.tif;1945;929.499743;581.921337;34.909345;74.011865;1.361807;2.120116;0.471672;0.452092;164.000000;0.881774;182.441000;52.668895;0;100
24;M-11804-x40-10.tif;2944;959.132813;543.969090;45.657068;85.140595;1.312759;1.864785;0.536255;0.517100;234.000000;0.844056;220.377000;54.674592;5;100
25;M-11804-x40-10.tif;3376;1019.734893;564.517773;59.141153;75.606606;1.272819;1.278409;0.782222;0.751957;237.000000;0.623000;232.375000;61.842713;20;100
26;M-11804-x40-10.tif;4565;1047.907558;472.248850;71.483624;82.462184;1.256241;1.153581;0.866866;0.854754;238.000000;0.498542;268.449000;59.395181;28;100
27;M-11804-x40-10.tif;6927;1048.815793;383.500217;78.621928;113.454639;1.342223;1.443041;0.692981;0.685190;354.000000;0.720956;341.814000;62.656273;19;100
28;M-11804-x40-10.tif;6955;1113.353702;547.042847;83.212632;113.192047;1.589347;1.360275;0.735146;0.691155;771.000000;0.677909;372.703000;60.198275;22;100
29;M-11804-x40-10.tif;2344;1114.356655;458.847696;43.825646;72.382773;1.462412;1.651608;0.605471;0.569636;287.000000;0.795868;207.548000;56.555034;24;100
30;M-11804-x40-10.tif;2603;1124.895889;418.970803;47.459845;73.202116;1.356766;1.542401;0.648340;0.618496;261.000000;0.761351;210.666000;51.045716;13;100
31;M-11804-x40-10.tif;1175;1128.867234;114.152340;35.314213;45.247223;1.461052;1.281275;0.780472;0.730742;173.000000;0.625190;146.878000;62.352340;4;100
32;M-11804-x40-10.tif;1923;1177.603224;466.855954;49.821797;51.900867;1.332772;1.041730;0.959942;0.908950;182.000000;0.280200;179.462000;55.024441;17;100
33;M-11804-x40-10.tif;3478;1213.906268;540.601495;62.588282;73.699925;1.482122;1.177536;0.849231;0.815278;380.000000;0.528021;254.514000;64.333237;12;100
34;M-11804-x40-10.tif;873;1286.644903;330.837342;28.385581;39.377299;1.019555;1.387229;0.720862;0.716857;21.000000;0.693079;105.759000;59.059565;6;100
35;M-11804-x40-10.tif;2964;1309.502362;133.052294;46.676803;81.719485;1.243625;1.750752;0.571183;0.565115;152.000000;0.820823;215.223000;64.174089;27;100
36;M-11804-x40-10.tif;1122;1419.024955;121.127451;32.493128;44.816738;1.155376;1.379268;0.725022;0.711250;64.000000;0.688726;127.633000;56.278966;18;100
37;M-11804-x40-10.tif;1163;1427.229579;153.467756;37.595661;41.995965;1.266228;1.117043;0.895221;0.839604;109.000000;0.445623;136.035000;65.021496;26;100
