No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11804-x40-10.tif;2147;177.990219;387.931998;44.691154;62.409565;1.198916;1.396464;0.716095;0.701843;87.000000;0.698003;179.852000;85.852352;36;100
2;M-11804-x40-10.tif;2800;196.756071;218.317857;54.210360;67.743070;1.552180;1.249633;0.800235;0.776852;270.000000;0.599687;233.698000;92.310357;72;100
3;M-11804-x40-10.tif;1768;213.079751;316.747738;38.128979;60.371318;1.222915;1.583345;0.631574;0.617634;128.000000;0.775315;164.833000;84.268665;31;100
4;M-11804-x40-10.tif;3362;233.887864;455.470851;63.688726;68.215649;1.497804;1.071079;0.933638;0.919898;242.000000;0.358218;251.554000;87.107674;14;100
5;M-11804-x40-10.tif;1722;248.558072;312.597561;42.171974;54.568172;1.389505;1.293944;0.772831;0.736316;161.000000;0.634612;173.401000;91.740418;61;100
6;M-11804-x40-10.tif;2997;269.790457;370.738405;60.311770;64.915697;1.628576;1.076335;0.929078;0.905519;260.000000;0.369883;247.658000;91.190524;50;100
7;M-11804-x40-10.tif;2976;277.776210;120.981519;49.633483;86.514315;1.941264;1.743064;0.573703;0.506252;667.000000;0.819064;269.441000;89.071909;44;100
8;M-11804-x40-10.tif;3298;294.738326;475.188296;44.471903;100.606268;2.027529;2.262243;0.442039;0.414869;592.000000;0.896996;289.877000;88.749848;56;100
9;M-11804-x40-10.tif;2261;275.380805;234.237063;46.170865;66.095833;1.844908;1.431549;0.698544;0.658965;306.000000;0.715567;228.951000;90.608138;44;100
10;M-11804-x40-10.tif;1100;304.915455;408.401818;36.357782;42.657374;2.448451;1.173267;0.852321;0.769688;230.000000;0.523019;183.970000;95.466364;75;100
11;M-11804-x40-10.tif;2360;326.939407;282.525424;41.200281;76.226350;1.491073;1.850142;0.540499;0.517144;199.000000;0.841345;210.286000;83.169492;8;100
12;M-11804-x40-10.tif;925;367.561081;149.317838;19.444741;71.065860;2.812256;3.654760;0.273616;0.233201;295.000000;0.961839;180.802000;85.381622;17;100
13;M-11804-x40-10.tif;1123;351.657168;441.837044;31.408102;47.109818;1.453732;1.499926;0.666700;0.644269;101.000000;0.745326;143.231000;85.795191;47;100
14;M-11804-x40-10.tif;2724;416.858297;33.650514;51.069307;70.599030;1.307303;1.382416;0.723371;0.695857;210.000000;0.690459;211.542000;85.868943;42;100
15;M-11804-x40-10.tif;2750;458.275273;70.309818;48.518220;72.852656;1.214724;1.501553;0.665977;0.659708;144.000000;0.745972;204.885000;87.020727;31;100
16;M-11804-x40-10.tif;4212;598.421178;90.453704;63.680719;90.076141;3.194910;1.414496;0.706965;0.660966;656.000000;0.707248;411.224000;93.323124;72;100
17;M-11804-x40-10.tif;2676;722.276906;355.656203;48.102279;74.938523;1.362048;1.557900;0.641890;0.606717;260.000000;0.766797;214.015000;92.032511;58;100
18;M-11804-x40-10.tif;2573;784.324135;379.174116;49.879868;68.096765;1.611594;1.365215;0.732485;0.706475;330.000000;0.680783;228.272000;91.203265;44;100
19;M-11804-x40-10.tif;2179;805.652593;616.737035;44.609720;64.916832;1.641688;1.455217;0.687183;0.658344;251.000000;0.726485;212.021000;90.814594;67;100
20;M-11804-x40-10.tif;3295;816.508042;563.259484;60.922856;69.474416;1.235501;1.140367;0.876911;0.869192;212.000000;0.480653;226.180000;89.802124;64;100
21;M-11804-x40-10.tif;2700;823.093333;443.686667;48.574128;71.940424;1.493908;1.481044;0.675199;0.664244;182.000000;0.737635;225.138000;93.346296;69;100
22;M-11804-x40-10.tif;3076;863.092003;388.267880;47.096438;84.241713;1.500101;1.788707;0.559063;0.551877;236.000000;0.829125;240.801000;93.448309;67;100
23;M-11804-x40-10.tif;1680;882.470238;746.259524;36.431376;61.346682;1.873390;1.683897;0.593861;0.568378;183.000000;0.804568;198.872000;92.323810;58;100
24;M-11804-x40-10.tif;2945;893.479796;613.777929;56.821713;67.528405;1.544745;1.188426;0.841449;0.822285;247.000000;0.540336;239.098000;92.593548;67;100
25;M-11804-x40-10.tif;1055;933.198104;588.966825;25.236736;58.598112;1.687727;2.321937;0.430675;0.391197;189.000000;0.902507;149.583000;95.072038;69;100
26;M-11804-x40-10.tif;1455;951.537457;532.820619;33.944866;57.630585;1.545036;1.697770;0.589008;0.557785;165.000000;0.808127;168.076000;93.175258;69;100
27;M-11804-x40-10.tif;3811;1010.204408;561.441092;64.083321;80.840832;2.436244;1.261496;0.792710;0.742485;595.000000;0.609599;341.574000;93.701128;56;100
28;M-11804-x40-10.tif;5681;1048.769935;389.735786;69.052667;106.796167;1.583885;1.546590;0.646584;0.634196;458.000000;0.762843;336.263000;94.419116;72;100
29;M-11804-x40-10.tif;3796;1051.088514;468.494204;63.701837;79.323784;1.694538;1.245235;0.803061;0.768121;358.000000;0.595897;284.311000;93.109326;72;100
30;M-11804-x40-10.tif;5486;1110.423259;544.142909;74.662141;98.553874;1.950695;1.319998;0.757577;0.719148;732.000000;0.652746;366.714000;94.551404;61;100
31;M-11804-x40-10.tif;4566;1118.530223;437.993211;73.041791;85.824542;2.091414;1.175006;0.851059;0.789265;659.000000;0.525069;346.412000;93.025405;64;100
32;M-11804-x40-10.tif;1157;1127.062230;116.800346;36.516975;45.769446;1.651161;1.253375;0.797846;0.703222;220.000000;0.602861;154.941000;91.157303;44;100
33;M-11804-x40-10.tif;1979;1174.701870;464.918140;48.639490;55.125987;1.293630;1.133359;0.882333;0.829169;185.000000;0.470625;179.363000;90.555331;58;100
34;M-11804-x40-10.tif;3420;1217.059357;539.350292;61.135672;72.650397;1.428092;1.188347;0.841505;0.825012;257.000000;0.540249;247.740000;90.642105;58;100
35;M-11804-x40-10.tif;1010;1284.355446;331.191089;29.911290;43.289098;1.100416;1.447249;0.690966;0.686237;48.000000;0.722887;118.180000;85.237624;19;100
36;M-11804-x40-10.tif;3203;1306.122385;134.204496;49.699037;83.575752;1.340227;1.681637;0.594659;0.583857;221.000000;0.803978;232.259000;88.352482;58;100
37;M-11804-x40-10.tif;2480;1420.522984;139.135081;42.467903;78.689005;1.401099;1.852905;0.539693;0.509957;285.000000;0.841862;208.961000;86.547581;25;100
38;M-11804-x40-10.tif;1067;1468.439550;159.432990;30.406775;45.755595;1.200013;1.504783;0.664548;0.648912;81.000000;0.747246;126.847000;86.777882;56;100
39;M-11804-x40-10.tif;4165;1507.945738;754.329652;54.747474;98.951222;1.379772;1.807412;0.553277;0.541605;248.000000;0.832997;268.730000;85.324610;47;100
40;M-11804-x40-10.tif;2428;1513.454283;161.158155;48.098896;66.557907;1.576457;1.383772;0.722662;0.697846;256.000000;0.691201;219.316000;86.946046;50;100
41;M-11804-x40-10.tif;381;1547.664042;193.296588;16.311141;33.036106;1.396437;2.025371;0.493737;0.444485;46.000000;0.869611;81.767000;87.089239;47;100
