No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11804-x40-10.tif;3066;185.631768;383.338878;51.605480;77.546652;1.268462;1.502683;0.665477;0.649167;275.000000;0.746419;221.070000;163.264840;126;186
2;M-11804-x40-10.tif;3024;271.914683;117.982143;49.626505;82.347557;1.561216;1.659346;0.602647;0.567794;428.000000;0.798008;243.572000;157.866071;127;178
3;M-11804-x40-10.tif;1034;361.293037;146.246615;17.769159;80.965906;2.583682;4.556541;0.219465;0.200829;222.000000;0.975620;183.225000;158.092843;128;186
4;M-11804-x40-10.tif;2933;457.065462;68.441186;51.137883;73.927082;1.121435;1.445642;0.691734;0.683306;114.000000;0.722152;203.305000;164.877259;129;184
5;M-11804-x40-10.tif;4215;599.724792;398.033689;67.807387;83.569081;1.588792;1.232448;0.811393;0.768451;620.000000;0.584501;290.093000;164.615421;131;178
6;M-11804-x40-10.tif;3080;718.133766;356.179870;51.668646;76.462337;1.169354;1.479860;0.675740;0.670758;147.000000;0.737140;212.742000;163.876299;129;179
7;M-11804-x40-10.tif;3401;780.702440;383.435754;53.769619;83.592807;1.544277;1.554648;0.643233;0.619696;396.000000;0.765671;256.904000;161.356954;131;180
8;M-11804-x40-10.tif;2483;806.226339;619.824809;48.991478;65.203635;1.108037;1.330918;0.751361;0.743607;132.000000;0.659891;185.939000;163.053161;137;183
9;M-11804-x40-10.tif;3802;817.622041;562.137822;63.667267;76.854068;1.096903;1.207121;0.828418;0.819575;138.000000;0.560111;228.926000;162.689637;136;180
10;M-11804-x40-10.tif;4055;862.475462;391.714673;54.547762;98.307037;1.865024;1.802219;0.554871;0.534234;633.000000;0.831936;308.278000;160.181258;130;185
11;M-11804-x40-10.tif;388;882.435567;541.466495;20.111170;28.532843;1.762759;1.418756;0.704843;0.606809;92.000000;0.709364;92.708000;156.590206;133;180
12;M-11804-x40-10.tif;864;911.650463;526.165509;25.022989;46.618959;1.320991;1.863045;0.536756;0.506173;55.000000;0.843738;119.760000;161.856481;130;181
13;M-11804-x40-10.tif;3813;1017.843693;563.676370;64.701535;76.065925;1.120696;1.175643;0.850598;0.839067;115.000000;0.525816;231.730000;162.567270;138;176
14;M-11804-x40-10.tif;1371;1127.768782;115.347921;42.232773;44.592183;1.285527;1.055867;0.947089;0.877870;162.000000;0.320971;148.821000;160.067104;138;183
15;M-11804-x40-10.tif;2315;1175.815551;467.070410;52.038570;62.601679;1.757355;1.202986;0.831265;0.752123;420.000000;0.555877;226.105000;161.295032;131;183
16;M-11804-x40-10.tif;589;1243.930390;557.275042;15.532219;71.896690;3.037009;4.628874;0.216035;0.145080;347.000000;0.976386;149.929000;144.860781;127;160
17;M-11804-x40-10.tif;1177;1289.514868;333.785047;30.086027;55.808908;1.645009;1.854978;0.539090;0.481149;213.000000;0.842248;155.983000;156.495327;127;184
18;M-11804-x40-10.tif;3485;1309.401722;134.838164;52.714895;85.194423;1.241183;1.616136;0.618760;0.611351;164.000000;0.785580;233.144000;160.032425;128;176
19;M-11804-x40-10.tif;4605;1512.211944;753.976982;60.168013;99.117992;1.250865;1.647354;0.607034;0.596808;290.000000;0.794676;269.045000;159.320738;121;179
20;M-11804-x40-10.tif;765;1548.717647;183.807843;20.437378;52.743133;1.986585;2.580719;0.387489;0.350138;192.000000;0.921874;138.194000;145.966013;126;165
