No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11806-x40-02.tif;868;25.262673;160.290323;33.932007;49.501700;2.541093;1.458850;0.685472;0.451014;394.000000;0.728099;166.485000;0.305204;0;9.166667e-01
2;M-11806-x40-02.tif;333;24.426426;335.768769;14.810738;34.750249;1.915932;2.346288;0.426205;0.351106;98.000000;0.904627;89.540000;0.409159;0;9.166667e-01
3;M-11806-x40-02.tif;2826;125.066171;241.388535;46.972091;107.615936;3.763257;2.291061;0.436479;0.310691;1153.000000;0.899714;365.572000;0.533407;0;9.583333e-01
4;M-11806-x40-02.tif;1558;120.399872;130.647625;36.351222;68.518649;2.344642;1.884906;0.530530;0.422532;532.000000;0.847666;214.253000;0.324330;0;9.166667e-01
5;M-11806-x40-02.tif;485;117.905155;816.946392;17.933417;39.572291;1.759029;2.206623;0.453181;0.394339;102.000000;0.891418;103.541000;0.563485;0;9.722222e-01
6;M-11806-x40-02.tif;788;139.046954;72.756345;25.418562;48.076763;2.167282;1.891404;0.528708;0.434076;234.000000;0.848804;146.496000;0.537225;0;9.166667e-01
7;M-11806-x40-02.tif;819;147.923077;520.768010;31.744500;34.837072;1.574821;1.097421;0.911228;0.859233;138.000000;0.411903;127.310000;0.523311;0;9.722222e-01
8;M-11806-x40-02.tif;2798;198.646533;42.538956;55.385005;108.915773;7.575333;1.966521;0.508512;0.300314;2276.000000;0.861055;516.095000;0.496039;0;9.166667e-01
9;M-11806-x40-02.tif;302;162.158940;289.079470;14.445008;28.124955;1.455245;1.947036;0.513601;0.486109;33.000000;0.858029;74.315000;0.292770;0;9.166667e-01
10;M-11806-x40-02.tif;1121;204.483497;781.561998;34.076040;58.796953;2.691791;1.725463;0.579555;0.412863;484.000000;0.814933;194.728000;0.548935;0;9.791667e-01
11;M-11806-x40-02.tif;839;202.915375;746.214541;27.041486;47.973713;2.223316;1.774078;0.563673;0.464158;241.000000;0.825998;153.104000;0.369123;0;9.583333e-01
12;M-11806-x40-02.tif;5635;245.394499;120.738953;79.648624;156.646586;9.849867;1.966721;0.508461;0.292390;5535.000000;0.861085;835.155000;0.521202;0;9.166667e-01
13;M-11806-x40-02.tif;893;231.391937;193.126540;23.633956;64.663347;2.724020;2.736036;0.365492;0.271923;371.000000;0.930814;174.838000;0.358560;0;9.444444e-01
