No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11806-x40-11.tif;2297;492.060949;648.754027;49.478613;61.491672;1.766727;1.242793;0.804639;0.773461;297.000000;0.593764;225.824000;0.630341;5.411765e-01;7.568627e-01
2;M-11806-x40-11.tif;4073;601.966855;296.704886;71.421715;73.890921;1.380630;1.034572;0.966583;0.949822;292.000000;0.256354;265.828000;0.591843;5.137255e-01;7.254902e-01
3;M-11806-x40-11.tif;1572;634.840967;246.611323;30.008995;68.530762;1.471260;2.283674;0.437891;0.426178;118.000000;0.899028;170.481000;0.574749;4.588235e-01;7.254902e-01
4;M-11806-x40-11.tif;1676;734.169451;553.696301;32.806793;65.858074;1.191450;2.007452;0.498144;0.492001;64.000000;0.867094;158.409000;0.557974;4.196078e-01;7.843137e-01
5;M-11806-x40-11.tif;5941;789.424844;494.985861;66.577734;127.153158;2.236516;1.909845;0.523603;0.467859;1150.000000;0.851963;408.621000;0.604331;4.274510e-01;8.470588e-01
6;M-11806-x40-11.tif;2542;802.237608;688.145948;50.808269;63.914594;1.141239;1.257957;0.794940;0.792293;110.000000;0.606688;190.933000;0.621606;5.568627e-01;7.294118e-01
7;M-11806-x40-11.tif;2294;842.773758;32.196600;49.484135;59.434992;1.150744;1.201092;0.832576;0.826835;97.000000;0.553911;182.134000;0.594641;4.823529e-01;7.411765e-01
8;M-11806-x40-11.tif;1822;854.377058;755.442920;40.871127;58.158707;1.273335;1.422978;0.702752;0.685850;114.000000;0.711435;170.746000;0.592749;4.156863e-01;8.352941e-01
9;M-11806-x40-11.tif;2116;933.953686;478.897921;48.507362;56.604659;1.074642;1.166929;0.856950;0.840856;76.000000;0.515400;169.042000;0.618301;5.176471e-01;8.156863e-01
10;M-11806-x40-11.tif;2144;937.536381;545.801772;48.217889;57.956363;1.158342;1.201968;0.831969;0.812704;134.000000;0.554822;176.659000;0.614148;4.666667e-01;7.921569e-01
11;M-11806-x40-11.tif;6615;1034.369010;462.801361;67.601567;137.219414;1.697920;2.029826;0.492653;0.447310;843.000000;0.870226;375.689000;0.605864;4.745098e-01;8.117647e-01
12;M-11806-x40-11.tif;2608;1019.160276;281.493098;51.303799;65.843957;1.289982;1.283413;0.779172;0.765924;143.000000;0.626810;205.613000;0.631124;5.137255e-01;7.372549e-01
13;M-11806-x40-11.tif;5079;1083.830282;287.571569;54.751759;133.693211;1.887823;2.441807;0.409533;0.361801;902.000000;0.912295;347.116000;0.632247;5.254902e-01;8.117647e-01
14;M-11806-x40-11.tif;5823;1096.098575;390.580800;60.890293;132.419920;1.705820;2.174730;0.459827;0.422815;772.000000;0.888008;353.301000;0.641499;5.294118e-01;7.921569e-01
15;M-11806-x40-11.tif;2710;1153.878967;348.412177;48.222921;72.585461;1.164098;1.505207;0.664361;0.654908;140.000000;0.747412;199.106000;0.641763;5.254902e-01;7.882353e-01
16;M-11806-x40-11.tif;4720;1210.787288;401.013347;63.790984;104.182968;1.723008;1.633193;0.612298;0.553680;904.000000;0.790627;319.683000;0.614100;4.980392e-01;7.803922e-01
17;M-11806-x40-11.tif;1845;1321.912195;237.218428;45.682166;56.855957;2.268398;1.244599;0.803472;0.726699;296.000000;0.595343;229.331000;0.624873;5.294118e-01;7.843137e-01
