No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11806-x40-11.tif;636;441.238994;578.580189;23.831006;34.292816;1.032312;1.439000;0.694927;0.688590;22.000000;0.719080;90.832000;102.448113;78;184
2;M-11806-x40-11.tif;3051;462.389381;441.661422;47.718443;82.378291;1.306866;1.726341;0.579260;0.572436;210.000000;0.815143;223.842000;93.890200;13;176
3;M-11806-x40-11.tif;6510;480.705530;515.297696;82.450078;104.300099;1.486067;1.265009;0.790508;0.761942;665.000000;0.612452;348.670000;70.246083;13;159
4;M-11806-x40-11.tif;4385;492.586773;640.832155;63.218327;89.902725;1.173508;1.422099;0.703186;0.690771;185.000000;0.711006;254.292000;89.691676;40;146
5;M-11806-x40-11.tif;5032;511.727345;273.712242;70.572039;94.412587;1.371213;1.337819;0.747485;0.718772;517.000000;0.664278;294.461000;68.857512;18;147
6;M-11806-x40-11.tif;4166;543.470715;423.387662;60.096518;94.178125;1.535102;1.567114;0.638115;0.598039;499.000000;0.769941;283.487000;100.975996;23;163
7;M-11806-x40-11.tif;4867;553.357921;511.304500;73.112864;86.499278;1.088104;1.183092;0.845242;0.828222;90.000000;0.534383;257.971000;78.479762;18;164
8;M-11806-x40-11.tif;2369;560.936682;235.999156;48.546250;63.805358;1.182426;1.314321;0.760849;0.740902;180.000000;0.648929;187.618000;76.405234;25;160
9;M-11806-x40-11.tif;4828;604.850249;296.696355;75.851537;82.785976;1.494243;1.091421;0.916237;0.896941;360.000000;0.400638;301.092000;82.874896;14;196
10;M-11806-x40-11.tif;2943;599.084947;443.058784;61.272685;62.117569;1.259632;1.013789;0.986399;0.971117;194.000000;0.164371;215.835000;66.158342;10;166
11;M-11806-x40-11.tif;1729;632.082128;246.123771;32.496304;71.104317;1.448103;2.188074;0.457023;0.435425;157.000000;0.889455;177.379000;77.652400;12;191
12;M-11806-x40-11.tif;4455;677.118743;486.653423;59.381504;97.204593;1.202263;1.636951;0.610892;0.600322;215.000000;0.791714;259.435000;70.742088;4;197
13;M-11806-x40-11.tif;2129;663.579145;629.623767;32.967354;85.275510;1.420390;2.586665;0.386598;0.372767;97.000000;0.922248;194.938000;96.493659;44;166
14;M-11806-x40-11.tif;2093;732.883421;554.460105;35.908795;75.380594;1.238603;2.099224;0.476367;0.468986;67.000000;0.879247;180.491000;70.996178;18;171
15;M-11806-x40-11.tif;1706;757.350528;232.341735;38.848054;70.242928;2.058307;1.808145;0.553053;0.440234;633.000000;0.833146;210.063000;148.905627;52;190
16;M-11806-x40-11.tif;1397;756.345025;529.662849;29.212371;63.155262;1.322369;2.161936;0.462548;0.445951;59.000000;0.886594;152.363000;69.720830;11;205
17;M-11806-x40-11.tif;5156;797.832816;487.438130;71.879503;93.669464;1.328030;1.303146;0.767374;0.748216;416.000000;0.641200;293.336000;73.169511;1;164
18;M-11806-x40-11.tif;5440;806.525551;682.940993;77.018925;90.665321;1.075405;1.177182;0.849486;0.842610;161.000000;0.527611;271.138000;90.403309;47;154
19;M-11806-x40-11.tif;426;803.762911;263.481221;12.713284;45.651906;1.865327;3.590882;0.278483;0.260257;47.000000;0.960441;99.928000;140.673709;104;177
20;M-11806-x40-11.tif;2374;859.350463;216.879528;51.427519;81.093826;2.102222;1.576857;0.634173;0.459637;952.000000;0.773191;250.429000;149.930497;43;174
21;M-11806-x40-11.tif;968;845.080579;266.475207;32.023015;43.018218;1.739123;1.343353;0.744406;0.666010;213.000000;0.667727;145.448000;141.794421;58;176
22;M-11806-x40-11.tif;3505;852.998859;752.217404;49.775973;92.523866;1.411211;1.858806;0.537980;0.521303;346.000000;0.842958;249.313000;84.185164;26;157
23;M-11806-x40-11.tif;1738;863.570771;355.402762;49.368346;53.214898;2.763833;1.077915;0.927717;0.781436;456.000000;0.373285;245.689000;113.807825;32;203
24;M-11806-x40-11.tif;748;889.383690;764.985294;27.052559;36.014501;1.117925;1.331279;0.751157;0.734272;57.000000;0.660123;102.509000;67.169786;15;201
25;M-11806-x40-11.tif;3606;937.330837;552.282307;67.450941;68.854543;1.135814;1.020809;0.979615;0.968435;164.000000;0.200884;226.867000;80.458957;16;172
26;M-11806-x40-11.tif;2390;932.548117;479.809205;51.125644;60.274864;1.007167;1.178956;0.848208;0.837598;44.000000;0.529663;173.922000;67.309623;5;173
27;M-11806-x40-11.tif;4796;1021.338407;489.578399;69.651994;90.547872;1.386146;1.300004;0.769228;0.744788;394.000000;0.638974;289.034000;69.020434;14;165
