No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11811a-x40-03.tif;4446;276.461988;518.778003;67.963673;84.895945;1.192220;1.249137;0.800553;0.785427;225.000000;0.599262;258.088000;0.305947;1.162159e-01;7.873027e-01
2;M-11811a-x40-03.tif;3947;332.272865;549.658221;58.093742;91.107166;1.615731;1.568278;0.637642;0.605441;681.000000;0.770333;283.089000;0.360138;1.714339e-01;7.417420e-01
3;M-11811a-x40-03.tif;3724;389.219119;542.470462;68.241904;72.071356;1.169611;1.056116;0.946866;0.912839;217.000000;0.321629;233.954000;0.347723;1.886082e-01;7.670217e-01
4;M-11811a-x40-03.tif;2381;391.050819;704.897522;46.588549;67.021705;1.202558;1.438588;0.695126;0.674899;174.000000;0.718888;189.687000;0.301964;1.582869e-01;1.160049e+00
5;M-11811a-x40-03.tif;4126;409.353369;659.550897;63.075982;88.939485;1.526389;1.410037;0.709201;0.664125;456.000000;0.705006;281.321000;0.329071;1.528689e-01;7.667091e-01
6;M-11811a-x40-03.tif;4706;403.566723;380.839354;71.843520;87.428986;1.233162;1.216936;0.821736;0.783883;354.000000;0.569869;270.048000;0.364017;2.045016e-01;8.002727e-01
7;M-11811a-x40-03.tif;2816;402.432528;591.876420;46.108763;81.031361;1.477561;1.757396;0.569024;0.546055;313.000000;0.822321;228.662000;0.328192;1.471776e-01;9.141294e-01
8;M-11811a-x40-03.tif;2218;393.243463;302.848061;41.424428;69.366934;1.236996;1.674542;0.597178;0.586903;130.000000;0.802109;185.682000;0.354977;1.678982e-01;1.002712e+00
9;M-11811a-x40-03.tif;4282;412.458431;130.846333;60.549866;91.628024;1.220418;1.513266;0.660823;0.649382;209.000000;0.750542;256.261000;0.302301;1.754564e-01;9.120235e-01
10;M-11811a-x40-03.tif;5426;429.792112;451.281607;73.100286;94.903425;1.097070;1.298263;0.770260;0.767054;165.000000;0.637730;273.503000;0.301821;1.521446e-01;7.591966e-01
11;M-11811a-x40-03.tif;4699;478.226218;618.078740;62.409538;97.316509;1.286891;1.559321;0.641305;0.631746;315.000000;0.767286;275.663000;0.373332;1.238056e-01;7.537290e-01
12;M-11811a-x40-03.tif;5311;504.382790;360.689701;69.233793;103.622979;1.410940;1.496711;0.668132;0.629759;645.000000;0.744043;306.865000;0.367587;1.912941e-01;6.551419e-01
13;M-11811a-x40-03.tif;4142;505.220908;686.082810;70.167956;76.071172;1.063811;1.084130;0.922399;0.911339;79.000000;0.386239;235.311000;0.333346;1.396917e-01;7.514647e-01
14;M-11811a-x40-03.tif;4170;511.502878;543.792326;68.485168;78.112886;1.101711;1.140581;0.876746;0.870163;151.000000;0.480954;240.274000;0.283843;1.453206e-01;7.391942e-01
15;M-11811a-x40-03.tif;4503;538.930713;432.081945;72.206858;80.334328;1.219305;1.112558;0.898829;0.888402;189.000000;0.438299;262.671000;0.385453;2.217399e-01;6.378100e-01
16;M-11811a-x40-03.tif;3550;554.416056;596.986197;66.680357;68.736634;1.058876;1.030838;0.970085;0.956670;129.000000;0.242767;217.341000;0.334163;1.713837e-01;8.817632e-01
17;M-11811a-x40-03.tif;3168;567.651199;335.383523;57.634535;73.518573;1.478662;1.275599;0.783945;0.746279;400.000000;0.620830;242.623000;0.428263;2.178435e-01;6.999925e-01
18;M-11811a-x40-03.tif;3346;567.209504;688.000598;56.495026;76.044787;1.077820;1.346044;0.742918;0.736711;76.000000;0.669383;212.883000;0.317037;1.558642e-01;7.157415e-01
19;M-11811a-x40-03.tif;2591;569.695870;80.320726;49.998146;67.421515;1.136124;1.348480;0.741576;0.725739;118.000000;0.670869;192.332000;0.331788;1.657080e-01;9.759660e-01
20;M-11811a-x40-03.tif;4082;592.221460;483.019843;64.402874;81.222310;1.095766;1.261160;0.792921;0.787830;118.000000;0.609324;237.083000;0.355252;2.011316e-01;9.493964e-01
