No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11811a-x40-10.bmp;3215;373.160809;138.325350;44.283216;93.325159;1.241377;2.107461;0.474505;0.469995;100.000000;0.880253;223.948000;122.015552;68;255
2;M-11811a-x40-10.bmp;3649;433.667854;211.035626;55.238231;84.698074;1.087353;1.533323;0.652178;0.647645;77.000000;0.758066;223.294000;111.133461;70;255
3;M-11811a-x40-10.bmp;3065;431.656117;283.278956;51.607404;76.796610;1.105257;1.488093;0.672001;0.661693;134.000000;0.740550;206.325000;108.191191;51;255
4;M-11811a-x40-10.bmp;4264;456.346623;352.554174;64.464949;85.358485;1.108132;1.324107;0.755226;0.745133;135.000000;0.655464;243.674000;116.000704;58;255
5;M-11811a-x40-10.bmp;2459;507.758438;61.102887;49.451092;64.020040;1.057007;1.294613;0.772431;0.763900;54.000000;0.635098;180.727000;110.708011;65;255
6;M-11811a-x40-10.bmp;4065;547.130381;199.246986;69.100291;75.299237;1.007714;1.089709;0.917676;0.912829;70.000000;0.397330;226.884000;109.590652;65;255
7;M-11811a-x40-10.bmp;5859;588.116914;50.098652;81.263239;92.393467;1.033355;1.136965;0.879534;0.873879;122.000000;0.475835;275.830000;118.212835;80;255
8;M-11811a-x40-10.bmp;4589;679.288516;67.213990;74.625035;78.989737;1.036085;1.058488;0.944743;0.936455;122.000000;0.327811;244.434000;122.509915;75;255
9;M-11811a-x40-10.bmp;4893;722.603106;147.404864;71.001415;88.062988;1.006267;1.240299;0.806257;0.803338;70.000000;0.591565;248.742000;121.637441;68;255
10;M-11811a-x40-10.bmp;4158;847.304714;642.162819;57.926802;91.784980;1.079780;1.584499;0.631114;0.628422;72.000000;0.775690;237.528000;115.631794;74;255
11;M-11811a-x40-10.bmp;5791;877.793645;567.952858;78.033099;94.817047;1.030985;1.215088;0.822986;0.820145;100.000000;0.568062;273.910000;125.856156;59;255
12;M-11811a-x40-10.bmp;4658;970.630528;715.118291;62.225189;96.381502;1.090483;1.548915;0.645613;0.638443;123.000000;0.763664;252.647000;114.469085;69;255
13;M-11811a-x40-10.bmp;4528;1162.615945;576.985424;66.922983;86.998859;1.067366;1.299985;0.769240;0.761710;99.000000;0.638960;246.442000;113.041740;51;255
14;M-11811a-x40-10.bmp;3945;1464.212167;538.137896;59.651779;84.983965;1.044656;1.424668;0.701918;0.695478;31.000000;0.712258;227.570000;106.690748;51;255
