No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11811a-x40-10.tif;450;66.013333;611.284444;15.866713;43.789383;1.847704;2.759827;0.362342;0.298803;102.000000;0.932045;102.218000;0.354506;0;9.444444e-01
2;M-11811a-x40-10.tif;341;121.108504;454.885630;16.604586;31.508126;1.682454;1.897556;0.526994;0.437340;80.000000;0.849869;84.909000;0.316716;0;9.444444e-01
3;M-11811a-x40-10.tif;6934;195.862561;452.057110;68.399512;165.467340;4.795092;2.419130;0.413372;0.322455;2617.000000;0.910562;646.391000;0.550325;0;9.666667e-01
4;M-11811a-x40-10.tif;613;220.011419;361.977162;23.352412;37.117551;1.545860;1.589453;0.629147;0.566516;101.000000;0.777286;109.124000;0.367500;0;9.444444e-01
5;M-11811a-x40-10.tif;594;271.606061;668.744108;23.020895;36.247223;1.503087;1.574536;0.635108;0.575635;93.000000;0.772423;105.923000;0.452090;0;9.444444e-01
6;M-11811a-x40-10.tif;1741;300.708214;45.828260;45.714503;60.238661;3.139850;1.317714;0.758890;0.610883;516.000000;0.651219;262.095000;0.314953;0;9.444444e-01
7;M-11811a-x40-10.tif;395;297.498734;599.870886;20.574763;26.821690;1.403634;1.303621;0.767094;0.699093;49.000000;0.641534;83.470000;0.498594;0;9.166667e-01
8;M-11811a-x40-10.tif;5858;367.568112;560.083817;66.150710;165.819064;7.127272;2.506686;0.398933;0.271263;3629.000000;0.916980;724.338000;0.387864;0;9.722222e-01
9;M-11811a-x40-10.tif;1181;449.361558;370.016088;26.657889;61.190869;1.773492;2.295413;0.435651;0.401594;168.000000;0.900115;162.235000;0.764694;7.317073e-01;8.000000e-01
10;M-11811a-x40-10.tif;1043;510.918504;43.902205;27.161643;53.772082;1.644100;1.979707;0.505125;0.459283;190.000000;0.863046;146.795000;0.774858;7.416667e-01;7.903780e-01
11;M-11811a-x40-10.tif;2853;690.690151;56.143007;47.998926;81.115588;1.807744;1.689946;0.591735;0.552082;433.000000;0.806133;254.580000;0.755427;0;9.722222e-01
12;M-11811a-x40-10.tif;1815;709.082094;129.876584;39.666756;65.761919;1.774970;1.657860;0.603187;0.534365;384.000000;0.797600;201.205000;0.753734;0;9.629630e-01
13;M-11811a-x40-10.tif;972;836.136831;34.431070;23.168322;66.474827;2.330957;2.869212;0.348528;0.280067;318.000000;0.937298;168.735000;0.499086;0;9.444444e-01
14;M-11811a-x40-10.tif;2518;885.165608;575.276807;50.341362;93.799158;3.425823;1.863262;0.536693;0.364391;1193.000000;0.843778;329.242000;0.776733;7.518116e-01;8.333333e-01
15;M-11811a-x40-10.tif;396;891.790404;63.131313;19.275032;31.732140;1.800606;1.646282;0.607429;0.500733;69.000000;0.794374;94.659000;0.498316;0;9.166667e-01
16;M-11811a-x40-10.tif;315;1102.619048;31.358730;19.471230;22.037372;1.268117;1.131792;0.883555;0.825850;27.000000;0.468327;70.850000;0.632804;0;9.444444e-01
17;M-11811a-x40-10.tif;598;1117.941472;71.247492;25.880656;54.932954;3.018056;2.122549;0.471132;0.252316;443.000000;0.882063;150.598000;0.313578;0;9.583333e-01
18;M-11811a-x40-10.tif;532;1129.815789;15.712406;21.464034;33.933672;1.387088;1.580955;0.632529;0.588247;65.000000;0.774537;96.297000;0.432897;0;9.444444e-01
19;M-11811a-x40-10.tif;1831;1149.349536;578.672310;38.644960;69.110546;2.244883;1.788346;0.559176;0.488101;508.000000;0.829049;227.272000;0.784747;7.565543e-01;8.194444e-01
20;M-11811a-x40-10.tif;1318;1208.735205;51.776935;33.036138;71.718021;2.495331;2.170896;0.460639;0.326264;585.000000;0.887587;203.295000;0.313811;0;9.666667e-01
21;M-11811a-x40-10.tif;432;1239.870370;264.108796;18.268136;36.582761;2.124270;2.002545;0.499365;0.410999;100.000000;0.866392;107.387000;0.338156;0;9.166667e-01
22;M-11811a-x40-10.tif;393;1278.531807;269.134860;19.082915;27.916694;1.237276;1.462916;0.683566;0.642059;32.000000;0.729888;78.169000;0.393130;0;9.444444e-01
23;M-11811a-x40-10.tif;2541;1349.232192;245.369933;53.240559;105.488684;4.295302;1.981359;0.504704;0.290739;1743.000000;0.863292;370.343000;0.320685;0;9.444444e-01
24;M-11811a-x40-10.tif;1221;1331.583948;503.685504;34.866758;59.415110;2.495939;1.704062;0.586833;0.440384;456.000000;0.809708;195.695000;0.306732;0;9.666667e-01
25;M-11811a-x40-10.tif;440;1329.334091;717.884091;15.776360;41.748920;1.972859;2.646296;0.377887;0.321420;126.000000;0.925852;104.443000;0.563997;0;9.444444e-01
26;M-11811a-x40-10.tif;514;1384.593385;302.373541;25.463637;36.364012;2.249070;1.428076;0.700243;0.494914;256.000000;0.713905;120.528000;0.348249;0;9.166667e-01
27;M-11811a-x40-10.tif;358;1397.354749;649.659218;20.742793;31.767939;2.490843;1.531517;0.652947;0.451664;163.000000;0.757403;105.857000;0.363827;0;9.444444e-01
28;M-11811a-x40-10.tif;305;1395.508197;339.377049;12.343630;39.410902;2.440243;3.192813;0.313203;0.250021;128.000000;0.949686;96.710000;0.597268;0;9.166667e-01
29;M-11811a-x40-10.tif;433;1427.743649;814.242494;14.631538;46.950284;2.571439;3.208841;0.311639;0.250105;138.000000;0.950201;118.287000;0.381832;0;9.166667e-01
