No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11820b-x40-05.tif;3075;349.184065;446.076748;55.513724;71.820330;1.314056;1.293740;0.772953;0.759033;266.000000;0.634464;225.338000;162.292033;128;182
2;M-11820b-x40-05.tif;3678;364.676455;511.194671;52.937174;90.965593;1.255352;1.718369;0.581947;0.565936;164.000000;0.813227;240.876000;162.275150;129;182
3;M-11820b-x40-05.tif;1092;442.185897;612.378205;36.131360;51.560468;2.025890;1.427028;0.700757;0.522997;383.000000;0.713400;166.734000;151.397436;124;186
4;M-11820b-x40-05.tif;2601;460.093041;308.062284;46.902552;71.233127;1.165570;1.518747;0.658437;0.652659;114.000000;0.752636;195.184000;166.159554;130;189
5;M-11820b-x40-05.tif;3392;597.415979;283.921875;56.739928;76.370397;1.093725;1.345973;0.742957;0.740484;105.000000;0.669339;215.917000;164.642689;130;184
6;M-11820b-x40-05.tif;3233;715.053511;488.088153;58.137997;71.334374;1.078794;1.226984;0.815007;0.808943;118.000000;0.579451;209.352000;166.756882;135;187
7;M-11820b-x40-05.tif;309;760.317152;351.042071;15.462885;27.286553;1.210206;1.764648;0.566685;0.528410;35.000000;0.823934;68.551000;158.381877;145;171
8;M-11820b-x40-05.tif;3274;854.986255;397.165241;57.376452;73.488265;1.187339;1.280809;0.780757;0.771885;178.000000;0.624835;221.020000;165.318571;137;191
9;M-11820b-x40-05.tif;327;920.024465;586.489297;16.943324;32.544974;2.171438;1.920814;0.520613;0.393088;109.000000;0.853793;94.461000;150.400612;137;172
10;M-11820b-x40-05.tif;4167;1113.229182;356.609311;66.831166;79.858558;1.110475;1.194930;0.836869;0.831937;124.000000;0.547403;241.141000;165.933045;139;185
11;M-11820b-x40-05.tif;4756;1205.327586;235.795416;68.931315;88.326618;1.090065;1.281371;0.780414;0.776191;115.000000;0.625263;255.242000;165.236543;123;189
12;M-11820b-x40-05.tif;2831;1218.902155;711.670081;50.066218;72.499286;1.132641;1.448068;0.690575;0.685776;111.000000;0.723260;200.734000;164.762981;127;183
13;M-11820b-x40-05.tif;869;1365.109321;690.143843;28.196922;40.885576;1.378937;1.450001;0.689654;0.661896;92.000000;0.724139;122.712000;151.667434;126;167
