No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11820b-x40-05.tif;1020;42.610784;533.014706;18.459206;72.514387;1.963034;3.928359;0.254559;0.246980;100.000000;0.967057;158.624000;168.033333;42;219
2;M-11820b-x40-05.tif;796;86.982412;599.805276;24.404563;42.659573;1.197723;1.748016;0.572077;0.556917;45.000000;0.820200;109.456000;183.596734;59;237
3;M-11820b-x40-05.tif;908;96.571586;568.419604;26.469040;45.635829;1.255426;1.724121;0.580006;0.555116;55.000000;0.814612;119.686000;172.594714;89;213
4;M-11820b-x40-05.tif;2849;140.338715;609.539137;55.591484;70.831601;1.425088;1.274145;0.784840;0.723017;352.000000;0.619698;225.877000;196.833977;36;255
5;M-11820b-x40-05.tif;2514;268.749801;393.907319;58.298310;73.202301;2.195638;1.255650;0.796400;0.597346;870.000000;0.604770;263.371000;97.659109;12;196
6;M-11820b-x40-05.tif;1093;375.995425;131.238792;35.080546;40.786307;1.263185;1.162647;0.860106;0.836569;112.000000;0.510115;131.719000;182.474840;83;243
7;M-11820b-x40-05.tif;1106;398.443942;174.675407;35.610617;42.841786;1.439984;1.203062;0.831212;0.767238;157.000000;0.555955;141.469000;165.103978;89;219
8;M-11820b-x40-05.tif;1498;460.701602;229.769025;35.481924;56.571808;1.448855;1.594384;0.627202;0.595966;201.000000;0.778857;165.148000;172.999332;95;213
9;M-11820b-x40-05.tif;3031;510.614319;250.769053;61.977683;63.937450;1.348451;1.031621;0.969349;0.944029;245.000000;0.245689;226.629000;197.308809;89;255
10;M-11820b-x40-05.tif;1963;520.194600;808.756495;31.362119;89.564619;1.877058;2.855822;0.350162;0.311571;416.000000;0.936689;215.181000;190.623026;53;255
11;M-11820b-x40-05.tif;774;499.863049;208.054264;25.635114;39.092585;1.119590;1.524962;0.655754;0.644855;36.000000;0.754975;104.353000;183.635659;83;255
12;M-11820b-x40-05.tif;4065;521.277491;721.448216;49.825115;125.641134;2.052424;2.521643;0.396567;0.327874;1169.000000;0.918006;323.794000;184.097909;89;255
13;M-11820b-x40-05.tif;1451;532.116471;188.585803;35.479083;55.019168;1.271619;1.550749;0.644849;0.610309;120.000000;0.764310;152.271000;178.117161;71;225
14;M-11820b-x40-05.tif;2183;547.035273;287.667888;40.895214;70.677306;1.275402;1.728254;0.578619;0.556421;152.000000;0.815598;187.049000;204.512139;65;255
15;M-11820b-x40-05.tif;981;651.388379;533.650357;25.457853;50.128939;1.264197;1.969095;0.507847;0.497052;63.000000;0.861447;124.838000;172.447503;53;231
16;M-11820b-x40-05.tif;3645;693.340741;762.811523;58.518979;82.807222;1.557276;1.415049;0.706689;0.676817;418.000000;0.707524;267.077000;173.218107;59;255
17;M-11820b-x40-05.tif;862;718.179814;572.110209;24.444937;45.682258;1.184230;1.868782;0.535108;0.525923;52.000000;0.844784;113.260000;192.004640;30;255
18;M-11820b-x40-05.tif;974;771.325462;449.556468;33.280931;38.881733;1.186743;1.168289;0.855953;0.820310;68.000000;0.517054;120.521000;162.129363;95;208
19;M-11820b-x40-05.tif;1282;786.861154;330.166147;34.437759;53.183880;1.501498;1.544348;0.647523;0.577083;237.000000;0.762046;155.529000;172.766771;65;231
20;M-11820b-x40-05.tif;983;789.283825;363.393693;30.232367;48.491659;2.042988;1.603965;0.623455;0.532267;201.000000;0.781859;158.860000;156.540183;101;202
21;M-11820b-x40-05.tif;1949;889.086198;726.136993;41.705430;62.652376;1.354933;1.502259;0.665664;0.632189;216.000000;0.746252;182.167000;179.520780;47;255
22;M-11820b-x40-05.tif;4498;921.017341;405.339262;60.331848;101.550150;1.843603;1.683193;0.594109;0.555352;787.000000;0.804385;322.811000;161.687417;107;213
23;M-11820b-x40-05.tif;733;936.652115;630.428377;23.905475;40.825692;1.193115;1.707797;0.585550;0.559947;43.000000;0.810636;104.833000;175.877217;47;231
24;M-11820b-x40-05.tif;1606;966.646949;373.024284;38.809190;56.504260;1.493703;1.455951;0.686837;0.640462;236.000000;0.726812;173.624000;162.186800;113;249
25;M-11820b-x40-05.tif;1135;1013.637004;584.504846;25.808044;60.153231;1.907050;2.330794;0.429038;0.399382;169.000000;0.903286;164.924000;174.379736;89;243
