No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11820b-x40-10.tif;1276;62.426332;473.363636;21.625858;86.493279;3.040118;3.999530;0.250029;0.217168;355.000000;0.968238;220.788000;0.203705;1.067961e-01;3.314607e-01
2;M-11820b-x40-10.tif;4576;138.741914;148.147290;75.064060;145.190810;4.263233;1.934225;0.517003;0.276387;2877.000000;0.855984;495.128000;0.413569;5.188679e-02;8.451613e-01
3;M-11820b-x40-10.tif;3520;167.564205;312.090341;69.729626;71.602275;1.677238;1.026856;0.973847;0.874177;553.000000;0.227207;272.379000;0.548109;1.576355e-01;1
4;M-11820b-x40-10.tif;3475;226.273094;36.922302;59.375759;76.382308;1.242567;1.286422;0.777350;0.758367;171.000000;0.629069;232.939000;0.493112;1.395349e-02;9.765625e-01
5;M-11820b-x40-10.tif;3696;323.294913;385.612554;48.924087;103.439673;1.443453;2.114289;0.472972;0.439813;323.000000;0.881077;258.924000;0.515243;1.895735e-02;7.668712e-01
6;M-11820b-x40-10.tif;1435;304.055052;449.276655;34.347231;59.466220;1.882109;1.731325;0.577592;0.516680;308.000000;0.816325;184.227000;0.367533;1.106195e-01;5.215054e-01
7;M-11820b-x40-10.tif;761;293.099869;109.064389;23.365749;42.937096;1.171998;1.837608;0.544186;0.525569;32.000000;0.838965;105.867000;0.372846;6.912442e-02;5.167464e-01
8;M-11820b-x40-10.tif;1229;301.351505;295.173312;35.122913;47.537740;1.607158;1.353468;0.738843;0.692444;140.000000;0.673878;157.547000;0.399289;9.589041e-02;4.923077e-01
9;M-11820b-x40-10.tif;4049;330.112620;512.237590;66.581649;87.151470;1.691115;1.308941;0.763976;0.678748;823.000000;0.645244;293.336000;0.543521;8.715596e-02;1
10;M-11820b-x40-10.tif;917;327.381679;97.641221;28.666664;43.643460;1.260008;1.522446;0.656838;0.612973;75.000000;0.754032;120.497000;0.372642;2.283105e-02;6.424242e-01
11;M-11820b-x40-10.tif;3469;400.343038;315.816374;49.765728;101.540379;2.289772;2.040368;0.490108;0.428388;899.000000;0.871662;315.939000;0.528270;5.392157e-02;9.830508e-01
12;M-11820b-x40-10.tif;1338;474.470852;184.776532;30.491366;67.462611;1.640037;2.212515;0.451974;0.374317;271.000000;0.892031;166.058000;0.359610;2.884615e-02;5.416667e-01
13;M-11820b-x40-10.tif;3442;541.554038;297.073504;41.877429;148.937835;3.922899;3.556518;0.281174;0.197565;1492.000000;0.959657;411.921000;0.395852;9.852217e-03;1
14;M-11820b-x40-10.tif;1017;519.752212;178.869223;33.916670;38.789581;1.010952;1.143673;0.874376;0.860599;25.000000;0.485249;113.666000;0.387324;1.162791e-01;6.256983e-01
15;M-11820b-x40-10.tif;2268;592.035714;498.230600;37.845737;78.885446;1.306335;2.084394;0.479756;0.464044;158.000000;0.877402;192.954000;0.572468;7.920792e-02;9.901961e-01
16;M-11820b-x40-10.tif;2791;629.491580;409.601218;45.153982;79.673370;1.236233;1.764482;0.566739;0.559814;107.000000;0.823898;208.226000;0.523223;1.090909e-01;9.504132e-01
17;M-11820b-x40-10.tif;2256;654.544326;697.625000;44.986262;66.741251;1.277137;1.483592;0.674040;0.644853;230.000000;0.738695;190.280000;0.478479;1.111111e-01;8.515625e-01
18;M-11820b-x40-10.tif;3424;670.168808;454.048773;48.745718;89.623848;1.126168;1.838599;0.543892;0.542746;59.000000;0.839155;220.127000;0.549663;2.250000e-01;9.055118e-01
19;M-11820b-x40-10.tif;2380;699.962185;744.269328;48.387793;71.830125;2.004747;1.484468;0.673642;0.587319;429.000000;0.739058;244.863000;0.278032;5.882353e-02;5.079365e-01
20;M-11820b-x40-10.tif;728;698.917582;507.354396;26.524573;35.823528;1.050196;1.350579;0.740423;0.722279;39.000000;0.672141;98.018000;0.493057;2.149123e-01;7.409639e-01
21;M-11820b-x40-10.tif;1079;709.848934;177.888786;30.140691;46.031703;1.070832;1.527228;0.654781;0.648362;43.000000;0.755819;120.497000;0.332492;1.396396e-01;4.088889e-01
22;M-11820b-x40-10.tif;2054;802.463973;327.685492;46.408319;60.329032;1.425400;1.299962;0.769253;0.718551;245.000000;0.638944;191.811000;0.481715;1.600000e-01;9.565217e-01
