No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11820b-x40-10.tif;974;73.551335;715.864476;26.619396;56.410613;1.937386;2.119155;0.471886;0.389715;251.000000;0.881659;153.990000;0.297775;1.446474e-01;4.436606e-01
2;M-11820b-x40-10.tif;5358;130.785554;736.568682;53.438374;146.703142;3.391320;2.745277;0.364262;0.316982;2014.000000;0.931297;477.849000;0.370505;1.458164e-01;6.812689e-01
3;M-11820b-x40-10.tif;6466;214.305289;49.466904;94.074090;105.485556;2.158846;1.121303;0.891820;0.739878;1764.000000;0.452391;418.826000;0.434469;1.174666e-01;8.726833e-01
4;M-11820b-x40-10.tif;3812;321.065582;385.553515;48.798767;106.801355;1.551116;2.188608;0.456911;0.425510;413.000000;0.889512;272.586000;0.529404;1.190196e-01;7.937802e-01
5;M-11820b-x40-10.tif;926;293.678186;37.722462;22.720797;52.731035;1.275668;2.320827;0.430881;0.424022;30.000000;0.902409;121.837000;0.518173;1.201100e-01;7.177639e-01
6;M-11820b-x40-10.tif;1832;300.417576;291.453057;40.328202;59.818371;1.236027;1.483289;0.674178;0.651878;155.000000;0.738569;168.687000;0.519533;1.561533e-01;6.868339e-01
7;M-11820b-x40-10.tif;677;290.420975;163.391433;29.166559;30.655038;1.141903;1.051034;0.951444;0.917266;37.000000;0.307821;98.563000;0.367806;2.165540e-01;4.746745e-01
8;M-11820b-x40-10.tif;951;292.767613;109.570978;26.697480;47.218436;1.237407;1.768648;0.565404;0.543085;58.000000;0.824814;121.605000;0.504032;1.379163e-01;7.382686e-01
9;M-11820b-x40-10.tif;1027;326.883155;97.740993;30.771329;44.497450;1.126751;1.446069;0.691530;0.660405;50.000000;0.722348;120.588000;0.411960;1.359020e-01;6.454507e-01
10;M-11820b-x40-10.tif;4433;405.464922;305.556508;48.887945;149.079543;2.937114;3.049413;0.327932;0.253964;1695.000000;0.944701;404.496000;0.487975;1.401465e-01;8.467671e-01
11;M-11820b-x40-10.tif;1658;473.542220;182.759952;33.251573;67.846103;1.460119;2.040388;0.490103;0.458611;197.000000;0.871665;174.418000;0.404446;1.106053e-01;6.004548e-01
12;M-11820b-x40-10.tif;2226;591.395777;497.797844;37.851514;77.595157;1.464807;2.049988;0.487808;0.470724;198.000000;0.872951;202.422000;0.544101;9.096467e-02;9.144925e-01
13;M-11820b-x40-10.tif;963;698.761163;508.214953;31.271307;40.396588;1.163026;1.291810;0.774108;0.751358;61.000000;0.633054;118.635000;0.544925;2.285583e-01;7.793974e-01
14;M-11820b-x40-10.tif;1582;710.532238;176.895702;38.916489;52.520184;1.117920;1.349561;0.740982;0.730237;81.000000;0.671525;149.078000;0.473523;1.446474e-01;6.656756e-01
15;M-11820b-x40-10.tif;3335;802.614993;340.402999;51.759660;88.131367;2.101595;1.702704;0.587301;0.546695;592.000000;0.809368;296.775000;0.460544;1.926160e-01;8.148281e-01
16;M-11820b-x40-10.tif;1589;802.509125;780.826935;43.789569;49.096252;1.240962;1.121186;0.891913;0.839339;123.000000;0.452208;157.415000;0.419515;1.163843e-01;6.799751e-01
17;M-11820b-x40-10.tif;1821;876.211422;317.220758;43.303741;59.219271;1.653024;1.367532;0.731244;0.661141;334.000000;0.682116;194.491000;0.501966;2.069000e-01;8.652697e-01
18;M-11820b-x40-10.tif;2147;953.268747;286.371681;53.185881;61.711765;2.005688;1.160304;0.861843;0.717805;668.000000;0.507174;232.623000;0.420543;1.911762e-01;8.483302e-01
19;M-11820b-x40-10.tif;1080;1112.936111;532.628704;32.450788;43.641907;1.139957;1.344864;0.743569;0.721982;58.000000;0.668659;124.383000;0.501583;2.105836e-01;7.593050e-01
20;M-11820b-x40-10.tif;470;1213.382979;73.419149;21.133016;43.162167;2.197662;2.042404;0.489619;0.321219;204.000000;0.871936;113.929000;0.323359;1.883904e-01;4.917607e-01
21;M-11820b-x40-10.tif;324;1287.944444;237.959877;18.201400;28.682025;2.113964;1.575814;0.634593;0.501459;104.000000;0.772847;92.774000;0.298840;2.236542e-01;4.008615e-01
22;M-11820b-x40-10.tif;1801;1340.751249;544.479733;37.798898;71.280993;2.085086;1.885796;0.530280;0.451311;471.000000;0.847822;217.232000;0.339890;1.571564e-01;5.122142e-01
23;M-11820b-x40-10.tif;542;1375.747232;406.201107;23.409259;30.217176;1.194390;1.290822;0.774700;0.755791;37.000000;0.632328;90.194000;0.320889;2.376970e-01;4.428768e-01
24;M-11820b-x40-10.tif;3885;1412.583012;252.892921;58.483556;100.754415;2.004302;1.722782;0.580457;0.487274;1022.000000;0.814291;312.811000;0.426038;1.726668e-01;6.598745e-01
25;M-11820b-x40-10.tif;4288;1429.206157;744.393190;48.490428;125.866449;3.030926;2.595697;0.385253;0.344624;1374.000000;0.922811;404.129000;0.394043;1.571564e-01;8.532966e-01
26;M-11820b-x40-10.tif;2773;1454.241255;365.957086;55.466588;64.711087;1.174977;1.166668;0.857142;0.843146;168.000000;0.515080;202.346000;0.512993;1.505791e-01;7.486055e-01
27;M-11820b-x40-10.tif;3269;1478.039768;672.261854;66.417814;67.892866;1.935583;1.022209;0.978274;0.902977;692.000000;0.207317;281.980000;0.428415;1.185571e-01;8.914651e-01
28;M-11820b-x40-10.tif;547;1518.241316;217.208410;21.146873;37.816545;2.056956;1.788281;0.559196;0.487005;147.000000;0.829035;118.908000;0.358424;1.607161e-01;7.294673e-01
