No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11820b-x40-10.tif;2574;168.463869;304.540793;51.011790;64.846144;1.108487;1.271199;0.786659;0.779382;87.000000;0.617388;189.354000;87.520979;62;127
2;M-11820b-x40-10.tif;2539;320.074439;504.201260;51.584431;64.163448;1.213022;1.243853;0.803954;0.785231;124.000000;0.594692;196.730000;88.151635;56;125
3;M-11820b-x40-10.tif;615;385.720325;345.204878;24.210402;35.911613;1.691239;1.483313;0.674166;0.607177;98.000000;0.738580;114.326000;101.554472;64;133
4;M-11820b-x40-10.tif;3500;415.774286;473.172571;65.532646;68.655691;1.074161;1.047656;0.954511;0.945421;102.000000;0.298174;217.357000;88.982000;65;122
5;M-11820b-x40-10.tif;5196;497.474981;508.853926;63.844650;103.931487;1.096648;1.627881;0.614296;0.612470;80.000000;0.789076;267.592000;88.142417;64;134
6;M-11820b-x40-10.tif;816;514.631127;279.575980;29.796066;35.895047;1.160949;1.204691;0.830089;0.806364;39.000000;0.557632;109.108000;90.142157;70;120
7;M-11820b-x40-10.tif;2345;591.434968;497.784648;37.452313;82.103175;1.356367;2.192206;0.456162;0.442928;162.000000;0.889897;199.924000;88.328358;58;132
8;M-11820b-x40-10.tif;2208;652.403533;695.043478;42.967454;66.240963;1.146236;1.541654;0.648654;0.640702;94.000000;0.761084;178.337000;92.334239;70;127
9;M-11820b-x40-10.tif;3613;670.088569;454.104899;51.349087;90.076567;1.216224;1.754200;0.570060;0.566963;158.000000;0.821603;234.988000;90.111265;68;128
10;M-11820b-x40-10.tif;462;729.584416;502.487013;15.830639;42.629702;2.129893;2.692860;0.371352;0.323689;109.000000;0.928492;111.200000;102.508658;81;130
11;M-11820b-x40-10.tif;3551;905.834131;438.079977;59.765065;75.804313;1.063893;1.268372;0.788412;0.786816;84.000000;0.615147;217.886000;87.230921;67;118
12;M-11820b-x40-10.tif;3130;947.275719;643.332268;58.916061;67.820805;1.076239;1.151143;0.868702;0.866420;87.000000;0.495335;205.746000;89.654633;66;126
13;M-11820b-x40-10.tif;2593;967.977246;416.826841;51.584100;64.652852;1.042047;1.253348;0.797863;0.789837;59.000000;0.602839;184.268000;86.052063;67;118
14;M-11820b-x40-10.tif;3149;994.850746;466.506192;59.626547;68.348960;1.079229;1.146284;0.872384;0.858260;100.000000;0.488821;206.656000;88.277548;69;127
15;M-11820b-x40-10.tif;2342;1025.027754;357.264304;44.938589;77.429145;2.009994;1.722999;0.580383;0.497380;530.000000;0.814343;243.218000;87.456447;61;127
16;M-11820b-x40-10.tif;3534;1033.192982;655.498019;56.246466;80.440957;1.079349;1.430151;0.699227;0.695380;70.000000;0.714900;218.937000;85.731466;64;128
17;M-11820b-x40-10.tif;2769;1062.851571;726.341640;38.982083;92.876850;1.529731;2.382552;0.419718;0.408713;275.000000;0.907655;230.714000;94.922355;66;128
18;M-11820b-x40-10.tif;4016;1102.936006;645.462151;59.616550;86.872456;1.143548;1.457187;0.686254;0.677547;132.000000;0.727362;240.231000;90.822211;71;129
19;M-11820b-x40-10.tif;1668;1117.485012;792.622302;29.271585;78.233899;1.643001;2.672691;0.374155;0.346989;201.000000;0.927366;185.576000;91.793165;68;124
20;M-11820b-x40-10.tif;4030;1153.609677;108.170223;58.214758;89.596529;1.310888;1.539069;0.649743;0.639194;263.000000;0.760154;257.656000;90.856328;64;127
21;M-11820b-x40-10.tif;3615;1171.585339;705.118396;60.670139;78.170552;1.565429;1.288452;0.776125;0.753238;390.000000;0.630579;266.671000;89.284924;69;128
22;M-11820b-x40-10.tif;2227;1537.412214;242.514594;49.336632;64.136489;1.574026;1.299977;0.769244;0.689319;404.000000;0.638955;209.880000;95.609789;72;127
23;M-11820b-x40-10.tif;1276;1550.716301;327.544671;37.692639;44.604399;1.157472;1.183372;0.845043;0.816593;77.000000;0.534698;136.234000;95.364420;76;122
