No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11820b-x40-10.tif;2262;169.069850;304.925287;47.850243;60.868205;1.110506;1.272056;0.786129;0.777359;73.000000;0.618063;177.669000;239.080460;200;255
2;M-11820b-x40-10.tif;840;295.527381;717.155952;28.693509;37.452134;1.004498;1.305248;0.766138;0.762494;24.000000;0.642676;102.972000;230.675000;203;255
3;M-11820b-x40-10.tif;2085;320.052758;503.438849;48.452728;55.876727;1.139386;1.153221;0.867136;0.850265;82.000000;0.498071;172.780000;234.125180;183;255
4;M-11820b-x40-10.tif;1195;400.428452;320.340586;34.057020;50.319893;1.671675;1.477519;0.676810;0.600895;235.000000;0.736158;158.440000;242.020921;214;255
5;M-11820b-x40-10.tif;607;476.110379;539.316310;25.904987;30.609571;1.180908;1.181609;0.846304;0.824868;54.000000;0.532701;94.909000;243.176277;204;255
6;M-11820b-x40-10.tif;1158;502.492228;507.630397;32.933871;58.707251;2.248244;1.782580;0.560985;0.427794;471.000000;0.827826;180.876000;244.054404;222;255
7;M-11820b-x40-10.tif;1227;594.705786;498.653627;34.171171;50.845239;1.524078;1.487957;0.672062;0.604302;239.000000;0.740495;153.296000;244.370008;192;255
8;M-11820b-x40-10.tif;1947;764.160760;487.966102;39.255001;71.133863;1.661548;1.812097;0.551847;0.489918;234.000000;0.833945;201.625000;237.810478;215;255
9;M-11820b-x40-10.tif;1823;878.792649;536.320900;44.446953;61.606334;1.909827;1.386064;0.721467;0.611570;439.000000;0.692449;209.168000;246.291278;220;255
10;M-11820b-x40-10.tif;1718;1022.471478;355.150757;35.762936;64.552411;1.335558;1.805009;0.554014;0.524938;169.000000;0.832507;169.804000;237.807916;190;255
11;M-11820b-x40-10.tif;2379;1031.757881;655.868012;50.117755;64.425755;1.714226;1.285488;0.777915;0.729769;280.000000;0.628370;226.379000;239.458596;192;255
12;M-11820b-x40-10.tif;1170;1088.762393;151.082051;36.840361;42.787158;1.520130;1.161421;0.861014;0.813709;156.000000;0.508580;149.499000;243.503419;217;255
13;M-11820b-x40-10.tif;2340;1153.196154;111.002991;48.206852;71.550233;2.911999;1.484234;0.673748;0.581974;553.000000;0.738961;292.623000;233.950427;174;255
14;M-11820b-x40-10.tif;913;1158.583790;697.891566;30.727342;39.554052;1.243715;1.287259;0.776844;0.743017;83.000000;0.629693;119.454000;247.940854;228;255
15;M-11820b-x40-10.tif;840;1179.884524;715.615476;29.004524;39.553296;1.287822;1.363694;0.733302;0.683635;64.000000;0.679903;116.593000;245.423810;217;255
16;M-11820b-x40-10.tif;909;1322.697470;463.049505;28.681774;40.613037;1.020640;1.415988;0.706221;0.701686;21.000000;0.707992;107.975000;225.775578;168;255
17;M-11820b-x40-10.tif;980;1469.051020;666.760204;29.632738;43.345382;1.188066;1.462753;0.683642;0.664126;58.000000;0.729817;120.959000;227.216327;194;255
