No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11820b-x40-10.tif;2493;169.363418;305.373847;50.053603;63.836681;1.045951;1.275366;0.784088;0.778918;66.000000;0.620649;181.018000;0.485948;1.921643e-01;1
2;M-11820b-x40-10.tif;2460;224.529268;37.066667;47.773299;67.955134;1.438116;1.422450;0.703012;0.678267;240.000000;0.711178;210.848000;0.607334;2.915632e-01;9.012702e-01
3;M-11820b-x40-10.tif;1331;296.429752;717.540195;35.122181;49.160918;1.163651;1.399711;0.714433;0.701210;81.000000;0.699704;139.510000;0.499138;2.396748e-01;8.719324e-01
4;M-11820b-x40-10.tif;2361;321.238035;504.656078;51.331994;59.200099;1.031295;1.153279;0.867093;0.857751;43.000000;0.498146;174.922000;0.457760;1.374980e-01;1
5;M-11820b-x40-10.tif;2397;333.432624;382.402587;47.925989;64.357781;1.126949;1.342858;0.744681;0.736845;115.000000;0.667421;184.243000;0.580866;4.118815e-01;1
6;M-11820b-x40-10.tif;2556;404.982394;312.655321;42.433314;81.379418;1.413601;1.917819;0.521426;0.491408;295.000000;0.853297;213.083000;0.561226;2.872321e-01;1
7;M-11820b-x40-10.tif;3079;417.294901;472.016889;62.641365;64.192759;1.422460;1.024766;0.975832;0.951366;206.000000;0.218521;234.601000;0.600281;3.114369e-01;1
8;M-11820b-x40-10.tif;3363;484.041035;411.339280;58.930228;76.233783;1.473336;1.293628;0.773020;0.736787;430.000000;0.634382;249.528000;0.632553;3.594765e-01;9.998579e-01
9;M-11820b-x40-10.tif;4864;498.150288;509.658512;61.069616;102.248539;1.214174;1.674295;0.597266;0.592365;177.000000;0.802043;272.422000;0.579739;2.071672e-01;1
10;M-11820b-x40-10.tif;3163;495.054695;355.252292;56.429250;71.731925;1.065176;1.271183;0.786669;0.782680;103.000000;0.617376;205.762000;0.576154;3.071596e-01;9.697882e-01
11;M-11820b-x40-10.tif;644;514.585404;281.501553;24.292334;34.577272;1.089126;1.423382;0.702552;0.685827;29.000000;0.711632;93.883000;0.561169;2.429439e-01;1
12;M-11820b-x40-10.tif;2030;591.648276;499.420197;36.040004;73.688474;1.320811;2.044630;0.489086;0.476000;152.000000;0.872236;183.558000;0.554457;1.840206e-01;1
13;M-11820b-x40-10.tif;2043;633.632893;409.704356;41.666826;63.763465;1.443688;1.530317;0.653459;0.639786;157.000000;0.756962;192.520000;0.598835;3.123854e-01;1
