No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11822-x40-06.tif;1233;113.844282;148.105434;37.750188;49.579569;1.844781;1.313360;0.761406;0.638657;286.000000;0.648275;169.067000;208.336577;146;255
2;M-11822-x40-06.tif;3178;130.631529;341.887665;51.318843;101.629433;2.854693;1.980353;0.504960;0.391764;923.000000;0.863142;337.646000;202.529578;130;255
3;M-11822-x40-06.tif;411;136.506083;298.014599;18.853499;28.796061;1.092537;1.527359;0.654725;0.631082;14.000000;0.755867;75.118000;205.343066;155;255
4;M-11822-x40-06.tif;793;174.944515;379.851198;23.254371;44.707250;1.241272;1.922531;0.520148;0.505158;67.000000;0.854076;111.218000;206.490542;124;255
5;M-11822-x40-06.tif;368;201.994565;726.951087;20.152011;23.572332;1.056294;1.169726;0.854901;0.843243;23.000000;0.518791;69.891000;217.872283;188;255
6;M-11822-x40-06.tif;794;220.661209;750.845088;23.934668;43.742216;1.235099;1.827567;0.547175;0.528359;44.000000;0.837018;111.011000;206.574307;96;255
7;M-11822-x40-06.tif;618;253.150485;513.344660;26.193138;31.566536;1.160476;1.205145;0.829776;0.789668;47.000000;0.558097;94.933000;217.456311;120;255
8;M-11822-x40-06.tif;571;288.781086;594.465849;22.875686;32.130088;1.036529;1.404552;0.711971;0.704243;17.000000;0.702209;86.241000;197.017513;119;255
9;M-11822-x40-06.tif;1742;433.083238;398.047072;41.573808;55.842148;1.208629;1.343205;0.744488;0.711269;136.000000;0.667636;162.658000;208.382893;158;255
10;M-11822-x40-06.tif;3279;455.001525;146.672461;55.426230;79.403509;1.501683;1.432598;0.698033;0.662174;335.000000;0.716066;248.751000;206.420250;133;255
11;M-11822-x40-06.tif;1711;451.431327;349.108124;38.077556;58.774481;1.255801;1.543547;0.647859;0.630641;131.000000;0.761761;164.320000;203.866745;129;255
12;M-11822-x40-06.tif;2025;488.907654;254.715062;43.955007;58.748743;1.024029;1.336565;0.748186;0.747030;42.000000;0.663489;161.426000;190.219259;73;255
13;M-11822-x40-06.tif;3455;507.859624;360.552243;55.774193;81.586049;1.468039;1.462792;0.683624;0.660886;306.000000;0.729834;252.463000;201.727352;149;255
14;M-11822-x40-06.tif;1155;516.435498;434.683117;33.420963;50.234823;1.853584;1.503093;0.665295;0.582750;202.000000;0.746581;164.022000;217.948918;141;255
15;M-11822-x40-06.tif;463;505.252700;303.053996;19.104769;31.393986;1.091510;1.643254;0.608549;0.598134;14.000000;0.793517;79.691000;212.593952;144;255
16;M-11822-x40-06.tif;1638;548.699023;318.219170;41.588388;50.773239;1.169535;1.220851;0.819101;0.809011;104.000000;0.573650;155.156000;214.996947;163;255
17;M-11822-x40-06.tif;4725;572.162751;413.838730;74.779624;80.950570;1.034101;1.082522;0.923769;0.918062;96.000000;0.382950;247.792000;188.858413;117;255
18;M-11822-x40-06.tif;414;583.596618;793.147343;20.549218;28.244893;1.457427;1.374500;0.727537;0.660740;61.000000;0.686068;87.076000;229.664251;205;249
19;M-11822-x40-06.tif;2561;612.427177;458.760250;48.590720;68.008013;1.114255;1.399609;0.714485;0.705017;77.000000;0.699651;189.366000;192.039438;110;255
20;M-11822-x40-06.tif;3380;614.761538;300.048225;49.510021;91.023668;1.700754;1.838490;0.543925;0.519419;391.000000;0.839134;268.772000;193.295562;84;255
