No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11822-x40-06.tif;1787;453.144936;150.411304;42.470344;56.793632;1.624258;1.337254;0.747801;0.705400;248.000000;0.663923;190.983000;245.844992;219;255
2;M-11822-x40-06.tif;1595;486.815047;253.069592;40.274071;53.762963;1.615454;1.334927;0.749104;0.702594;188.000000;0.662452;179.942000;236.070846;173;255
3;M-11822-x40-06.tif;1746;508.201031;364.163803;34.486226;67.179352;1.724279;1.948005;0.513346;0.492587;223.000000;0.858182;194.505000;245.195304;229;255
4;M-11822-x40-06.tif;3766;571.506107;414.917419;68.318527;73.938963;1.876234;1.082268;0.923985;0.877089;556.000000;0.382428;297.981000;239.860329;214;255
5;M-11822-x40-06.tif;1961;613.317695;453.349312;37.704593;72.445352;1.820785;1.921393;0.520456;0.475737;370.000000;0.853889;211.823000;239.775115;213;255
6;M-11822-x40-06.tif;2427;612.957149;300.052740;45.000619;71.908639;1.429326;1.597948;0.625803;0.597610;239.000000;0.779981;208.788000;234.961681;172;255
7;M-11822-x40-06.tif;1450;650.366897;413.506897;39.733180;48.428991;1.352486;1.218855;0.820442;0.787168;143.000000;0.571730;156.984000;238.528276;221;255
8;M-11822-x40-06.tif;2164;719.304067;224.825323;49.521070;56.258584;1.185004;1.136053;0.880240;0.870542;106.000000;0.474528;179.512000;238.824399;191;255
9;M-11822-x40-06.tif;3641;752.326559;456.829992;59.197794;90.002389;3.476035;1.520367;0.657736;0.572299;680.000000;0.753249;398.802000;245.726449;214;255
10;M-11822-x40-06.tif;3171;762.542416;393.961211;48.005245;90.664848;2.336565;1.888645;0.529480;0.491166;788.000000;0.848322;305.135000;242.010407;220;255
11;M-11822-x40-06.tif;960;870.828125;171.732292;34.343422;38.060610;1.428074;1.108236;0.902335;0.843781;147.000000;0.431035;131.255000;247.014583;192;255
12;M-11822-x40-06.tif;1739;885.008626;271.422657;40.580627;57.322899;1.675599;1.412568;0.707930;0.673835;258.000000;0.706282;191.355000;241.654974;196;255
13;M-11822-x40-06.tif;3478;918.550029;581.043128;54.955698;96.239196;2.615601;1.751214;0.571032;0.478119;1035.000000;0.820928;338.108000;241.569005;211;255
14;M-11822-x40-06.tif;2367;909.889734;492.027883;47.465754;66.669405;1.435405;1.404579;0.711957;0.678040;266.000000;0.702223;206.629000;236.063794;198;255
15;M-11822-x40-06.tif;1463;934.592618;420.012303;42.452025;51.825512;1.817659;1.220802;0.819134;0.693533;303.000000;0.573603;182.803000;242.822283;216;255
16;M-11822-x40-06.tif;1455;948.017869;509.131271;36.691498;56.733526;1.640089;1.546231;0.646734;0.575564;209.000000;0.762716;173.169000;245.989691;217;255
17;M-11822-x40-06.tif;2247;961.034713;554.282599;44.320097;67.614975;1.547140;1.525605;0.655478;0.625788;261.000000;0.755215;209.012000;246.242991;224;255
18;M-11822-x40-06.tif;1956;983.693252;306.399284;43.357458;57.930859;1.108140;1.336122;0.748435;0.742094;69.000000;0.663209;165.039000;241.479039;197;255
19;M-11822-x40-06.tif;1402;1001.430813;552.648359;38.315089;47.313151;1.169695;1.234844;0.809819;0.797433;104.000000;0.586680;143.554000;239.641940;219;255
20;M-11822-x40-06.tif;1756;1091.363326;561.030752;44.763989;51.621237;1.491708;1.153187;0.867162;0.839031;213.000000;0.498026;181.430000;244.259112;214;255
