No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11822-x40-07.tif;369;112.569106;331.178862;18.196401;27.285488;1.248161;1.499499;0.666889;0.631063;36.000000;0.745157;76.077000;0.600404;3.904097e-01;8.519069e-01
2;M-11822-x40-07.tif;991;156.380424;452.540868;30.782904;62.024983;2.427341;2.014917;0.496298;0.327982;466.000000;0.868152;173.863000;0.584988;4.172527e-01;7.718410e-01
3;M-11822-x40-07.tif;803;149.098381;115.358655;25.623014;40.179851;1.070117;1.568116;0.637708;0.633299;26.000000;0.770278;103.915000;0.633909;4.510393e-01;7.371076e-01
4;M-11822-x40-07.tif;3226;180.674830;205.363918;62.449075;76.911092;1.698932;1.231581;0.811964;0.694379;692.000000;0.583707;262.437000;0.482544;3.708862e-01;7.193134e-01
5;M-11822-x40-07.tif;4584;222.674084;749.404014;41.749986;181.887638;2.778087;4.356592;0.229537;0.176420;1334.000000;0.973300;400.037000;0.595201;3.890784e-01;7.370001e-01
6;M-11822-x40-07.tif;1438;276.432545;116.511127;25.647709;77.874956;1.754306;3.036332;0.329345;0.301907;221.000000;0.944210;178.048000;0.636294;3.723915e-01;7.591211e-01
7;M-11822-x40-07.tif;1219;286.909762;797.077112;37.757515;41.405783;1.065789;1.096624;0.911890;0.905299;46.000000;0.410435;127.774000;0.609085;3.201497e-01;8.710658e-01
8;M-11822-x40-07.tif;3850;341.745714;328.267532;67.961715;112.221797;2.943860;1.651250;0.605602;0.389239;1658.000000;0.795768;377.393000;0.680215;4.782425e-01;7.884544e-01
9;M-11822-x40-07.tif;4213;338.160218;208.370045;79.562103;87.347064;2.125112;1.097848;0.910873;0.703080;946.000000;0.412686;335.422000;0.679423;4.025254e-01;8.020184e-01
10;M-11822-x40-07.tif;3463;355.000578;68.164886;44.499257;117.413377;2.213718;2.638547;0.378996;0.319836;1022.000000;0.925398;310.379000;0.583608;4.052515e-01;8.323644e-01
11;M-11822-x40-07.tif;388;359.265464;471.476804;20.316370;27.633693;1.370673;1.360169;0.735203;0.646940;60.000000;0.677847;81.750000;0.592276;4.539640e-01;7.117788e-01
12;M-11822-x40-07.tif;5911;404.624767;555.368804;82.764014;112.329742;3.023959;1.357229;0.736795;0.596460;1717.000000;0.676116;473.940000;0.635080;4.137148e-01;7.638374e-01
13;M-11822-x40-07.tif;5266;435.131029;92.378466;57.438742;164.599737;3.647058;2.865657;0.348960;0.247476;2115.000000;0.937138;491.266000;0.612832;3.766180e-01;7.438927e-01
14;M-11822-x40-07.tif;423;422.470449;373.122931;17.299684;40.493083;2.151485;2.340683;0.427226;0.328465;161.000000;0.904145;106.941000;0.601248;4.580063e-01;7.124268e-01
15;M-11822-x40-07.tif;4849;482.624665;539.227882;63.522390;112.334688;2.383391;1.768427;0.565474;0.489254;1100.000000;0.824766;381.091000;0.635235;4.007775e-01;8.716294e-01
16;M-11822-x40-07.tif;1002;492.158683;747.105788;23.239485;70.784308;2.144387;3.045864;0.328314;0.254627;393.000000;0.944569;164.320000;0.472855;3.603123e-01;6.446612e-01
17;M-11822-x40-07.tif;5675;591.072599;144.097445;90.591468;141.725301;3.436131;1.564444;0.639205;0.359734;3378.000000;0.769037;495.020000;0.632545;3.832312e-01;8.273773e-01
18;M-11822-x40-07.tif;751;554.347537;733.370173;28.910368;33.274791;1.004163;1.150964;0.868837;0.863613;24.000000;0.495098;97.348000;0.594983;3.971217e-01;7.303875e-01
19;M-11822-x40-07.tif;995;611.860302;43.339698;29.469821;48.621206;1.577515;1.649864;0.606110;0.535898;171.000000;0.795380;140.444000;0.564208;3.818015e-01;6.801534e-01
20;M-11822-x40-07.tif;3175;682.159685;42.939843;52.341276;91.254067;1.673859;1.743444;0.573577;0.485455;577.000000;0.819151;258.426000;0.636592;3.893738e-01;7.816497e-01
21;M-11822-x40-07.tif;691;721.154848;467.292330;25.077139;35.377978;1.023302;1.410766;0.708835;0.702946;21.000000;0.705375;94.264000;0.591476;3.788429e-01;7.272351e-01
22;M-11822-x40-07.tif;781;749.760563;82.549296;25.606549;39.318032;1.089424;1.535468;0.651267;0.643247;35.000000;0.758848;103.402000;0.602025;3.963553e-01;7.337305e-01
23;M-11822-x40-07.tif;1921;848.475273;788.434669;40.421821;61.868348;1.163911;1.530568;0.653352;0.638999;70.000000;0.757054;167.621000;0.614531;3.906804e-01;7.626860e-01
24;M-11822-x40-07.tif;1994;949.896189;396.897192;37.853805;77.836404;1.680165;2.056237;0.486325;0.419054;477.000000;0.873778;205.184000;0.593928;3.999937e-01;6.862330e-01
25;M-11822-x40-07.tif;3035;978.982208;762.457661;45.359755;100.396230;1.781696;2.213333;0.451807;0.383384;506.000000;0.892116;260.676000;0.591171;3.995635e-01;6.948188e-01
26;M-11822-x40-07.tif;1022;1007.672211;522.085127;28.876139;46.114320;1.098047;1.596970;0.626186;0.611913;33.000000;0.779674;118.752000;0.575887;3.927169e-01;6.773849e-01
27;M-11822-x40-07.tif;1508;1031.763926;671.767241;42.800411;46.413018;1.124619;1.084406;0.922164;0.891316;97.000000;0.386799;145.985000;0.609301;3.906804e-01;9.071170e-01
28;M-11822-x40-07.tif;854;1057.673302;599.233021;27.306128;40.551953;1.101740;1.485086;0.673362;0.661218;29.000000;0.739313;108.736000;0.561742;3.805118e-01;6.997974e-01
29;M-11822-x40-07.tif;1031;1100.472357;659.809893;33.517151;39.902984;1.036486;1.190524;0.839966;0.824438;42.000000;0.542639;115.882000;0.563455;4.043532e-01;6.603366e-01
30;M-11822-x40-07.tif;1146;1147.237347;670.513089;25.011907;59.235675;1.356154;2.368299;0.422244;0.415842;74.000000;0.906482;139.750000;0.552857;3.900702e-01;6.525054e-01
31;M-11822-x40-07.tif;933;1175.836013;466.653805;31.131155;38.459310;1.010141;1.235396;0.809457;0.803135;31.000000;0.587179;108.827000;0.593185;3.821533e-01;7.139473e-01
32;M-11822-x40-07.tif;1022;1181.939335;378.866928;29.125925;45.882530;1.172998;1.575316;0.634793;0.618111;78.000000;0.772682;122.738000;0.619477;4.218353e-01;7.099667e-01
33;M-11822-x40-07.tif;788;1290.304569;152.848985;30.673898;33.229713;1.059625;1.083322;0.923086;0.908622;39.000000;0.384592;102.434000;0.669827;5.128427e-01;7.149771e-01
34;M-11822-x40-07.tif;1018;1352.949902;461.835953;24.529919;53.109736;1.234600;2.165100;0.461872;0.459526;35.000000;0.886946;125.673000;0.601502;3.824987e-01;6.979462e-01
35;M-11822-x40-07.tif;3628;1392.006891;549.340684;62.057633;84.265611;1.814416;1.357861;0.736453;0.650544;844.000000;0.676489;287.612000;0.623495;3.847607e-01;9.083909e-01
36;M-11822-x40-07.tif;3255;1418.056528;704.974501;49.111473;103.706939;1.926506;2.111664;0.473560;0.385341;1133.000000;0.880761;280.715000;0.611747;3.950726e-01;7.101609e-01
37;M-11822-x40-07.tif;3619;1430.933131;400.428295;43.924061;162.660804;2.849495;3.703228;0.270035;0.174154;1980.000000;0.962851;359.984000;0.607838;3.688737e-01;9.547385e-01
38;M-11822-x40-07.tif;933;1447.929260;496.553055;27.022990;49.498790;1.469042;1.831729;0.545932;0.484845;120.000000;0.837829;131.239000;0.585859;3.788429e-01;7.272549e-01
39;M-11822-x40-07.tif;851;1473.237368;427.184489;27.280683;39.861071;1.016844;1.461146;0.684394;0.681933;14.000000;0.729112;104.279000;0.613531;3.927169e-01;7.315018e-01
40;M-11822-x40-07.tif;1180;1481.424576;301.753390;36.337577;43.368230;1.203636;1.193482;0.837885;0.798820;80.000000;0.545847;133.596000;0.580709;3.966020e-01;7.078615e-01
41;M-11822-x40-07.tif;6754;1525.041605;500.163459;75.130543;161.204912;2.982811;2.145664;0.466056;0.330914;2759.000000;0.884755;503.151000;0.617468;3.751550e-01;9.166141e-01
42;M-11822-x40-07.tif;2329;1523.582224;198.339631;50.800223;62.811710;1.349000;1.236446;0.808770;0.751620;222.000000;0.588125;198.699000;0.635349;3.927169e-01;7.804571e-01
43;M-11822-x40-07.tif;1009;1539.717542;62.813677;28.330067;45.749026;1.064686;1.614858;0.619250;0.613815;23.000000;0.785194;116.188000;0.601509;3.883820e-01;6.951560e-01
