No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11822-x40-07.tif;613;273.236542;137.644372;23.841194;33.303947;1.051607;1.396908;0.715867;0.703686;15.000000;0.698237;90.004000;160.833605;129;176
2;M-11822-x40-07.tif;930;278.235484;102.092473;28.469340;44.022276;1.293010;1.546305;0.646703;0.611010;86.000000;0.762742;122.927000;156.916129;128;170
3;M-11822-x40-07.tif;2416;322.373344;205.893626;45.042146;71.719262;1.336628;1.592270;0.628034;0.598047;175.000000;0.778186;201.446000;164.627483;130;183
4;M-11822-x40-07.tif;782;347.028133;243.543478;26.857971;37.996291;1.083700;1.414712;0.706858;0.689659;25.000000;0.707356;103.196000;159.186701;127;171
5;M-11822-x40-07.tif;1274;362.104396;194.678179;36.480184;45.513329;1.114410;1.247618;0.801527;0.783073;55.000000;0.597958;133.571000;160.910518;132;172
6;M-11822-x40-07.tif;956;541.683054;116.873431;32.312006;41.078160;1.354062;1.271297;0.786598;0.721350;128.000000;0.617465;127.542000;154.346234;125;169
7;M-11822-x40-07.tif;724;546.247238;191.874309;25.851847;36.406418;1.091763;1.408271;0.710090;0.695493;22.000000;0.704111;99.664000;159.287293;130;172
8;M-11822-x40-07.tif;1277;562.749413;160.524667;38.249477;44.135711;1.216303;1.153891;0.866633;0.834681;100.000000;0.498946;139.708000;153.583399;128;167
9;M-11822-x40-07.tif;2326;591.625107;118.535684;52.220753;59.188473;1.321331;1.133428;0.882279;0.845368;254.000000;0.470727;196.524000;158.405417;128;172
10;M-11822-x40-07.tif;1401;633.269094;147.250535;35.287338;52.485149;1.289265;1.487365;0.672330;0.647553;158.000000;0.740252;150.659000;160.473947;129;184
11;M-11822-x40-07.tif;912;685.171053;751.496711;24.317808;48.371375;1.271083;1.989134;0.502731;0.496282;58.000000;0.864443;120.695000;155.176535;128;180
12;M-11822-x40-07.tif;659;720.192716;467.081942;24.769770;34.149254;1.009554;1.378667;0.725339;0.719504;16.000000;0.688392;91.435000;157.954476;129;173
13;M-11822-x40-07.tif;1808;847.892699;787.279314;38.278247;61.994728;1.206446;1.619581;0.617444;0.598962;96.000000;0.786615;165.561000;161.127212;130;176
14;M-11822-x40-07.tif;1000;974.090000;583.697000;33.902441;38.021844;1.014543;1.121508;0.891657;0.880732;24.000000;0.452712;112.912000;155.748000;127;166
15;M-11822-x40-07.tif;1498;1031.913218;672.986649;42.678252;46.987591;1.132902;1.100973;0.908288;0.863884;91.000000;0.418346;146.035000;161.813752;125;189
16;M-11822-x40-07.tif;750;1056.829333;599.408000;24.719319;39.222737;1.096487;1.586724;0.630229;0.620720;28.000000;0.776409;101.657000;156.525333;128;173
17;M-11822-x40-07.tif;989;1100.183013;659.526795;32.724989;39.264564;1.057632;1.199834;0.833448;0.816780;38.000000;0.552597;114.649000;152.309403;128;164
18;M-11822-x40-07.tif;857;1175.851809;466.170362;28.902805;37.989502;1.007634;1.314388;0.760810;0.756073;20.000000;0.648974;104.171000;160.740957;131;177
19;M-11822-x40-07.tif;704;1225.379261;439.892045;27.314044;33.469239;1.048393;1.225349;0.816094;0.800186;30.000000;0.577919;96.306000;160.796875;127;190
20;M-11822-x40-07.tif;3395;1391.808837;549.397938;60.546759;84.182448;2.093086;1.390371;0.719233;0.609968;1062.000000;0.694769;298.826000;163.683358;127;188
21;M-11822-x40-07.tif;1169;1453.424294;349.369547;29.141355;57.097004;1.582482;1.959312;0.510383;0.456560;187.000000;0.859947;152.469000;153.955518;125;171
22;M-11822-x40-07.tif;882;1473.418367;427.162132;27.832544;40.573849;1.023246;1.457784;0.685972;0.682160;11.000000;0.727627;106.495000;158.729025;124;175
