No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11822-x40-07.tif;2911;77.891790;334.975266;43.024741;93.554875;2.192149;2.174444;0.459888;0.423467;606.000000;0.887977;283.179000;100.742013;68;131
2;M-11822-x40-07.tif;404;144.032178;26.418317;17.457993;33.562406;1.765286;1.922466;0.520165;0.456652;81.000000;0.854066;94.668000;102.665842;85;121
3;M-11822-x40-07.tif;1508;288.637268;796.477454;42.505091;45.404437;1.036943;1.068212;0.936144;0.931354;48.000000;0.351617;140.179000;96.216180;68;129
4;M-11822-x40-07.tif;2621;353.201831;95.856925;48.619581;71.970234;1.680069;1.480273;0.675551;0.644275;343.000000;0.737313;235.235000;98.660816;71;129
5;M-11822-x40-07.tif;5554;660.478934;566.606230;77.177571;98.378704;1.902300;1.274706;0.784495;0.730657;833.000000;0.620136;364.374000;91.912495;74;128
6;M-11822-x40-07.tif;2182;672.993584;650.455087;46.275579;61.882670;1.364883;1.337264;0.747795;0.725482;153.000000;0.663929;193.455000;93.983043;66;127
7;M-11822-x40-07.tif;2211;703.987336;706.412483;47.484903;60.556537;1.103869;1.275280;0.784142;0.767674;82.000000;0.620582;175.129000;91.112166;75;124
8;M-11822-x40-07.tif;3844;726.517170;558.981009;57.429426;87.608111;1.296582;1.525492;0.655526;0.637683;315.000000;0.755172;250.263000;92.641779;80;128
9;M-11822-x40-07.tif;1471;755.862678;292.927260;41.983435;45.457331;1.204811;1.082744;0.923579;0.906390;104.000000;0.383408;149.235000;97.856560;72;132
10;M-11822-x40-07.tif;1054;751.335863;726.963947;31.850736;60.728185;2.644497;1.906649;0.524480;0.363890;424.000000;0.851423;187.153000;117.977230;84;135
11;M-11822-x40-07.tif;1857;758.111470;637.840065;47.944570;49.723342;1.066568;1.037101;0.964227;0.956316;71.000000;0.265079;157.763000;89.574044;69;123
12;M-11822-x40-07.tif;1765;774.369972;553.780737;39.244416;60.501457;1.519087;1.541658;0.648652;0.613936;223.000000;0.761085;183.556000;94.580170;77;125
13;M-11822-x40-07.tif;1656;855.361715;255.399155;38.352282;56.116649;1.306654;1.463189;0.683439;0.669556;120.000000;0.730008;164.898000;97.682971;73;126
14;M-11822-x40-07.tif;5352;940.303064;229.411809;71.899248;107.449691;3.210265;1.494448;0.669143;0.590223;1652.000000;0.743133;464.658000;105.732810;59;132
15;M-11822-x40-07.tif;785;1055.071338;599.532484;24.410998;41.947027;1.160246;1.718366;0.581948;0.568038;35.000000;0.813226;106.983000;118.903185;102;134
16;M-11822-x40-07.tif;3579;1094.542889;227.346745;65.977345;75.568854;1.976917;1.145376;0.873076;0.797969;825.000000;0.487584;298.181000;93.670299;72;134
17;M-11822-x40-07.tif;823;1135.652491;159.219927;27.688712;61.513302;2.634736;2.221602;0.450126;0.276931;501.000000;0.892965;165.072000;117.161604;94;136
18;M-11822-x40-07.tif;2537;1142.420181;285.277099;47.208361;75.103611;1.532719;1.590896;0.628576;0.572676;308.000000;0.777748;221.053000;93.398502;62;123
19;M-11822-x40-07.tif;589;1136.451613;779.750424;25.882117;29.278243;1.009869;1.131215;0.884005;0.874854;18.000000;0.467477;86.456000;103.816638;86;129
20;M-11822-x40-07.tif;676;1226.137574;438.880178;24.494092;36.046595;1.108569;1.471644;0.679512;0.662412;29.000000;0.733664;97.042000;120.031065;96;137
21;M-11822-x40-07.tif;951;1239.792850;234.800210;31.996469;38.243266;1.092613;1.195234;0.836656;0.827905;45.000000;0.547728;114.269000;93.301788;66;125
22;M-11822-x40-07.tif;944;1547.319915;256.325212;22.601663;71.865529;2.423708;3.179657;0.314499;0.232724;373.000000;0.949258;169.563000;117.574153;83;133
