No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11822-x40-07.tif;493;49.890467;552.939148;22.617024;31.011568;1.314558;1.371160;0.729309;0.652694;64.000000;0.684184;90.244000;0.447828;2.953290e-01;8.153207e-01
2;M-11822-x40-07.tif;1669;77.408029;545.769922;27.078461;83.052520;2.534093;3.067106;0.326040;0.308078;293.000000;0.945356;230.539000;0.452714;2.065165e-01;7.819804e-01
3;M-11822-x40-07.tif;1741;107.348076;547.059161;34.079992;68.785764;1.973459;2.018362;0.495451;0.468502;249.000000;0.868636;207.787000;0.426130;1.800918e-01;1.910610e+00
4;M-11822-x40-07.tif;404;134.113861;513.044554;16.791090;35.856861;1.616226;2.135470;0.468281;0.400080;91.000000;0.883580;90.583000;0.455695;2.665872e-01;6.990262e-01
5;M-11822-x40-07.tif;967;147.326784;267.634953;27.070074;47.041114;1.244892;1.737753;0.575456;0.556393;79.000000;0.817833;122.994000;0.406442;1.862430e-01;1.032899e+00
6;M-11822-x40-07.tif;1039;286.615977;799.411935;35.185738;37.801704;0.979906;1.074347;0.930798;0.925770;26.000000;0.365535;113.111000;0.270612;1.467514e-02;1.471163e+00
7;M-11822-x40-07.tif;1593;353.797238;87.671061;41.201792;50.132036;1.222294;1.216744;0.821866;0.807040;100.000000;0.569682;156.423000;0.349002;7.948732e-02;1.270572e+00
8;M-11822-x40-07.tif;335;613.050746;361.510448;15.705132;28.410152;1.250455;1.808973;0.552800;0.528455;38.000000;0.833314;72.554000;0.527367;2.341099e-01;1.581617e+00
9;M-11822-x40-07.tif;329;627.273556;347.121581;15.229084;29.633130;1.276174;1.945825;0.513921;0.477036;45.000000;0.857838;72.637000;0.467994;2.749671e-01;8.505701e-01
10;M-11822-x40-07.tif;5990;666.785309;568.866778;77.607270;100.460603;1.254094;1.294474;0.772514;0.755693;277.000000;0.634997;307.244000;0.230604;9.783478e-02;6.608721e-01
11;M-11822-x40-07.tif;564;644.874113;334.023050;23.117198;32.174609;1.084929;1.391804;0.718492;0.693686;40.000000;0.695535;87.689000;0.316535;4.498388e-02;1.200808e+00
12;M-11822-x40-07.tif;1970;678.012690;651.851777;45.151193;56.088211;1.037363;1.242231;0.805003;0.797321;60.000000;0.593270;160.252000;0.242817;2.637556e-02;1.903040e+00
13;M-11822-x40-07.tif;2057;706.167234;707.475936;46.519221;57.487450;1.165320;1.235778;0.809207;0.792498;95.000000;0.587524;173.558000;0.324282;8.076645e-02;8.594195e-01
14;M-11822-x40-07.tif;959;716.867570;388.330553;30.751941;39.976723;1.024585;1.299974;0.769246;0.764037;28.000000;0.638953;111.119000;0.232886;2.764672e-02;1.699542e+00
15;M-11822-x40-07.tif;3753;736.064748;567.107381;55.165047;89.777129;1.189724;1.627428;0.614467;0.592867;152.000000;0.788943;236.874000;0.266006;8.987724e-02;9.691298e-01
16;M-11822-x40-07.tif;1380;755.872464;292.360870;39.449109;44.819097;0.994336;1.136124;0.880185;0.874708;34.000000;0.474630;131.314000;0.264121;2.770704e-02;1.433197e+00
17;M-11822-x40-07.tif;1840;759.610326;637.779891;47.343291;49.782361;1.010873;1.051519;0.951005;0.945316;51.000000;0.309174;152.884000;0.300460;8.835383e-02;1.208968e+00
18;M-11822-x40-07.tif;1671;777.828845;556.183124;38.245536;56.461515;1.120460;1.476290;0.677374;0.667393;87.000000;0.735639;153.388000;0.277435;1.066249e-01;1.111457e+00
19;M-11822-x40-07.tif;2257;805.693398;657.561365;48.213308;61.778039;1.143974;1.281348;0.780428;0.752963;127.000000;0.625246;180.127000;0.243968;5.871543e-02;1.811944e+00
20;M-11822-x40-07.tif;1074;813.145251;285.748603;26.349387;56.000829;1.725443;2.125318;0.470518;0.436039;206.000000;0.882391;152.601000;0.437866;2.862053e-01;9.542578e-01
21;M-11822-x40-07.tif;1867;833.810927;623.549545;40.770891;59.019809;1.086371;1.447597;0.690800;0.682431;73.000000;0.723046;159.649000;0.297500;7.324615e-02;1.173611e+00
