No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11830a-x40-02.tif;6687;126.707791;342.130701;84.590896;107.375254;1.258589;1.269348;0.787806;0.738470;414.000000;0.615923;325.209000;123.641394;93;197
2;M-11830a-x40-02.tif;1010;184.441584;246.495050;28.681888;45.039043;1.031941;1.570296;0.636823;0.633947;20.000000;0.771010;114.444000;123.255446;76;207
3;M-11830a-x40-02.tif;4955;220.593138;63.278103;57.186972;111.337205;1.199325;1.946898;0.513638;0.508948;158.000000;0.858007;273.272000;123.000605;84;204
4;M-11830a-x40-02.tif;1550;250.372258;157.829677;23.552176;94.433374;2.868180;4.009539;0.249405;0.221305;420.000000;0.968399;236.360000;151.776774;99;202
5;M-11830a-x40-02.tif;1226;238.119086;324.683524;37.334343;42.638609;1.094284;1.142075;0.875599;0.858607;59.000000;0.483038;129.842000;123.772431;79;195
6;M-11830a-x40-02.tif;898;292.604677;353.651448;31.928353;35.934436;0.968676;1.125471;0.888517;0.885452;13.000000;0.458844;104.552000;118.516704;65;208
7;M-11830a-x40-02.tif;4080;369.787500;211.612745;51.714514;122.075053;2.763454;2.360557;0.423629;0.348591;1497.000000;0.905836;376.410000;129.722059;77;210
8;M-11830a-x40-02.tif;1203;368.597672;393.853699;34.256702;45.055114;1.021643;1.315220;0.760329;0.754549;28.000000;0.649538;124.276000;121.495428;77;197
9;M-11830a-x40-02.tif;328;371.539634;286.250000;9.552278;48.256989;2.231324;5.051883;0.197946;0.179334;79.000000;0.980213;95.901000;158.585366;131;194
10;M-11830a-x40-02.tif;1467;522.801636;421.348330;30.189006;71.721721;2.117524;2.375756;0.420919;0.363111;391.000000;0.907098;197.576000;145.045671;93;216
11;M-11830a-x40-02.tif;2954;536.009140;190.495599;61.490887;61.766746;1.037632;1.004486;0.995534;0.985851;88.000000;0.094405;196.260000;133.939066;87;211
12;M-11830a-x40-02.tif;1538;586.328349;27.096879;34.812213;56.578945;1.058908;1.625261;0.615286;0.611726;28.000000;0.788304;143.058000;120.195059;78;203
13;M-11830a-x40-02.tif;2969;653.754463;487.007410;58.019514;67.407771;1.299933;1.161812;0.860724;0.831956;223.000000;0.509071;220.227000;128.208151;83;209
14;M-11830a-x40-02.tif;975;678.970256;668.633846;25.029014;50.000128;1.166734;1.997687;0.500579;0.496561;29.000000;0.865691;119.562000;151.348718;110;203
15;M-11830a-x40-02.tif;3823;713.817682;374.625425;62.282255;84.167445;1.361211;1.351387;0.739980;0.687110;457.000000;0.672629;255.723000;130.154329;84;202
16;M-11830a-x40-02.tif;3283;705.939689;468.535790;45.486960;98.821907;1.659779;2.172533;0.460292;0.428030;516.000000;0.887767;261.677000;132.297289;82;206
17;M-11830a-x40-02.tif;3119;745.397243;552.795447;59.197160;67.360627;1.013369;1.137903;0.878810;0.875212;59.000000;0.477173;199.295000;125.799295;75;204
18;M-11830a-x40-02.tif;1110;745.703604;454.828829;31.869981;45.273953;1.205404;1.420583;0.703936;0.689503;97.000000;0.710263;129.668000;151.820721;113;184
19;M-11830a-x40-02.tif;2914;771.982155;327.767673;59.575001;63.690824;1.062988;1.069086;0.935378;0.914631;94.000000;0.353649;197.294000;127.365134;88;201
20;M-11830a-x40-02.tif;1326;781.483409;795.312971;38.189549;45.239220;1.054354;1.184597;0.844169;0.824942;48.000000;0.536077;132.547000;118.526395;56;196
21;M-11830a-x40-02.tif;3177;799.486937;406.480327;54.849569;74.156896;1.032040;1.352005;0.739642;0.735570;60.000000;0.673000;202.984000;126.426818;87;193
22;M-11830a-x40-02.tif;4842;822.339942;566.444651;67.064552;92.526456;1.051304;1.379663;0.724815;0.720117;108.000000;0.688944;252.919000;118.185874;81;196
