No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11830a-x40-02.tif;5237;125.816116;339.805423;79.015876;85.360077;1.082937;1.080290;0.925677;0.915131;150.000000;0.378314;266.961000;134.517281;111;195
2;M-11830a-x40-02.tif;1024;184.620117;246.349609;28.837022;45.398239;1.033187;1.574304;0.635201;0.632604;24.000000;0.772347;115.304000;128.889648;81;211
3;M-11830a-x40-02.tif;4533;219.553055;62.480697;54.015992;107.470131;1.207034;1.989598;0.502614;0.499713;140.000000;0.864511;262.215000;134.039929;94;202
4;M-11830a-x40-02.tif;1373;251.428259;156.834669;22.360502;91.937780;3.059627;4.111615;0.243213;0.206820;418.000000;0.969973;229.760000;159.504734;102;214
5;M-11830a-x40-02.tif;1078;237.958256;326.235622;33.170662;41.777342;1.014787;1.259467;0.793987;0.786407;39.000000;0.607935;117.247000;130.440631;90;201
6;M-11830a-x40-02.tif;874;292.774600;354.092677;31.411234;35.605555;0.965422;1.133529;0.882200;0.877781;17.000000;0.470874;102.972000;127.092677;70;212
7;M-11830a-x40-02.tif;3539;368.430630;207.444476;46.723254;104.166564;1.858235;2.229437;0.448544;0.415273;565.000000;0.893761;287.472000;135.881322;87;215
8;M-11830a-x40-02.tif;1104;368.999094;394.530797;33.539735;42.128668;1.010967;1.256082;0.796126;0.791997;27.000000;0.605131;118.429000;128.594203;89;198
9;M-11830a-x40-02.tif;2682;536.984713;190.132737;58.062899;59.431556;1.028926;1.023572;0.976971;0.966796;73.000000;0.213373;186.220000;144.917226;105;206
10;M-11830a-x40-02.tif;1491;586.326626;26.513749;34.471087;55.295201;1.053859;1.604104;0.623401;0.620887;36.000000;0.781902;140.519000;129.603622;91;209
11;M-11830a-x40-02.tif;2541;657.224321;487.194412;49.536314;67.385380;1.214940;1.360323;0.735120;0.712498;202.000000;0.677937;196.963000;141.133018;103;210
12;M-11830a-x40-02.tif;2455;703.396741;475.266395;42.931241;75.655955;1.298043;1.762259;0.567454;0.546104;181.000000;0.823405;200.113000;140.871690;94;209
13;M-11830a-x40-02.tif;2772;718.858586;369.268759;47.985731;75.540596;1.260982;1.574230;0.635231;0.618504;180.000000;0.772322;209.583000;138.636724;101;203
14;M-11830a-x40-02.tif;2547;744.972124;554.817825;51.724592;62.958019;1.054027;1.217178;0.821573;0.818158;75.000000;0.570104;183.673000;137.600707;87;206
15;M-11830a-x40-02.tif;2600;771.593077;328.091154;54.965463;61.440796;1.054684;1.117807;0.894609;0.876940;85.000000;0.446851;185.632000;140.595385;107;201
16;M-11830a-x40-02.tif;1202;781.777038;795.359401;37.678599;41.018984;0.996545;1.088655;0.918565;0.909588;23.000000;0.395270;122.689000;127.280366;76;206
17;M-11830a-x40-02.tif;2800;799.421786;406.508214;51.634851;69.471463;1.048786;1.345437;0.743253;0.738678;70.000000;0.669011;192.100000;140.826429;106;199
