No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11830a-x40-02.tif;405;55.772840;108.358025;10.261812;59.529732;2.846187;5.801094;0.172381;0.145511;119.000000;0.985030;120.355000;83.962963;67;100
2;M-11830a-x40-02.tif;702;94.653846;354.186610;25.874464;46.123990;2.313461;1.782607;0.560976;0.420139;249.000000;0.827832;142.858000;83.257835;63;100
3;M-11830a-x40-02.tif;854;184.348946;246.181499;25.837493;42.312840;1.072792;1.637653;0.610630;0.607328;22.000000;0.791916;107.298000;70.896956;36;100
4;M-11830a-x40-02.tif;3951;218.192609;62.105037;50.150079;101.338908;1.397869;2.020713;0.494875;0.489852;281.000000;0.868964;263.446000;71.280435;41;100
5;M-11830a-x40-02.tif;953;237.729276;325.620147;31.429221;38.990812;1.025976;1.240591;0.806067;0.798139;33.000000;0.591824;110.846000;70.310598;42;100
6;M-11830a-x40-02.tif;771;292.408560;353.575875;29.585576;33.455948;1.011635;1.130820;0.884314;0.877037;25.000000;0.466892;99.002000;68.692607;25;100
7;M-11830a-x40-02.tif;438;339.114155;180.579909;14.888567;38.405572;1.303015;2.579534;0.387667;0.378090;27.000000;0.921800;84.687000;71.271689;39;100
8;M-11830a-x40-02.tif;2652;373.134615;212.435897;44.137060;80.067723;1.513148;1.814070;0.551247;0.526707;335.000000;0.834342;224.560000;76.757541;41;100
9;M-11830a-x40-02.tif;934;368.420771;393.608137;31.164679;38.570141;1.133216;1.237624;0.808000;0.799382;43.000000;0.589182;115.328000;67.821199;40;100
10;M-11830a-x40-02.tif;2408;537.560631;190.539867;55.391290;56.425725;1.205794;1.018675;0.981667;0.962969;153.000000;0.190602;191.016000;82.524917;48;100
11;M-11830a-x40-02.tif;1346;586.335067;26.627043;32.282912;53.451350;1.083211;1.655717;0.603968;0.599843;38.000000;0.797008;135.358000;70.340267;41;100
