No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11830a-x40-03.tif;4552;74.215290;82.246485;66.091940;102.576441;3.129478;1.552026;0.644319;0.550829;1587.000000;0.764757;423.099000;0.547261;0;6.784984e-01
2;M-11830a-x40-03.tif;1031;40.155189;745.777886;32.810592;40.208557;1.019987;1.225475;0.816010;0.811955;27.000000;0.578038;114.956000;0.681367;3.699346e-02;8.665302e-01
3;M-11830a-x40-03.tif;1349;108.034841;519.428466;39.594496;44.820016;1.325894;1.131976;0.883411;0.855024;170.000000;0.468599;149.922000;0.634065;8.701918e-03;7.169265e-01
4;M-11830a-x40-03.tif;1849;181.960519;736.804759;40.633046;59.488062;1.313512;1.464032;0.683045;0.665254;171.000000;0.730376;174.699000;0.628128;1.936878e-02;7.037604e-01
5;M-11830a-x40-03.tif;1522;260.398817;738.419842;36.053604;59.826108;1.687333;1.659366;0.602640;0.541431;284.000000;0.798013;179.644000;0.647772;1.699337e-02;1
6;M-11830a-x40-03.tif;371;270.388140;414.905660;15.430681;32.788505;1.493254;2.124890;0.470613;0.439381;60.000000;0.882340;83.437000;0.553645;5.370902e-01;5.755653e-01
7;M-11830a-x40-03.tif;1410;322.815603;712.539716;37.605549;48.827961;1.172167;1.298424;0.770164;0.752995;90.000000;0.637846;144.115000;0.634863;4.615473e-01;7.345666e-01
8;M-11830a-x40-03.tif;794;360.848866;641.551637;33.726499;41.102513;2.346562;1.218701;0.820546;0.598403;351.000000;0.571581;153.014000;0.607505;4.867800e-01;7.913535e-01
9;M-11830a-x40-03.tif;503;411.113320;307.632207;18.931728;43.434943;2.057340;2.294294;0.435864;0.339469;141.000000;0.900013;114.036000;0.531630;4.982159e-01;5.506312e-01
10;M-11830a-x40-03.tif;3671;436.031327;392.970580;45.194496;176.224618;6.327994;3.899250;0.256460;0.150509;3134.000000;0.966555;540.294000;0.514825;2.792708e-03;5.873632e-01
11;M-11830a-x40-03.tif;6040;488.486093;532.270364;88.187893;122.817477;6.349689;1.392680;0.718040;0.509832;3423.000000;0.696002;694.224000;0.506310;2.792708e-03;5.754922e-01
12;M-11830a-x40-03.tif;1805;532.879778;55.396676;38.984777;75.469490;3.974150;1.935871;0.516563;0.403501;767.000000;0.856249;300.238000;0.523863;4.031339e-01;5.744982e-01
13;M-11830a-x40-03.tif;310;520.745161;260.500000;18.274858;24.153656;1.625807;1.321688;0.756608;0.676560;54.000000;0.653868;79.583000;0.504329;0;5.941893e-01
14;M-11830a-x40-03.tif;1137;625.590150;104.889182;36.594313;55.440558;3.395910;1.515005;0.660064;0.470994;522.000000;0.751209;220.274000;0.538267;8.456793e-03;6.235201e-01
15;M-11830a-x40-03.tif;440;652.968182;43.131818;18.828265;33.134653;1.427333;1.759836;0.568235;0.510268;56.000000;0.822866;88.837000;0.522910;4.031204e-01;5.617789e-01
16;M-11830a-x40-03.tif;1235;742.485830;611.563563;33.518670;48.837212;1.189394;1.457015;0.686335;0.659288;95.000000;0.727286;135.863000;0.667141;4.010570e-02;7.809887e-01
17;M-11830a-x40-03.tif;567;784.798942;62.218695;20.348765;40.107361;2.036066;1.970997;0.507357;0.448792;88.000000;0.861736;120.446000;0.543144;4.754597e-01;5.813262e-01
18;M-11830a-x40-03.tif;1195;824.768201;618.316318;25.446429;60.620687;1.315049;2.382287;0.419765;0.414034;71.000000;0.907633;140.527000;0.654103;5.664456e-03;7.582697e-01
19;M-11830a-x40-03.tif;6218;895.065938;205.730621;75.318828;119.907333;1.816988;1.591997;0.628142;0.550642;944.000000;0.778099;376.796000;0.683543;5.476886e-01;8.146317e-01
20;M-11830a-x40-03.tif;3052;902.730668;110.292267;54.349340;75.263645;1.310959;1.384813;0.722119;0.686000;229.000000;0.691768;224.229000;0.659032;2.490272e-02;7.486841e-01
21;M-11830a-x40-03.tif;613;878.538336;41.287113;17.792160;50.266174;2.064042;2.825187;0.353959;0.308901;163.000000;0.935261;126.094000;0.523785;5.059981e-01;5.617789e-01
22;M-11830a-x40-03.tif;4759;955.915108;448.467115;68.719913;91.483420;1.475620;1.331251;0.751173;0.724004;553.000000;0.660105;297.064000;0.691200;3.685193e-02;8.147549e-01
23;M-11830a-x40-03.tif;5261;974.463220;232.822467;65.049859;106.427080;1.506096;1.636085;0.611215;0.591390;487.000000;0.791464;315.548000;0.667625;1.396354e-02;7.988954e-01
24;M-11830a-x40-03.tif;2915;1000.284048;158.852144;46.676243;98.626316;3.640817;2.112987;0.473264;0.381560;1007.000000;0.880921;365.194000;0.621677;3.630521e-02;7.449859e-01
25;M-11830a-x40-03.tif;4156;1035.328681;672.977141;54.113755;126.873213;3.461256;2.344565;0.426518;0.328735;1445.000000;0.904479;425.167000;0.612701;2.859202e-02;7.625903e-01
26;M-11830a-x40-03.tif;3682;1072.944867;52.101304;59.442902;99.731427;2.585232;1.677768;0.596030;0.471335;1416.000000;0.802962;345.857000;0.639919;4.560976e-01;8.254309e-01
27;M-11830a-x40-03.tif;323;1110.640867;500.473684;16.229907;29.428499;1.820796;1.813227;0.551503;0.474872;85.000000;0.834173;85.968000;0.562239;4.735968e-02;6.529060e-01
28;M-11830a-x40-03.tif;307;1166.117264;391.811075;17.366388;29.084804;2.226265;1.674776;0.597095;0.462079;85.000000;0.802171;92.675000;0.582702;4.588271e-01;7.046929e-01
29;M-11830a-x40-03.tif;682;1273.813783;460.668622;36.061671;44.988808;3.218791;1.247552;0.801570;0.429028;521.000000;0.597901;166.090000;0.620187;5.560101e-01;6.878666e-01
30;M-11830a-x40-03.tif;630;1265.685714;556.784127;22.041252;39.014650;1.378952;1.770074;0.564948;0.526981;70.000000;0.825126;104.484000;0.546560;0;6.003092e-01
31;M-11830a-x40-03.tif;3509;1309.600456;777.500997;62.122566;80.884656;2.329980;1.302017;0.768039;0.682906;862.000000;0.640403;320.533000;0.578776;0;6.434126e-01
32;M-11830a-x40-03.tif;1981;1333.839980;589.415952;38.106813;74.639700;2.462475;1.958697;0.510543;0.452746;489.000000;0.859852;247.590000;0.513004;2.792708e-03;5.924454e-01
33;M-11830a-x40-03.tif;2498;1410.475580;743.452762;50.819297;66.978036;1.746839;1.317965;0.758746;0.708986;286.000000;0.651387;234.168000;0.590024;5.116360e-01;6.832118e-01
