No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11830a-x40-03.tif;971;40.881565;745.885685;32.972754;37.657883;0.970181;1.142091;0.875587;0.871801;18.000000;0.483060;108.803000;119.998970;75;195
2;M-11830a-x40-03.tif;1216;139.000000;487.470395;35.124767;44.474513;1.032223;1.266187;0.789773;0.782747;27.000000;0.613399;125.591000;123.825658;87;196
3;M-11830a-x40-03.tif;1107;255.850045;741.380307;36.024618;39.814715;1.028179;1.105209;0.904807;0.889141;31.000000;0.425823;119.595000;122.757904;62;214
4;M-11830a-x40-03.tif;1083;296.563250;177.191136;30.538020;45.497553;1.068914;1.489866;0.671201;0.666135;30.000000;0.741275;120.612000;122.979686;87;206
5;M-11830a-x40-03.tif;393;632.829517;259.933842;12.912865;47.197600;2.067045;3.655083;0.273592;0.224627;98.000000;0.961846;101.036000;135.648855;105;182
6;M-11830a-x40-03.tif;2109;682.836890;198.719298;41.937332;65.428192;1.255428;1.560142;0.640967;0.627273;113.000000;0.767568;182.406000;114.498815;85;208
7;M-11830a-x40-03.tif;561;690.814617;588.272727;13.510901;64.381445;2.559683;4.765148;0.209857;0.172326;180.000000;0.977732;134.332000;127.363636;70;213
8;M-11830a-x40-03.tif;3723;819.973946;219.130271;58.069790;82.324415;1.206684;1.417681;0.705377;0.699433;162.000000;0.708832;237.601000;110.484555;76;187
9;M-11830a-x40-03.tif;1147;826.264167;774.794246;36.436142;40.325404;1.014818;1.106742;0.903553;0.898082;35.000000;0.428476;120.943000;124.065388;48;203
10;M-11830a-x40-03.tif;2213;868.140985;524.070493;45.315589;65.687247;1.649431;1.449551;0.689869;0.653024;316.000000;0.723934;214.172000;121.407140;71;199
11;M-11830a-x40-03.tif;2809;912.116412;572.587042;55.588689;64.622814;1.058057;1.162517;0.860202;0.856427;85.000000;0.509953;193.257000;126.679601;93;207
12;M-11830a-x40-03.tif;1538;928.258127;357.241873;45.557957;49.634797;1.521780;1.089487;0.917863;0.794866;252.000000;0.396897;171.498000;116.336801;61;196
13;M-11830a-x40-03.tif;2294;945.804708;306.606364;41.428509;74.604861;1.504181;1.800810;0.555306;0.524770;304.000000;0.831646;208.234000;130.199651;87;195
14;M-11830a-x40-03.tif;3633;955.269474;446.608863;64.830136;72.210913;1.206206;1.113848;0.897789;0.887094;191.000000;0.440427;234.665000;123.399945;89;192
15;M-11830a-x40-03.tif;979;1048.963228;30.358529;30.770513;41.160922;1.068752;1.337674;0.747566;0.735737;41.000000;0.664187;114.666000;114.708887;75;196
16;M-11830a-x40-03.tif;1807;1314.125623;74.478141;43.309977;61.170400;1.551664;1.412386;0.708022;0.614873;278.000000;0.706191;187.708000;111.890426;60;203
17;M-11830a-x40-03.tif;1415;1311.667845;186.265018;37.476760;55.892295;1.650862;1.491385;0.670517;0.576717;306.000000;0.741894;171.332000;132.708834;68;203
18;M-11830a-x40-03.tif;1137;1419.017590;383.970976;26.993986;59.479029;1.571541;2.203418;0.453840;0.409207;142.000000;0.891083;149.847000;121.416887;72;207
19;M-11830a-x40-03.tif;631;1425.179081;176.488114;27.299096;29.824277;1.069280;1.092501;0.915331;0.903233;23.000000;0.402702;92.080000;100.565769;40;194
20;M-11830a-x40-03.tif;992;1470.008065;190.799395;34.318268;37.003106;0.995053;1.078233;0.927443;0.922456;27.000000;0.373965;111.374000;110.260081;78;185
21;M-11830a-x40-03.tif;970;1564.070103;385.427835;31.512103;39.824141;1.041645;1.263773;0.791281;0.778734;33.000000;0.611452;112.681000;116.694845;80;198
