No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11830a-x40-03.tif;383;19.749347;790.430809;12.916845;44.308832;2.115141;3.430314;0.291519;0.248387;112.000000;0.956565;100.896000;106.950392;91;121
2;M-11830a-x40-03.tif;1011;41.637982;746.038576;33.360343;38.813529;1.041650;1.163463;0.859503;0.854466;37.000000;0.511131;115.038000;97.927794;77;122
3;M-11830a-x40-03.tif;1239;139.628733;488.217111;35.392344;44.856540;1.022959;1.267408;0.789012;0.784025;37.000000;0.614378;126.203000;97.281679;79;121
4;M-11830a-x40-03.tif;1202;257.408486;740.741265;36.610500;43.848947;1.240701;1.197715;0.834923;0.795969;98.000000;0.550367;136.896000;99.282862;79;127
5;M-11830a-x40-03.tif;1142;297.534151;176.491243;31.698644;46.305167;1.178650;1.460793;0.684560;0.678137;61.000000;0.728957;130.056000;99.163748;84;127
6;M-11830a-x40-03.tif;2414;614.812345;262.272162;47.190507;65.753140;1.142837;1.393355;0.717692;0.710910;115.000000;0.696361;186.194000;94.935377;79;125
7;M-11830a-x40-03.tif;538;634.187732;402.793680;22.424124;33.404924;1.321688;1.489687;0.671282;0.613863;62.000000;0.741202;94.528000;115.291822;92;128
8;M-11830a-x40-03.tif;3867;818.309284;218.440910;58.337942;84.869953;1.220463;1.454799;0.687380;0.683560;199.000000;0.726298;243.531000;93.838635;77;118
9;M-11830a-x40-03.tif;1189;826.339781;775.248108;36.957730;41.175528;1.050928;1.114125;0.897565;0.892922;47.000000;0.440881;125.309000;99.506308;77;127
10;M-11830a-x40-03.tif;3218;902.472654;182.768490;59.001038;70.154449;1.151358;1.189038;0.841016;0.832503;150.000000;0.541010;215.776000;96.413300;82;126
11;M-11830a-x40-03.tif;2827;912.544393;573.227450;56.136057;64.455462;1.146402;1.148201;0.870928;0.866396;146.000000;0.491411;201.807000;98.517510;88;128
12;M-11830a-x40-03.tif;1684;929.208432;357.185867;49.093265;50.826628;1.622570;1.035308;0.965897;0.829984;245.000000;0.258928;185.301000;96.509501;75;119
13;M-11830a-x40-03.tif;554;992.081227;438.754513;18.844825;39.180045;1.360987;2.079088;0.480980;0.459505;51.000000;0.876731;97.339000;113.774368;97;128
14;M-11830a-x40-03.tif;1107;1047.782294;30.161698;35.803771;41.380503;1.433806;1.155758;0.865233;0.823126;147.000000;0.501370;141.229000;98.766938;76;125
15;M-11830a-x40-03.tif;897;1299.081382;82.042363;32.316818;36.126516;1.143858;1.117886;0.894546;0.875085;60.000000;0.446977;113.550000;99.227425;73;126
16;M-11830a-x40-03.tif;1014;1323.929980;67.776134;25.555890;51.903533;1.311133;2.030981;0.492373;0.479241;93.000000;0.870384;129.255000;97.137081;75;127
17;M-11830a-x40-03.tif;1267;1420.548540;385.019732;31.544821;60.979211;1.919204;1.933097;0.517305;0.433834;302.000000;0.855801;174.805000;102.522494;74;124
18;M-11830a-x40-03.tif;659;1424.107739;174.159332;27.023198;31.334564;0.991025;1.159543;0.862409;0.854571;14.000000;0.506213;90.592000;99.661608;74;125
19;M-11830a-x40-03.tif;1022;1469.357143;190.301370;34.167774;38.296021;0.988505;1.120823;0.892202;0.887266;24.000000;0.451637;112.673000;95.118395;71;129
20;M-11830a-x40-03.tif;1017;1563.076696;385.706981;31.512398;42.069316;1.145467;1.335008;0.749059;0.731645;65.000000;0.662503;120.992000;99.211406;77;125
