No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11830a-x40-03.tif;366;20.106557;789.994536;12.787750;43.068716;2.074830;3.367967;0.296915;0.251228;112.000000;0.954904;97.687000;147.721311;134;163
2;M-11830a-x40-03.tif;1117;41.021486;746.598030;37.157973;39.006278;1.196927;1.049742;0.952615;0.934747;76.000000;0.304178;129.618000;155.451209;133;178
3;M-11830a-x40-03.tif;1272;139.729560;488.121855;35.718397;45.580073;1.010969;1.276095;0.783641;0.779556;27.000000;0.621214;127.121000;157.300314;134;176
4;M-11830a-x40-03.tif;1276;257.556426;740.141850;37.939822;44.587750;1.280011;1.175223;0.850902;0.817202;139.000000;0.525324;143.264000;154.635580;125;176
5;M-11830a-x40-03.tif;1158;297.573402;176.497409;31.699134;46.892051;1.132846;1.479285;0.676002;0.670533;55.000000;0.736900;128.394000;155.644214;128;171
6;M-11830a-x40-03.tif;2414;614.809031;262.288318;47.184955;65.771038;1.134835;1.393898;0.717412;0.710523;114.000000;0.696649;185.541000;160.059238;130;176
7;M-11830a-x40-03.tif;545;634.266055;402.726606;22.740594;33.235163;1.325108;1.461491;0.684233;0.628219;63.000000;0.729264;95.264000;139.831193;127;163
8;M-11830a-x40-03.tif;3881;818.259212;218.418191;58.574893;84.815298;1.202883;1.447980;0.690617;0.686919;192.000000;0.723221;242.208000;161.115692;137;178
9;M-11830a-x40-03.tif;1203;826.179551;775.285121;37.164150;41.433000;1.040074;1.114865;0.896970;0.892243;47.000000;0.442092;125.392000;155.335827;128;178
10;M-11830a-x40-03.tif;498;849.413655;551.323293;21.411312;36.230258;1.753050;1.692108;0.590979;0.483055;133.000000;0.806687;104.741000;139.004016;128;156
11;M-11830a-x40-03.tif;3216;902.467040;182.761505;58.985071;70.135818;1.153046;1.189044;0.841012;0.832428;152.000000;0.541016;215.867000;158.600124;129;173
12;M-11830a-x40-03.tif;2836;912.548307;573.237659;56.390697;64.365480;1.153559;1.141420;0.876102;0.871586;151.000000;0.482127;202.758000;156.437941;127;167
13;M-11830a-x40-03.tif;1692;929.131206;357.183215;48.757121;51.024415;1.581624;1.046502;0.955565;0.827474;236.000000;0.294782;183.382000;158.423759;136;180
14;M-11830a-x40-03.tif;2981;954.835290;223.446494;54.321026;71.435320;1.439304;1.315058;0.760423;0.743783;233.000000;0.649429;232.200000;157.939282;130;173
15;M-11830a-x40-03.tif;560;992.048214;438.566071;18.828990;39.592210;1.383030;2.102726;0.475573;0.454861;52.000000;0.879676;98.654000;141.166071;127;158
16;M-11830a-x40-03.tif;1133;1047.559576;30.127979;36.567018;41.741743;1.463443;1.141513;0.876030;0.827940;169.000000;0.482257;144.347000;155.839365;130;179
17;M-11830a-x40-03.tif;893;1298.852184;82.160134;31.920610;36.388017;1.118886;1.139954;0.877229;0.858707;50.000000;0.480073;112.053000;155.556551;129;182
18;M-11830a-x40-03.tif;1043;1323.699904;67.703739;26.265151;51.879384;1.289573;1.975217;0.506273;0.493406;95.000000;0.862373;130.008000;157.601151;128;180
19;M-11830a-x40-03.tif;1298;1420.472265;385.112481;31.520383;61.813271;1.840548;1.961057;0.509929;0.432535;287.000000;0.860216;173.267000;152.104777;131;181
20;M-11830a-x40-03.tif;718;1424.096100;174.664345;28.604072;32.271735;1.042669;1.128222;0.886351;0.877789;27.000000;0.463015;96.993000;153.827298;130;181
21;M-11830a-x40-03.tif;1028;1469.317121;190.273346;34.282098;38.390892;0.979563;1.119852;0.892975;0.888069;20.000000;0.450107;112.491000;159.794747;126;184
22;M-11830a-x40-03.tif;1086;1562.776243;385.077348;33.095639;42.690060;1.168743;1.289900;0.775254;0.758729;80.000000;0.631650;126.293000;155.090239;130;178
