No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11830a-x40-04.tif;865;37.943353;540.602312;33.061254;35.331430;1.177540;1.068666;0.935746;0.882275;61.000000;0.352674;113.136000;227.132948;183;255
2;M-11830a-x40-04.tif;814;238.218673;350.968059;30.768262;35.281742;1.247471;1.146693;0.872073;0.832596;68.000000;0.489375;112.962000;217.893120;151;255
3;M-11830a-x40-04.tif;780;286.332051;56.861538;24.501102;41.949720;1.219702;1.712156;0.584059;0.564347;52.000000;0.811711;109.340000;220.325641;182;255
4;M-11830a-x40-04.tif;622;308.694534;678.154341;27.472378;29.117181;0.990257;1.059871;0.943511;0.934118;20.000000;0.331341;87.978000;224.453376;175;255
5;M-11830a-x40-04.tif;611;330.769231;213.864157;24.912951;31.325440;0.960355;1.257396;0.795295;0.792788;12.000000;0.606223;85.870000;194.232406;114;255
6;M-11830a-x40-04.tif;4348;501.166513;364.123045;68.524715;90.774244;2.010372;1.324693;0.754892;0.671853;819.000000;0.655850;331.427000;209.937213;166;255
7;M-11830a-x40-04.tif;1371;583.262582;533.274252;36.945227;52.659535;1.685159;1.425341;0.701587;0.629497;248.000000;0.712584;170.390000;232.416484;206;255
8;M-11830a-x40-04.tif;480;581.310417;326.475000;22.105414;31.988002;1.398888;1.447066;0.691053;0.597279;58.000000;0.722804;91.858000;214.543750;145;255
9;M-11830a-x40-04.tif;1534;611.350717;345.435463;41.056861;50.877758;1.393261;1.239202;0.806971;0.754535;204.000000;0.590591;163.883000;222.305737;145;255
10;M-11830a-x40-04.tif;1163;640.879622;327.375752;31.894574;48.645617;1.260426;1.525200;0.655652;0.625752;117.000000;0.755064;135.723000;217.635426;180;255
11;M-11830a-x40-04.tif;2410;663.801660;541.984232;43.595291;74.025005;1.595670;1.698005;0.588927;0.559977;337.000000;0.808187;219.829000;229.933195;199;255
12;M-11830a-x40-04.tif;2695;700.445269;273.389981;55.345658;64.370542;1.349111;1.163064;0.859798;0.828122;269.000000;0.510634;213.751000;221.433024;166;255
13;M-11830a-x40-04.tif;2380;707.270168;175.397059;33.838269;91.436666;1.506361;2.702167;0.370073;0.362449;157.000000;0.929003;212.255000;199.437815;128;255
14;M-11830a-x40-04.tif;4724;715.350762;371.195809;51.692640;120.405987;1.483422;2.329268;0.429320;0.414881;451.000000;0.903153;296.751000;216.079594;170;255
15;M-11830a-x40-04.tif;1844;754.736985;445.603037;38.279847;63.545361;1.372669;1.660021;0.602402;0.581438;185.000000;0.798193;178.348000;216.780369;164;255
16;M-11830a-x40-04.tif;5158;784.662660;496.581815;74.531154;93.148105;1.516054;1.249787;0.800136;0.756909;577.000000;0.599819;313.475000;218.575417;172;255
17;M-11830a-x40-04.tif;3266;806.816595;197.382425;42.271377;101.929124;1.542945;2.411304;0.414713;0.400249;265.000000;0.909952;251.645000;197.724740;97;255
18;M-11830a-x40-04.tif;3688;831.502169;259.061551;66.043355;73.750477;1.273474;1.116698;0.895497;0.863319;325.000000;0.445067;242.938000;196.216920;134;255
19;M-11830a-x40-04.tif;1619;824.860408;627.054355;42.499465;49.553229;1.143861;1.165973;0.857653;0.839485;116.000000;0.514229;152.551000;219.471279;161;255
20;M-11830a-x40-04.tif;4608;849.146484;406.884115;67.306533;91.161172;1.422137;1.354418;0.738325;0.705997;326.000000;0.674446;286.967000;215.591146;161;255
21;M-11830a-x40-04.tif;2936;870.310627;606.848774;56.888067;70.092917;1.436723;1.232120;0.811609;0.760883;318.000000;0.584201;230.234000;225.038147;196;255
22;M-11830a-x40-04.tif;793;867.379571;292.402270;28.497011;37.140922;1.177341;1.303327;0.767267;0.731944;77.000000;0.641328;108.316000;226.809584;204;255
23;M-11830a-x40-04.tif;5237;909.450831;291.621348;80.919131;93.160346;1.616227;1.151277;0.868601;0.768299;722.000000;0.495513;326.135000;190.106931;128;255
24;M-11830a-x40-04.tif;4256;964.938205;375.800752;67.001614;81.747539;1.111418;1.220083;0.819616;0.810891;156.000000;0.572913;243.806000;200.556156;152;255
