No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11830a-x40-04.tif;1396;212.141834;559.012894;31.513846;58.649013;1.305227;1.861055;0.537330;0.516742;81.000000;0.843372;151.318000;106.368911;85;126
2;M-11830a-x40-04.tif;1844;239.231020;355.513557;43.410450;56.446987;1.372884;1.300309;0.769048;0.736868;162.000000;0.639191;178.362000;104.419740;86;125
3;M-11830a-x40-04.tif;790;308.472152;676.612658;30.015713;34.590689;1.100407;1.152419;0.867740;0.840657;36.000000;0.497019;104.519000;105.475949;96;127
4;M-11830a-x40-04.tif;3278;333.230628;636.021049;59.182843;71.479801;1.284871;1.207779;0.827966;0.816869;212.000000;0.560778;230.059000;105.784015;95;126
5;M-11830a-x40-04.tif;2419;349.169078;200.200909;66.184362;110.353641;4.408994;1.667367;0.599748;0.252914;2949.000000;0.800189;366.094000;104.181893;84;128
6;M-11830a-x40-04.tif;932;379.593348;706.391631;17.774308;77.260340;2.525840;4.346743;0.230057;0.198798;238.000000;0.973177;171.995000;110.868026;95;127
7;M-11830a-x40-04.tif;352;590.565341;310.397727;18.335878;27.293843;1.382275;1.488548;0.671795;0.601622;53.000000;0.740737;78.194000;112.096591;99;127
8;M-11830a-x40-04.tif;530;815.537736;223.479245;19.752441;40.424292;1.995849;2.046547;0.488628;0.412954;137.000000;0.872492;115.294000;106.696226;84;126
9;M-11830a-x40-04.tif;390;868.984615;239.487179;16.485713;31.425443;1.275992;1.906223;0.524598;0.502819;34.000000;0.851350;79.079000;100.930769;86;119
10;M-11830a-x40-04.tif;1711;921.601403;245.492694;35.230757;71.920957;1.881455;2.041425;0.489854;0.421162;325.000000;0.871805;201.130000;103.859147;72;134
11;M-11830a-x40-04.tif;310;1000.309677;404.470968;11.251783;40.194527;1.906653;3.572281;0.279933;0.244308;78.000000;0.960019;86.183000;112.200000;97;126
12;M-11830a-x40-04.tif;1003;1040.854437;502.610169;28.329671;47.339653;1.224217;1.671027;0.598434;0.569850;48.000000;0.801172;124.218000;104.683948;91;126
13;M-11830a-x40-04.tif;903;1569.767442;320.240310;26.757397;44.689379;1.249311;1.670169;0.598742;0.575691;50.000000;0.800942;119.065000;107.541528;98;124
