No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11830a-x40-04.tif;3220;48.154037;214.114286;46.116116;92.709514;1.802335;2.010350;0.497426;0.476999;423.000000;0.867506;270.054000;0.646713;4.834630e-01;8.899950e-01
2;M-11830a-x40-04.tif;1150;34.976522;540.736522;34.644040;42.526823;0.993577;1.227536;0.814640;0.809622;27.000000;0.579967;119.827000;0.636829;4.439364e-01;9.717032e-01
3;M-11830a-x40-04.tif;925;44.695135;350.006486;34.016674;34.750780;0.962549;1.021581;0.978875;0.975265;22.000000;0.204459;105.776000;0.633711;4.011713e-01;1
4;M-11830a-x40-04.tif;1583;83.057486;648.719520;37.836248;54.037441;1.316926;1.428192;0.700186;0.690242;93.000000;0.713961;161.855000;0.673365;5.267579e-01;9.647040e-01
5;M-11830a-x40-04.tif;1032;177.252907;48.223837;30.041926;45.432959;1.222527;1.512318;0.661236;0.636572;73.000000;0.750178;125.914000;0.645810;4.586458e-01;9.117365e-01
6;M-11830a-x40-04.tif;792;209.916667;553.584596;29.508612;34.791240;1.092237;1.179020;0.848162;0.833097;50.000000;0.529737;104.262000;0.616163;2.718928e-01;9.766256e-01
7;M-11830a-x40-04.tif;989;238.844287;351.201213;33.642169;38.100649;1.128045;1.132527;0.882982;0.867444;60.000000;0.469408;118.404000;0.595622;3.379548e-01;1
8;M-11830a-x40-04.tif;898;287.261693;58.040089;26.431430;44.240616;1.171380;1.673788;0.597447;0.584177;49.000000;0.801908;114.972000;0.624398;4.585792e-01;9.211849e-01
9;M-11830a-x40-04.tif;748;308.561497;676.954545;29.778972;32.732261;0.999654;1.099174;0.909774;0.888914;18.000000;0.415103;96.935000;0.619718;3.909334e-01;1
10;M-11830a-x40-04.tif;2283;330.614104;639.910644;50.430307;60.866696;1.574628;1.206947;0.828537;0.784615;317.000000;0.559934;212.543000;0.654698;5.102222e-01;1
11;M-11830a-x40-04.tif;647;330.485317;214.290572;25.785740;32.022305;0.952903;1.241861;0.805243;0.803358;13.000000;0.592945;88.020000;0.537254;2.551641e-01;9.955174e-01
12;M-11830a-x40-04.tif;700;462.975714;468.284286;24.355898;37.197467;1.140462;1.527247;0.654773;0.644142;43.000000;0.755826;100.160000;0.625958;3.049627e-01;1
13;M-11830a-x40-04.tif;2800;499.574643;348.184286;42.186376;85.757271;1.267050;2.032819;0.491928;0.484759;154.000000;0.870636;211.145000;0.544122;4.191205e-01;8.762693e-01
