No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11830a-x40-05.tif;1515;86.766997;286.939274;36.393259;53.888233;1.285881;1.480720;0.675347;0.664255;111.000000;0.737500;156.463000;0.559674;4.206426e-02;9.624148e-01
2;M-11830a-x40-05.tif;1773;154.635646;747.337845;33.760905;72.809934;1.909538;2.156635;0.463685;0.425831;379.000000;0.886000;206.264000;0.267522;5.608569e-02;9.213242e-01
3;M-11830a-x40-05.tif;2727;202.544554;289.264393;55.043969;76.326556;2.333091;1.386647;0.721164;0.595997;836.000000;0.692764;282.757000;0.651152;2.804284e-02;9.293972e-01
4;M-11830a-x40-05.tif;4810;257.240541;159.131809;57.351665;130.705668;3.207467;2.279021;0.438785;0.358481;2032.000000;0.898592;440.310000;0.551086;5.608569e-02;9.683544e-01
5;M-11830a-x40-05.tif;2239;330.629745;691.109870;55.085851;70.553112;2.780269;1.280785;0.780771;0.572706;1065.000000;0.624817;279.689000;0.598367;2.804284e-02;9.574400e-01
6;M-11830a-x40-05.tif;4512;349.711879;189.858378;53.846053;118.471768;2.509821;2.200194;0.454505;0.409307;1179.000000;0.890744;377.234000;0.655183;4.206426e-02;9.176520e-01
7;M-11830a-x40-05.tif;1647;322.215543;344.420158;38.525824;56.549337;1.491965;1.467829;0.681278;0.655766;152.000000;0.732025;175.724000;0.717131;6.349208e-01;8.675755e-01
8;M-11830a-x40-05.tif;326;470.880368;813.377301;16.538674;29.650009;1.600134;1.792768;0.557797;0.472148;81.000000;0.829978;80.964000;0.483010;2.103213e-02;9.378773e-01
9;M-11830a-x40-05.tif;4335;592.332411;697.051672;54.599142;117.616753;2.328411;2.154187;0.464212;0.398989;1014.000000;0.885724;356.147000;0.573049;3.964434e-01;8.671860e-01
10;M-11830a-x40-05.tif;757;645.726552;796.451783;27.594260;35.349255;1.032260;1.281037;0.780618;0.771339;29.000000;0.625009;99.094000;0.703726;6.340892e-01;7.956234e-01
11;M-11830a-x40-05.tif;1294;655.035549;545.926584;38.306879;43.666675;1.235965;1.139917;0.877257;0.864061;85.000000;0.480022;141.767000;0.559120;3.373905e-02;9.396543e-01
12;M-11830a-x40-05.tif;4602;685.488701;474.837245;71.362869;85.713285;1.371547;1.201091;0.832577;0.797555;463.000000;0.553910;281.633000;0.576070;3.824951e-01;7.996105e-01
13;M-11830a-x40-05.tif;5023;765.045590;464.511846;74.042205;86.819577;1.120910;1.172569;0.852828;0.848473;152.000000;0.522191;265.994000;0.581988;4.644024e-01;8.340948e-01
14;M-11830a-x40-05.tif;1307;784.766641;115.110176;35.231206;48.307124;1.298140;1.371146;0.729317;0.713121;101.000000;0.684176;146.017000;0.543643;3.154820e-02;9.636806e-01
15;M-11830a-x40-05.tif;3160;818.098734;575.046519;52.995580;144.214521;4.738317;2.721256;0.367477;0.193455;2811.000000;0.930032;433.771000;0.657444;4.336170e-01;8.977400e-01
16;M-11830a-x40-05.tif;1007;862.134062;123.477656;29.650557;51.564155;1.922347;1.739062;0.575023;0.482218;214.000000;0.818137;155.968000;0.677338;3.006985e-01;9.008763e-01
17;M-11830a-x40-05.tif;1989;904.288587;554.161890;36.851780;86.355803;2.906538;2.343328;0.426744;0.339595;632.000000;0.904373;269.532000;0.634007;3.505355e-02;8.862707e-01
18;M-11830a-x40-05.tif;6257;988.882532;85.584945;72.178423;124.724395;2.178303;1.728001;0.578703;0.512122;1474.000000;0.815538;413.854000;0.572744;3.855891e-02;9.496592e-01
19;M-11830a-x40-05.tif;4487;1302.751059;335.660575;59.921956;116.284359;3.173792;1.940597;0.515305;0.422497;1579.000000;0.857007;423.031000;0.320892;5.258033e-02;9.178189e-01
20;M-11830a-x40-05.tif;992;1358.298387;642.884073;31.868859;45.084863;1.588601;1.414700;0.706864;0.621384;182.000000;0.707350;140.724000;0.725796;5.594643e-01;8.621581e-01
21;M-11830a-x40-05.tif;4511;1496.423188;267.521836;73.119598;94.720929;4.242741;1.295425;0.771948;0.640164;1542.000000;0.635686;490.416000;0.241461;5.258033e-02;9.143135e-01
22;M-11830a-x40-05.tif;1580;1485.551899;793.388608;37.643168;55.757152;1.560370;1.481202;0.675127;0.647092;170.000000;0.737701;176.014000;0.588977;3.519312e-01;8.636806e-01
23;M-11830a-x40-05.tif;598;1566.240803;310.882943;20.064935;46.878641;1.879663;2.336347;0.428019;0.346467;172.000000;0.903770;118.849000;0.491345;5.959104e-02;8.894839e-01
