No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11830a-x40-05.tif;729;21.133059;395.165981;29.517895;33.758807;1.306010;1.143673;0.874376;0.814448;71.000000;0.485249;109.381000;149.835391;129;172
2;M-11830a-x40-05.tif;917;91.400218;284.541985;30.005590;39.297231;1.050862;1.309664;0.763555;0.756059;30.000000;0.645743;110.043000;152.212650;126;174
3;M-11830a-x40-05.tif;2055;134.719221;302.868613;38.248268;70.012412;1.464013;1.830473;0.546307;0.533792;186.000000;0.837585;194.439000;155.437956;132;169
4;M-11830a-x40-05.tif;1192;210.163591;284.814597;33.069222;46.455372;1.121046;1.404792;0.711849;0.703258;46.000000;0.702332;129.585000;153.317953;130;176
5;M-11830a-x40-05.tif;406;237.982759;301.706897;20.443365;25.860302;1.089476;1.264973;0.790531;0.772981;20.000000;0.612422;74.555000;139.746305;130;148
6;M-11830a-x40-05.tif;1478;333.734100;694.663735;36.639801;59.864310;2.011400;1.633860;0.612047;0.525108;408.000000;0.790821;193.282000;148.306495;124;170
7;M-11830a-x40-05.tif;310;514.896774;753.116129;15.326237;28.414554;1.516217;1.853981;0.539380;0.488866;58.000000;0.842063;76.854000;150.987097;135;168
8;M-11830a-x40-05.tif;1069;654.463050;543.719364;30.125631;48.830029;1.308958;1.620880;0.616949;0.570839;119.000000;0.787003;132.604000;150.194574;128;177
9;M-11830a-x40-05.tif;762;689.065617;272.022310;27.613991;36.199137;1.186768;1.310898;0.762836;0.740404;54.000000;0.646592;106.602000;155.087927;130;171
10;M-11830a-x40-05.tif;346;802.754335;487.514451;17.137540;29.913983;1.443062;1.745524;0.572894;0.492309;48.000000;0.819629;79.211000;146.083815;131;157
11;M-11830a-x40-05.tif;2693;991.509469;77.567026;46.083257;75.595317;1.239031;1.640407;0.609605;0.600008;139.000000;0.792706;204.769000;154.682510;130;168
12;M-11830a-x40-05.tif;1035;1001.181643;588.540097;29.166757;47.440833;1.268442;1.626538;0.614803;0.585526;105.000000;0.788681;128.443000;154.764251;133;166
13;M-11830a-x40-05.tif;498;1249.654618;661.732932;21.073714;30.406307;1.078311;1.442855;0.693070;0.685823;20.000000;0.720870;82.147000;142.297189;131;162
14;M-11830a-x40-05.tif;3019;1410.591587;121.605499;41.087907;100.017156;1.838014;2.434224;0.410809;0.384259;411.000000;0.911722;264.065000;152.675389;130;168
15;M-11830a-x40-05.tif;333;1520.804805;125.309309;17.145062;25.907253;1.355853;1.511062;0.661786;0.631701;36.000000;0.749693;75.324000;143.306306;132;157
