No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11830a-x40-06.tif;1355;337.119557;429.757196;43.351995;46.466307;2.187588;1.071838;0.932977;0.799048;357.000000;0.359936;193.000000;244.714391;222;255
2;M-11830a-x40-06.tif;1321;339.622256;263.383800;34.704785;61.594949;2.148021;1.774826;0.563436;0.443326;398.000000;0.826160;188.832000;251.585163;230;255
3;M-11830a-x40-06.tif;695;347.630216;459.074820;25.999218;42.343420;1.796971;1.628642;0.614008;0.493541;164.000000;0.789299;125.276000;248.838849;232;255
4;M-11830a-x40-06.tif;560;353.830357;233.855357;20.276920;40.447189;1.934716;1.994740;0.501318;0.435834;138.000000;0.865263;116.683000;252.358929;240;255
5;M-11830a-x40-06.tif;1198;406.757095;185.728715;24.053527;68.472504;1.911861;2.846672;0.351287;0.325338;187.000000;0.936268;169.653000;248.711185;212;255
6;M-11830a-x40-06.tif;1193;482.386421;373.100587;30.970931;50.949790;1.371110;1.645084;0.607872;0.585148;130.000000;0.794035;143.371000;245.355407;227;255
7;M-11830a-x40-06.tif;1746;491.931271;164.382016;40.970748;60.531096;1.861658;1.477422;0.676855;0.606733;306.000000;0.736117;202.105000;247.209622;228;255
8;M-11830a-x40-06.tif;1361;636.116091;621.947098;32.471520;57.393475;1.533460;1.767502;0.565770;0.526070;182.000000;0.824563;161.946000;235.836150;208;255
9;M-11830a-x40-06.tif;1407;840.358920;224.527363;37.715663;59.766366;1.864265;1.584656;0.631052;0.501523;345.000000;0.775741;181.554000;244.471215;227;255
10;M-11830a-x40-06.tif;868;1107.645161;487.793779;23.651756;56.203664;1.734367;2.376300;0.420822;0.349865;182.000000;0.907143;137.542000;242.904378;221;255
11;M-11830a-x40-06.tif;617;1275.677472;676.510535;27.405542;28.846629;1.009205;1.052584;0.950043;0.944072;25.000000;0.312119;88.458000;241.886548;215;255
12;M-11830a-x40-06.tif;763;1321.281782;597.791612;29.048948;33.772895;1.127648;1.162620;0.860126;0.851722;38.000000;0.510081;103.981000;247.908257;217;255
13;M-11830a-x40-06.tif;903;1351.915836;233.479513;27.778151;45.906516;1.556535;1.652612;0.605103;0.545568;114.000000;0.796148;132.901000;246.221484;229;255
14;M-11830a-x40-06.tif;845;1356.953846;208.565680;26.377885;41.618631;1.272746;1.577785;0.633800;0.621143;88.000000;0.773497;116.253000;249.293491;241;255
