No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11830a-x40-11.tif;938;93.836887;675.256930;28.971312;43.756903;1.423887;1.510353;0.662097;0.623763;111.000000;0.749418;129.552000;0.388553;1.270718e-01;4.940476e-01
2;M-11830a-x40-11.tif;2372;114.265177;388.003794;38.542117;88.632021;1.648085;2.299615;0.434855;0.384453;342.000000;0.900500;221.642000;0.321408;7.142857e-02;5.053191e-01
3;M-11830a-x40-11.tif;1498;196.436582;301.678905;35.195325;69.888822;1.997834;1.985742;0.503590;0.390487;327.000000;0.863943;193.928000;0.350407;1.545894e-01;7.112676e-01
4;M-11830a-x40-11.tif;6864;243.554779;697.910548;87.499147;103.520538;2.001998;1.183103;0.845235;0.815520;653.000000;0.534395;415.552000;0.366886;1.182266e-01;6.257669e-01
5;M-11830a-x40-11.tif;5951;311.013779;219.304151;68.615406;180.658285;2.931181;2.632911;0.379808;0.232158;3101.000000;0.925065;468.189000;0.443075;7.246377e-02;6.666667e-01
6;M-11830a-x40-11.tif;899;429.017798;301.824249;27.962529;42.293872;1.111914;1.512520;0.661148;0.639904;35.000000;0.750255;112.078000;0.309587;1.209302e-01;5.000000e-01
7;M-11830a-x40-11.tif;6157;503.075686;486.036869;71.188558;115.951036;1.639932;1.628788;0.613954;0.583082;889.000000;0.789342;356.207000;0.426440;5.050505e-02;6.878981e-01
8;M-11830a-x40-11.tif;1040;561.221154;146.394231;31.545997;42.546280;1.016551;1.348706;0.741451;0.731510;28.000000;0.671007;115.262000;0.454115;7.065217e-02;9.360000e-01
9;M-11830a-x40-11.tif;1233;580.187348;32.676399;27.666161;59.146479;1.310155;2.137864;0.467757;0.448761;63.000000;0.883857;142.478000;0.287912;1.278539e-01;3.867925e-01
10;M-11830a-x40-11.tif;1325;618.907170;489.990189;32.661455;53.016291;1.155936;1.623207;0.616065;0.600216;78.000000;0.787696;138.733000;0.286298;1.226415e-01;4.292683e-01
11;M-11830a-x40-11.tif;6900;645.730870;325.654928;83.763023;106.300263;1.251826;1.269060;0.787985;0.777482;485.000000;0.615694;329.459000;0.489779;9.134615e-02;7.225806e-01
12;M-11830a-x40-11.tif;1200;659.992500;58.590000;39.034051;51.978833;2.133816;1.331628;0.750961;0.565507;363.000000;0.660347;179.380000;0.202569;8.252427e-02;2.979798e-01
13;M-11830a-x40-11.tif;831;679.574007;231.028881;28.720783;37.058285;1.021421;1.290295;0.775016;0.770443;32.000000;0.631941;103.278000;0.511440;9.615385e-03;9.846154e-01
14;M-11830a-x40-11.tif;3990;715.988722;660.347619;62.298641;90.179923;1.909265;1.447542;0.690826;0.624688;753.000000;0.723021;309.403000;0.234179;1.078431e-01;4.247312e-01
15;M-11830a-x40-11.tif;565;1006.437168;158.228319;13.755828;57.397185;2.438789;4.172572;0.239660;0.218362;116.000000;0.970857;131.588000;0.221678;1.336634e-01;3.367876e-01
16;M-11830a-x40-11.tif;1238;1072.143780;227.411955;30.397563;52.390633;1.117759;1.723514;0.580210;0.574280;60.000000;0.814467;131.868000;0.285520;1.352657e-01;3.761905e-01
17;M-11830a-x40-11.tif;2259;1085.555113;485.233732;35.197820;100.111374;2.032163;2.844249;0.351587;0.286985;613.000000;0.936155;240.183000;0.273832;1.395349e-01;3.545455e-01
18;M-11830a-x40-11.tif;6569;1182.743644;405.000457;63.427570;159.907934;2.449289;2.521111;0.396651;0.327092;2037.000000;0.917970;449.650000;0.296762;1.137441e-01;3.963134e-01
19;M-11830a-x40-11.tif;1413;1379.820948;633.906582;39.267631;49.168565;1.535212;1.252140;0.798633;0.744179;262.000000;0.601819;165.105000;0.314623;6.666667e-02;4.719101e-01
20;M-11830a-x40-11.tif;1063;1438.014111;573.514581;26.138856;52.436081;1.215894;2.006059;0.498490;0.492247;58.000000;0.866896;127.444000;0.270771;8.878505e-02;3.488372e-01
21;M-11830a-x40-11.tif;1229;1468.930024;34.537836;38.912391;40.525563;0.994581;1.041457;0.960194;0.952805;33.000000;0.279335;123.937000;0.453781;1.184834e-01;7.222222e-01
