No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11830a-x40-11.tif;1847;88.565782;497.028695;43.272955;62.548838;2.334110;1.445449;0.691827;0.601089;607.000000;0.722064;232.755000;0.341443;1.848385e-01;5.226790e-01
2;M-11830a-x40-11.tif;1383;95.241504;671.295734;31.439034;60.346931;1.505230;1.919491;0.520972;0.483528;161.000000;0.853574;161.740000;0.438424;1.702060e-01;6.422298e-01
3;M-11830a-x40-11.tif;2313;202.233031;764.101167;51.362165;58.037836;1.142319;1.129973;0.884977;0.874306;134.000000;0.465634;182.216000;0.516620;2.512088e-01;6.586991e-01
4;M-11830a-x40-11.tif;1568;320.629464;804.079082;40.733535;49.431833;1.053234;1.213541;0.824034;0.817039;56.000000;0.566540;144.059000;0.488704;2.843071e-01;6.304478e-01
5;M-11830a-x40-11.tif;3799;459.257436;283.103185;41.097718;143.508178;3.428617;3.491877;0.286379;0.234869;1401.000000;0.958116;404.575000;0.401038;2.182485e-01;7.351065e-01
6;M-11830a-x40-11.tif;1270;441.634646;715.140157;30.120025;54.808808;1.161421;1.819680;0.549547;0.538286;47.000000;0.835463;136.145000;0.448593;2.586905e-01;5.741105e-01
7;M-11830a-x40-11.tif;455;491.591209;338.162637;23.003347;27.661977;1.456342;1.202520;0.831587;0.757103;74.000000;0.555394;91.252000;0.345591;2.467373e-01;4.516082e-01
8;M-11830a-x40-11.tif;1230;562.838211;147.186992;34.963577;46.184757;1.235130;1.320939;0.757037;0.734206;122.000000;0.653372;138.170000;0.461272;1.555940e-01;9.147819e-01
9;M-11830a-x40-11.tif;2232;615.014785;496.681004;55.407301;61.532095;1.796567;1.110541;0.900462;0.750587;425.000000;0.434935;224.478000;0.467311;2.809495e-01;7.020650e-01
10;M-11830a-x40-11.tif;366;683.166667;689.158470;19.481537;29.164607;1.589281;1.497038;0.667986;0.547872;84.000000;0.744174;85.496000;0.327542;2.800469e-01;4.074644e-01
11;M-11830a-x40-11.tif;1891;720.039133;708.268112;36.168406;71.710679;2.413081;1.982688;0.504366;0.468203;350.000000;0.863490;239.462000;0.316504;2.228309e-01;3.897883e-01
12;M-11830a-x40-11.tif;650;911.672308;640.189231;23.901243;41.786988;1.982997;1.748319;0.571978;0.473960;144.000000;0.820269;127.269000;0.398477;3.101653e-01;5.350387e-01
13;M-11830a-x40-11.tif;2995;1074.146578;227.031386;55.478074;69.663673;1.388852;1.255697;0.796370;0.785768;238.000000;0.604809;228.629000;0.427575;2.636656e-01;6.680714e-01
14;M-11830a-x40-11.tif;4083;1086.682341;484.743571;52.086377;109.905804;1.775255;2.110068;0.473918;0.430376;836.000000;0.880569;301.804000;0.457245;2.366884e-01;6.538366e-01
15;M-11830a-x40-11.tif;5434;1083.364556;723.456386;66.888497;162.400544;5.112869;2.427929;0.411874;0.262334;3858.000000;0.911241;590.877000;0.347468;2.036238e-01;4.847190e-01
16;M-11830a-x40-11.tif;1391;1301.610352;677.728972;31.977753;66.434572;2.298524;2.077525;0.481342;0.401281;378.000000;0.876533;200.444000;0.348394;2.118684e-01;4.407017e-01
17;M-11830a-x40-11.tif;1901;1379.663335;360.938453;34.879163;72.525008;1.482490;2.079322;0.480926;0.460168;203.000000;0.876761;188.188000;0.469981;2.106131e-01;6.868808e-01
18;M-11830a-x40-11.tif;2687;1382.676219;628.963528;47.334915;90.349750;3.175793;1.908734;0.523908;0.419106;890.000000;0.851775;327.465000;0.447785;1.953833e-01;7.215364e-01
19;M-11830a-x40-11.tif;1587;1437.580340;574.649653;33.530640;61.588903;1.351749;1.836795;0.544427;0.532699;131.000000;0.838808;164.188000;0.466043;2.142449e-01;6.401687e-01
20;M-11830a-x40-11.tif;1731;1481.899480;620.039861;28.518917;79.102491;1.621516;2.773685;0.360531;0.352230;175.000000;0.932747;187.808000;0.452216;2.166024e-01;6.543694e-01
