No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11830a-x40-11.tif;1359;96.638705;669.065489;32.005557;58.387563;1.513852;1.824295;0.548157;0.507562;193.000000;0.836375;160.789000;80.031641;28;100
2;M-11830a-x40-11.tif;4863;301.885256;197.628419;69.152723;91.192258;1.208288;1.318708;0.758318;0.744558;255.000000;0.651885;271.733000;86.446638;38;100
3;M-11830a-x40-11.tif;4279;510.143024;481.899276;61.815923;89.644471;1.261624;1.450184;0.689568;0.677962;236.000000;0.724221;260.460000;88.487964;59;100
4;M-11830a-x40-11.tif;1102;523.234120;391.776770;30.974678;47.349733;1.254276;1.528659;0.654168;0.625830;93.000000;0.756349;131.793000;87.414701;51;100
5;M-11830a-x40-11.tif;990;560.640404;143.018182;32.364274;40.092806;1.126906;1.238798;0.807234;0.784174;40.000000;0.590232;118.404000;77.264646;36;100
6;M-11830a-x40-11.tif;4026;654.876801;323.977149;64.176175;85.044899;1.847752;1.325179;0.754615;0.708741;543.000000;0.656168;305.748000;92.340040;64;100
7;M-11830a-x40-11.tif;4593;700.568909;499.693229;60.032671;98.739982;1.436164;1.644771;0.607987;0.599819;292.000000;0.793947;287.909000;93.095580;67;100
8;M-11830a-x40-11.tif;854;680.043326;228.968384;28.302651;38.608675;1.046322;1.364136;0.733065;0.729454;40.000000;0.680159;105.966000;80.783372;31;100
9;M-11830a-x40-11.tif;3909;742.826298;225.261704;55.780093;93.677748;1.591244;1.679412;0.595447;0.567156;397.000000;0.803395;279.580000;92.965464;67;100
10;M-11830a-x40-11.tif;5057;763.730868;392.636741;74.537636;92.388370;1.815938;1.239486;0.806786;0.754342;624.000000;0.590844;339.705000;92.530947;69;100
11;M-11830a-x40-11.tif;3312;852.094807;251.715580;60.593892;70.479620;1.141870;1.163147;0.859736;0.848933;157.000000;0.510738;218.001000;90.301329;59;100
12;M-11830a-x40-11.tif;3556;861.348144;617.959224;52.510526;90.657256;2.131429;1.726459;0.579220;0.550892;499.000000;0.815171;308.618000;90.564117;36;100
13;M-11830a-x40-11.tif;4882;867.083367;480.417247;71.517573;90.169628;1.745532;1.260804;0.793145;0.764517;492.000000;0.609033;327.241000;92.094019;64;100
14;M-11830a-x40-11.tif;3864;869.005694;354.385611;57.699932;99.800208;2.337768;1.729642;0.578154;0.493952;650.000000;0.815927;336.918000;94.143892;74;100
15;M-11830a-x40-11.tif;2619;919.865598;573.237877;44.885357;86.534203;2.140452;1.927894;0.518701;0.445318;485.000000;0.854956;265.415000;93.376098;64;100
16;M-11830a-x40-11.tif;1052;967.697719;586.768061;27.164603;51.488957;1.557593;1.895443;0.527581;0.505240;119.000000;0.849505;143.496000;92.293726;64;100
17;M-11830a-x40-11.tif;999;1006.058058;79.656657;30.893166;41.913163;1.163717;1.356713;0.737076;0.724060;67.000000;0.675810;120.868000;86.234234;56;100
18;M-11830a-x40-11.tif;1243;1151.243765;679.794851;37.031392;43.644768;1.256846;1.178588;0.848473;0.830839;80.000000;0.529239;140.114000;78.321802;0;100
19;M-11830a-x40-11.tif;1254;1157.925040;560.192185;35.734937;49.168510;1.463571;1.375923;0.726785;0.660440;165.000000;0.686865;151.866000;78.393939;28;100
20;M-11830a-x40-11.tif;1014;1200.509862;523.984221;34.445319;37.722746;0.986091;1.095149;0.913118;0.907280;21.000000;0.407695;112.094000;75.335306;21;100
21;M-11830a-x40-11.tif;1315;1238.250951;555.240304;38.952573;43.542185;1.240471;1.117826;0.894594;0.883111;105.000000;0.446880;143.173000;84.889734;36;100
22;M-11830a-x40-11.tif;1064;1465.556391;32.808271;33.856397;40.404876;1.036698;1.193419;0.837928;0.829821;34.000000;0.545780;117.734000;82.301692;23;100
23;M-11830a-x40-11.tif;1288;1539.944876;459.382764;33.845267;54.439108;1.392805;1.608470;0.621709;0.553355;189.000000;0.783249;150.144000;79.294255;5;100
