No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11830a-x40-11.tif;1333;94.216054;672.091523;31.319399;57.814266;1.395773;1.845957;0.541724;0.507774;93.000000;0.840556;152.907000;118.363841;48;145
2;M-11830a-x40-11.tif;4935;508.335562;485.456535;65.460795;97.048527;1.186527;1.482544;0.674516;0.667144;166.000000;0.738260;271.261000;139.884701;59;177
3;M-11830a-x40-11.tif;1527;521.543549;398.722986;39.398011;51.055221;1.185584;1.295883;0.771674;0.745880;110.000000;0.636018;150.831000;153.423707;68;198
4;M-11830a-x40-11.tif;970;560.390722;145.308247;31.400527;40.136589;1.037065;1.278214;0.782342;0.766657;31.000000;0.622849;112.433000;146.883505;61;208
5;M-11830a-x40-11.tif;1630;579.068712;402.552147;40.110747;57.261445;1.564241;1.427584;0.700484;0.632955;275.000000;0.713668;178.999000;116.870552;57;173
6;M-11830a-x40-11.tif;811;679.838471;231.812577;27.711650;37.371540;1.001683;1.348586;0.741517;0.739348;21.000000;0.670934;101.037000;155.254007;41;216
7;M-11830a-x40-11.tif;343;783.690962;433.285714;11.525379;45.692225;2.177351;3.964488;0.252239;0.209180;88.000000;0.967665;96.876000;102.390671;49;150
8;M-11830a-x40-11.tif;4867;857.779125;257.410931;72.164647;86.662465;1.202227;1.200899;0.832709;0.825105;203.000000;0.553710;271.162000;142.233203;45;182
9;M-11830a-x40-11.tif;391;983.301790;602.946292;15.186894;38.111491;1.843452;2.509499;0.398486;0.342748;99.000000;0.917174;95.172000;106.519182;55;153
10;M-11830a-x40-11.tif;1173;1009.157715;81.193521;35.727494;42.442780;1.043173;1.187958;0.841780;0.829088;33.000000;0.539820;124.003000;146.000853;61;209
11;M-11830a-x40-11.tif;1211;1152.952931;682.379026;34.692169;44.699603;0.996764;1.288464;0.776118;0.771697;17.000000;0.630588;123.161000;143.255987;65;172
12;M-11830a-x40-11.tif;1805;1161.368975;569.145706;42.684344;58.784789;1.420296;1.377198;0.726112;0.665055;243.000000;0.687576;179.487000;118.159003;45;186
13;M-11830a-x40-11.tif;1062;1202.719397;528.129944;33.987221;39.962622;0.995199;1.175813;0.850475;0.846694;24.000000;0.526015;115.245000;147.881356;52;190
14;M-11830a-x40-11.tif;1531;1239.093403;558.703462;41.280730;47.536543;1.068662;1.151543;0.868400;0.862641;56.000000;0.495864;143.388000;138.744611;55;202
15;M-11830a-x40-11.tif;1119;1468.277033;34.056300;35.600118;40.267470;1.000062;1.131105;0.884091;0.878682;25.000000;0.467314;118.586000;141.621984;62;182
16;M-11830a-x40-11.tif;1670;1547.118563;463.621557;40.502888;58.584024;1.792494;1.446416;0.691364;0.619538;351.000000;0.722507;193.951000;139.779641;59;194
