No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11830a-x40-11.tif;1195;95.311297;671.208368;29.369572;55.701434;1.473889;1.896569;0.527268;0.490394;136.000000;0.849699;148.772000;69.899582;0;209
2;M-11830a-x40-11.tif;4703;301.737189;201.117585;65.479562;95.088101;1.367766;1.452180;0.688620;0.662266;447.000000;0.725122;284.314000;38.213906;0;209
3;M-11830a-x40-11.tif;4612;509.321552;484.412402;63.517710;93.251936;1.097614;1.468125;0.681141;0.675280;115.000000;0.732152;252.217000;35.176930;0;209
4;M-11830a-x40-11.tif;1430;522.936364;395.666434;37.639434;49.199404;1.110355;1.307124;0.765038;0.752188;76.000000;0.643985;141.255000;34.832867;0;170
5;M-11830a-x40-11.tif;933;560.837085;144.981779;30.812122;39.293723;1.012909;1.275268;0.784149;0.769388;25.000000;0.620573;108.976000;43.198285;0;178
6;M-11830a-x40-11.tif;6021;647.447102;325.863976;84.117690;92.215599;1.152481;1.096269;0.912185;0.901509;176.000000;0.409779;295.295000;36.350440;0;201
7;M-11830a-x40-11.tif;5974;706.633746;506.262638;64.914154;120.752600;1.466697;1.860189;0.537580;0.521654;451.000000;0.843213;331.824000;31.846836;0;178
8;M-11830a-x40-11.tif;800;679.772500;230.628750;27.655744;36.961780;1.005670;1.336496;0.748225;0.745580;25.000000;0.663445;100.549000;45.003750;0;255
9;M-11830a-x40-11.tif;6338;752.906122;230.971284;72.812595;113.414619;1.248205;1.557624;0.642004;0.627371;256.000000;0.766702;315.300000;36.817924;0;147
10;M-11830a-x40-11.tif;945;787.534392;567.903704;31.841255;41.637475;1.643218;1.307658;0.764726;0.694022;123.000000;0.644356;139.691000;76.130159;0;147
11;M-11830a-x40-11.tif;4210;855.398337;254.892637;67.463978;79.846172;1.080452;1.183538;0.844924;0.840783;140.000000;0.534886;239.083000;28.612352;0;147
12;M-11830a-x40-11.tif;4788;867.892022;621.721805;59.423931;107.922958;1.586060;1.816153;0.550614;0.523403;526.000000;0.834760;308.917000;34.797410;0;240
13;M-11830a-x40-11.tif;5920;867.839865;486.146791;75.599506;101.507512;1.096785;1.342701;0.744768;0.731536;154.000000;0.667324;285.645000;33.549155;0;178
14;M-11830a-x40-11.tif;5991;864.671173;360.459856;75.126216;102.761976;1.096619;1.367858;0.731070;0.722345;185.000000;0.682302;287.331000;33.525455;0;162
15;M-11830a-x40-11.tif;6816;934.096831;589.441755;83.283245;104.805396;1.103027;1.258421;0.794647;0.790082;223.000000;0.607072;307.371000;36.093897;0;162
16;M-11830a-x40-11.tif;1100;1007.871818;80.770909;32.907486;43.001053;1.046052;1.306726;0.765272;0.757434;32.000000;0.643707;120.248000;41.979091;0;193
17;M-11830a-x40-11.tif;1198;1152.751252;681.718698;34.715817;44.238131;0.996924;1.274293;0.784749;0.779423;19.000000;0.619814;122.508000;45.259599;0;209
18;M-11830a-x40-11.tif;1036;1156.724903;562.507722;30.591465;43.258174;1.007344;1.414060;0.707183;0.704910;17.000000;0.707030;114.518000;44.799228;0;232
19;M-11830a-x40-11.tif;1045;1202.000957;527.329187;33.282203;40.180062;0.986012;1.207254;0.828326;0.824148;27.000000;0.560246;113.790000;40.155024;0;209
20;M-11830a-x40-11.tif;1442;1238.757975;557.352982;40.194727;45.822645;0.993145;1.140016;0.877180;0.874410;28.000000;0.480161;134.151000;45.200416;0;232
21;M-11830a-x40-11.tif;1089;1467.656566;33.780533;35.312125;39.471500;0.974993;1.117789;0.894623;0.889961;20.000000;0.446821;115.510000;43.193756;0;209
22;M-11830a-x40-11.tif;1531;1543.913782;463.688439;42.494428;48.777070;1.302612;1.147846;0.871197;0.819321;156.000000;0.490934;158.307000;43.890268;0;185
