No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
1;M-11897-x40-04.tif;2156;505.983302;350.937384;46.931607;69.589850;1.991636;1.482793;0.674403;0.566849;466.000000;0.738363;232.292000;0.611719;-5.130773e-01;8.371955e-01
2;M-11897-x40-04.tif;1305;654.505747;264.931034;36.530400;49.678294;1.330218;1.359916;0.735339;0.673267;161.000000;0.677699;147.697000;0.636131;-4.457790e-01;9.776373e-01
3;M-11897-x40-04.tif;1318;685.628983;347.406677;31.302609;54.321232;1.195839;1.735358;0.576250;0.568704;69.000000;0.817273;140.734000;0.675548;-1.841968e-01;9.576001e-01
4;M-11897-x40-04.tif;1576;703.779822;308.749365;38.132998;55.116112;1.249355;1.445365;0.691867;0.660555;135.000000;0.722025;157.299000;0.623980;-4.137833e-01;9.544344e-01
5;M-11897-x40-04.tif;1686;721.900356;244.791815;34.976627;63.914694;1.391030;1.827354;0.547239;0.525492;175.000000;0.836976;171.673000;0.616468;-5.965642e-01;9.295334e-01
6;M-11897-x40-04.tif;1921;733.614263;396.930765;37.771243;66.263585;1.373188;1.754340;0.570015;0.557042;122.000000;0.821634;182.068000;0.602119;-6.478572e-01;9.168157e-01
7;M-11897-x40-04.tif;1399;758.517513;276.396712;41.497753;43.291109;1.066381;1.043216;0.958574;0.950452;62.000000;0.284842;136.921000;0.661749;-8.100651e-01;9.412152e-01
8;M-11897-x40-04.tif;1868;759.315846;325.876338;44.615386;53.622259;1.125040;1.201878;0.832031;0.827174;51.000000;0.554729;162.509000;0.612990;-4.924950e-01;8.709401e-01
9;M-11897-x40-04.tif;1323;781.829176;228.693122;29.545481;58.334086;1.233694;1.974383;0.506487;0.495023;76.000000;0.862247;143.215000;0.671702;-6.992804e-01;9.298970e-01
10;M-11897-x40-04.tif;1848;796.877706;391.304654;39.473192;60.934106;1.465281;1.543683;0.647801;0.633711;146.000000;0.761809;184.466000;0.586607;-4.052311e-01;8.407406e-01
11;M-11897-x40-04.tif;1368;803.594298;294.057749;39.909946;45.155683;1.404990;1.131439;0.883830;0.854223;129.000000;0.467808;155.412000;0.630938;-2.298223e-01;9.243515e-01
12;M-11897-x40-04.tif;1090;827.296330;99.406422;29.049311;50.510462;1.528518;1.738783;0.575115;0.543969;125.000000;0.818073;144.695000;0.597571;-1.893518e-01;8.234264e-01
13;M-11897-x40-04.tif;1496;848.330882;414.419118;41.568049;45.915274;0.963916;1.104581;0.905321;0.903498;20.000000;0.424729;134.614000;0.631224;-9.028844e-01;9.586277e-01
14;M-11897-x40-04.tif;667;858.535232;519.881559;29.372462;35.421707;2.138337;1.205950;0.829222;0.676857;143.000000;0.558919;133.877000;0.539371;-2.158888e-01;8.847986e-01
15;M-11897-x40-04.tif;506;886.470356;556.994071;24.415490;27.263723;1.165886;1.116657;0.895530;0.866743;43.000000;0.445001;86.101000;0.513163;-9.792358e-01;8.460436e-01
16;M-11897-x40-04.tif;1594;1020.927854;249.195107;44.439404;54.438639;1.894027;1.225008;0.816321;0.684832;280.000000;0.577598;194.779000;0.575526;-2.774586e-01;7.844943e-01
17;M-11897-x40-04.tif;934;1038.483940;289.190578;30.325122;40.792701;1.245054;1.345178;0.743396;0.714648;76.000000;0.668852;120.885000;0.592261;7.655902e-02;7.811219e-01
18;M-11897-x40-04.tif;1172;1110.968430;167.496587;33.834217;45.281810;1.267390;1.338344;0.747192;0.727763;76.000000;0.664608;136.623000;0.574052;-5.790717e-02;7.954006e-01
19;M-11897-x40-04.tif;1549;1154.597805;180.165913;45.000989;58.105670;2.181015;1.291209;0.774468;0.584150;498.000000;0.632613;206.044000;0.557027;-5.790210e-02;7.617776e-01
20;M-11897-x40-04.tif;1906;1149.432844;60.380902;39.459612;65.221047;1.481321;1.652856;0.605013;0.570502;232.000000;0.796215;188.361000;0.645397;-6.031768e-01;9.106698e-01
21;M-11897-x40-04.tif;404;1138.660891;210.772277;20.200212;26.835545;1.227168;1.328478;0.752741;0.714284;33.000000;0.658317;78.931000;0.557087;6.985258e-02;7.617671e-01
22;M-11897-x40-04.tif;611;1143.996727;110.348609;25.884914;31.042909;1.266330;1.199266;0.833843;0.807284;55.000000;0.552002;98.605000;0.580586;1.374463e-01;8.075298e-01
23;M-11897-x40-04.tif;366;1151.297814;140.112022;18.402739;26.210647;1.084337;1.424280;0.702109;0.678322;28.000000;0.712069;70.620000;0.545966;3.121700e-01;7.152812e-01
24;M-11897-x40-04.tif;2155;1192.647332;182.348956;31.629872;96.348277;2.414335;3.046117;0.328287;0.295576;392.000000;0.944578;255.698000;0.605087;-2.553801e-01;8.143030e-01
25;M-11897-x40-04.tif;2527;1258.432924;229.583300;34.302411;98.755846;1.999940;2.878977;0.347346;0.329906;380.000000;0.937737;252.009000;0.664645;-4.127323e-01;8.563263e-01
26;M-11897-x40-04.tif;801;1358.479401;246.961298;19.775536;53.686690;1.506748;2.714803;0.368351;0.353842;84.000000;0.929687;123.152000;0.578820;-2.154471e-01;8.004119e-01
27;M-11897-x40-04.tif;1006;1401.519881;251.736581;24.696094;59.899808;1.570971;2.425477;0.412290;0.356991;161.000000;0.911053;140.925000;0.605281;-5.629920e-01;8.488724e-01
28;M-11897-x40-04.tif;430;1408.218605;278.055814;19.777965;29.262654;1.197622;1.479558;0.675877;0.639368;36.000000;0.737014;80.445000;0.586694;-4.565788e-01;8.792034e-01
